Date,CZNC
2010-01-04,4.5626749992370605
2010-01-05,4.5153937339782715
2010-01-06,4.383005619049072
2010-01-07,4.269528865814209
2010-01-08,4.364092826843262
2010-01-11,4.241161823272705
2010-01-12,4.231703281402588
2010-01-13,4.539034843444824
2010-01-14,4.5626749992370605
2010-01-15,4.548490524291992
2010-01-19,4.718705654144287
2010-01-20,4.491753101348877
2010-01-21,4.231703281402588
2010-01-22,4.2269768714904785
2010-01-25,4.354635238647461
2010-01-26,4.5626749992370605
2010-01-27,4.756529331207275
2010-01-28,4.580183982849121
2010-01-29,4.723167896270752
2010-02-01,4.766061782836914
2010-02-02,4.56112003326416
2010-02-03,4.456268310546875
2010-02-04,4.456268310546875
2010-02-05,4.584952354431152
2010-02-08,4.3371171951293945
2010-02-09,4.589718341827393
2010-02-10,4.708869934082031
2010-02-11,4.9567060470581055
2010-02-12,5.195010185241699
2010-02-16,5.34275484085083
2010-02-17,5.290328502655029
2010-02-18,5.099686622619629
2010-02-19,5.309394359588623
2010-02-22,5.361819744110107
2010-02-23,5.1044535636901855
2010-02-24,5.3522868156433105
2010-02-25,5.290328502655029
2010-02-26,5.314160346984863
2010-03-01,5.4809699058532715
2010-03-02,5.447610378265381
2010-03-03,5.380885601043701
2010-03-04,5.552461624145508
2010-03-05,5.600123405456543
2010-03-08,5.63348388671875
2010-03-09,5.662080764770508
2010-03-10,5.795529365539551
2010-03-11,5.776468753814697
2010-03-12,5.576292514801025
2010-03-15,5.728806018829346
2010-03-16,5.786000728607178
2010-03-17,5.776468753814697
2010-03-18,5.914682388305664
2010-03-19,6.014771938323975
2010-03-22,6.100559234619141
2010-03-23,6.081495761871338
2010-03-24,5.98140811920166
2010-03-25,5.862258434295654
2010-03-26,5.7240400314331055
2010-03-29,5.924215793609619
2010-03-30,6.005239486694336
2010-03-31,5.98140811920166
2010-04-01,5.576292514801025
2010-04-05,5.476207256317139
2010-04-06,5.862258434295654
2010-04-07,5.666849613189697
2010-04-08,5.60965633392334
2010-04-09,5.7240400314331055
2010-04-12,5.657316207885742
2010-04-13,5.542931079864502
2010-04-14,5.776468753814697
2010-04-15,5.905151844024658
2010-04-16,5.776468753814697
2010-04-19,5.690677642822266
2010-04-20,5.833657741546631
2010-04-21,5.795529365539551
2010-04-22,6.019536018371582
2010-04-23,6.076726913452148
2010-04-26,6.343626976013184
2010-04-27,6.148221015930176
2010-04-28,6.224478721618652
2010-04-29,6.354052543640137
2010-04-30,6.224479675292969
2010-05-03,6.325260162353516
