Date,OCFC
2010-01-04,6.66774845123291
2010-01-05,6.609620094299316
2010-01-06,6.470101356506348
2010-01-07,6.539860248565674
2010-01-08,6.539860248565674
2010-01-11,6.528233528137207
2010-01-12,6.342210292816162
2010-01-13,6.394530296325684
2010-01-14,6.4933552742004395
2010-01-15,6.3596510887146
2010-01-19,6.394530296325684
2010-01-20,6.284078121185303
2010-01-21,6.208507537841797
2010-01-22,6.231761455535889
2010-01-25,6.138750076293945
2010-01-26,6.074803352355957
2010-01-27,6.11549711227417
2010-01-28,6.144896984100342
2010-01-29,6.091974258422852
2010-02-01,5.944967746734619
2010-02-02,5.86264181137085
2010-02-03,5.886164665222168
2010-02-04,5.78619909286499
2010-02-05,5.9684906005859375
2010-02-08,5.839122772216797
2010-02-09,5.86264181137085
2010-02-10,5.839122772216797
2010-02-11,5.944967746734619
2010-02-12,5.903805255889893
2010-02-16,5.892045021057129
2010-02-17,5.880285739898682
2010-02-18,5.880285739898682
2010-02-19,5.880285739898682
2010-02-22,5.839122772216797
2010-02-23,6.068452835083008
2010-02-24,6.103734016418457
2010-02-25,6.05081033706665
2010-02-26,6.009653568267822
2010-03-01,6.139018535614014
2010-03-02,6.480076313018799
2010-03-03,6.4741926193237305
2010-03-04,6.497714996337891
2010-03-05,6.685885429382324
2010-03-08,6.650601387023926
2010-03-09,6.691763877868652
2010-03-10,6.732926368713379
2010-03-11,6.750568389892578
2010-03-12,6.732926368713379
2010-03-15,6.650601387023926
2010-03-16,6.6447248458862305
2010-03-17,6.768212795257568
2010-03-18,6.6800031661987305
2010-03-19,6.774089336395264
2010-03-22,6.803487300872803
2010-03-23,6.809368133544922
2010-03-24,6.750568389892578
2010-03-25,6.685885429382324
2010-03-26,6.662364959716797
2010-03-29,6.562398433685303
2010-03-30,6.62120246887207
2010-03-31,6.6800031661987305
2010-04-01,6.738807678222656
2010-04-05,6.926976203918457
2010-04-06,6.897573471069336
2010-04-07,6.8799357414245605
2010-04-08,6.98577880859375
2010-04-09,6.838771820068359
2010-04-12,6.962257385253906
2010-04-13,7.079862117767334
2010-04-14,7.544402599334717
2010-04-15,7.544402599334717
2010-04-16,7.450324058532715
2010-04-19,7.462080478668213
2010-04-20,7.491486072540283
