Date,SMP
2010-01-04,6.3547797203063965
2010-01-05,6.311648368835449
2010-01-06,6.25413703918457
2010-01-07,6.412288665771484
2010-01-08,6.570441246032715
2010-01-11,6.12474250793457
2010-01-12,6.045665740966797
2010-01-13,6.6423258781433105
2010-01-14,6.699836254119873
2010-01-15,6.455420017242432
2010-01-19,6.857986927032471
2010-01-20,6.498553276062012
2010-01-21,6.23257303237915
2010-01-22,5.851572513580322
2010-01-25,5.873138427734375
2010-01-26,5.693422794342041
2010-01-27,5.909081935882568
2010-01-28,5.643100261688232
2010-01-29,5.635912895202637
2010-02-01,5.599968433380127
2010-02-02,5.750932216644287
2010-02-03,5.693422794342041
2010-02-04,5.470571517944336
2010-02-05,5.434630393981934
2010-02-08,5.5065155029296875
2010-02-09,5.492140293121338
2010-02-10,5.564500331878662
2010-02-11,5.622389793395996
2010-02-12,5.615152835845947
2010-02-16,5.8828840255737305
2010-02-17,6.0348429679870605
2010-02-18,6.049313068389893
2010-02-19,6.13614559173584
2010-02-22,6.0927300453186035
2010-02-23,5.991425514221191
2010-02-24,6.208503723144531
2010-02-25,6.172324180603027
2010-02-26,5.868413925170898
2010-03-01,6.114436626434326
2010-03-02,6.295337677001953
2010-03-03,6.2881011962890625
2010-03-04,6.251923084259033
2010-03-05,7.6050567626953125
2010-03-08,7.3517937660217285
2010-03-09,7.366270065307617
2010-03-10,7.308380126953125
2010-03-11,7.380741119384766
2010-03-12,7.221550464630127
2010-03-15,6.888692378997803
2010-03-16,6.924870491027832
2010-03-17,6.917639255523682
2010-03-18,6.939344882965088
2010-03-19,6.910401821136475
2010-03-22,7.366270065307617
2010-03-23,7.764249324798584
2010-03-24,7.966856956481934
2010-03-25,7.916204452514648
2010-03-26,7.822139263153076
2010-03-29,7.677420616149902
2010-03-30,7.539936065673828
2010-03-31,7.178133010864258
2010-04-01,7.532698631286621
2010-04-05,7.974095344543457
2010-04-06,7.648471832275391
2010-04-07,7.503754615783691
2010-04-08,7.720832347869873
2010-04-09,7.655710697174072
2010-04-12,7.5254621505737305
2010-04-13,7.6122941970825195
2010-04-14,7.757013320922852
2010-04-15,7.829377174377441
2010-04-16,7.641236782073975
2010-04-19,7.785960674285889
2010-04-20,7.887265682220459
2010-04-21,7.901738166809082
2010-04-22,8.003037452697754
2010-04-23,8.053692817687988
2010-04-26,7.959619998931885
2010-04-27,7.626766681671143
2010-04-28,7.785960674285889
2010-04-29,8.350374221801758
2010-04-30,7.713596343994141
2010-05-03,8.314186096191406
2010-05-04,7.930676460266113
2010-05-05,7.091298580169678
2010-05-06,5.593445301055908
2010-05-07,5.716455459594727
2010-05-10,6.085494041442871
2010-05-11,6.0565505027771
2010-05-12,6.631629943847656
2010-05-13,6.660747528076172
2010-05-14,6.318612098693848
2010-05-17,6.631629943847656
2010-05-18,6.19486141204834
2010-05-19,6.10022497177124
2010-05-20,5.896401405334473
2010-05-21,5.94007682800293
2010-05-24,5.845444202423096
2010-05-25,6.005591869354248
2010-05-26,5.99103307723999
2010-05-27,6.333169937133789
2010-05-28,6.092946529388428
2010-06-01,5.779929161071777
2010-06-02,5.816324710845947
2010-06-03,5.998312473297119
2010-06-04,5.5833821296691895
2010-06-07,5.306760787963867
2010-06-08,5.175728797912598
2010-06-09,5.619779586791992
2010-06-10,5.838164806365967
2010-06-11,6.187581539154053
2010-06-14,6.311332702636719
2010-06-15,6.668026924133301
2010-06-16,6.580673694610596
2010-06-17,6.500598430633545
2010-06-18,6.653470039367676
2010-06-21,6.23125696182251
2010-06-22,6.020153999328613
2010-06-23,5.903679847717285
2010-06-24,5.750811576843262
2010-06-25,5.9546356201171875
2010-06-28,5.830883502960205
2010-06-29,5.65617561340332
2010-06-30,5.874560832977295
2010-07-01,5.5833821296691895
2010-07-02,5.517866611480713
2010-07-06,5.503305435180664
2010-07-07,5.758089065551758
2010-07-08,5.9109578132629395
2010-07-09,6.187581539154053
2010-07-12,6.1147871017456055
2010-07-13,6.624350070953369
2010-07-14,6.617071151733398
2010-07-15,6.762660026550293
2010-07-16,6.2749342918396
2010-07-19,6.340451240539551
2010-07-20,6.624350070953369
2010-07-21,6.471480846405029
2010-07-22,6.806339263916016
2010-07-23,7.061120510101318
2010-07-26,7.024722099304199
2010-07-27,6.8354573249816895
2010-07-28,6.646188735961914
2010-07-29,6.915530681610107
2010-07-30,7.133918285369873
2010-08-02,7.374139785766602
2010-08-03,7.483334064483643
2010-08-04,7.650763511657715
2010-08-05,7.563408851623535
2010-08-06,7.548846244812012
2010-08-09,7.767230033874512
2010-08-10,7.461495876312256
2010-08-11,6.876276016235352
2010-08-12,6.934799671173096
2010-08-13,7.037213325500488
2010-08-16,6.986006736755371
2010-08-17,7.139626502990723
2010-08-18,7.11036491394043
2010-08-19,6.620246887207031
2010-08-20,6.525149822235107
2010-08-23,6.334954261779785
2010-08-24,6.400792598724365
2010-08-25,6.6860857009887695
2010-08-26,6.708029270172119
2010-08-27,6.744603157043457
2010-08-30,6.451996803283691
2010-08-31,6.291064262390137
2010-09-01,6.729976177215576
2010-09-02,6.94211483001709
2010-09-03,7.124993324279785
2010-09-07,6.971376419067383
2010-09-08,7.000637531280518
2010-09-09,7.124993324279785
2010-09-10,7.11036491394043
2010-09-13,7.2054643630981445
2010-09-14,6.7372894287109375
2010-09-15,6.905539512634277
2010-09-16,6.744603157043457
2010-09-17,7.000637531280518
2010-09-20,7.388340950012207
2010-09-21,7.476122856140137
2010-09-22,7.520017623901367
2010-09-23,7.220094203948975
2010-09-24,7.571222305297852
