Date,RNR
2010-01-04,44.902889251708984
2010-01-05,44.181541442871094
2010-01-06,45.04718017578125
2010-01-07,45.74306869506836
2010-01-08,45.87886047363281
2010-01-11,46.04011917114258
2010-01-12,45.66669464111328
2010-01-13,46.16740798950195
2010-01-14,46.30318832397461
2010-01-15,45.87037658691406
2010-01-19,46.34562683105469
2010-01-20,46.24379348754883
2010-01-21,46.39655685424805
2010-01-22,45.87037658691406
2010-01-25,46.04011917114258
2010-01-26,45.83643341064453
2010-01-27,46.45597457885742
2010-01-28,45.89585494995117
2010-01-29,45.9807014465332
2010-02-01,45.92978286743164
2010-02-02,45.98918151855469
2010-02-03,45.15752410888672
2010-02-04,43.782657623291016
2010-02-05,43.72325897216797
2010-02-08,43.646881103515625
2010-02-09,44.35126876831055
2010-02-10,43.909942626953125
2010-02-11,43.73174285888672
2010-02-12,43.629913330078125
2010-02-16,45.48848342895508
2010-02-17,45.72610855102539
2010-02-18,45.93827819824219
2010-02-19,46.25227355957031
2010-02-22,46.52384567260742
2010-02-23,46.447471618652344
2010-02-24,46.9906120300293
2010-02-25,46.98215103149414
2010-02-26,46.98215103149414
2010-03-01,47.35553741455078
2010-03-02,47.16883087158203
2010-03-03,47.23674011230469
2010-03-04,48.19572830200195
2010-03-05,48.348472595214844
2010-03-08,48.32301712036133
2010-03-09,47.26218795776367
2010-03-10,47.12642288208008
2010-03-11,47.01557922363281
2010-03-12,47.740196228027344
2010-03-15,47.67201232910156
2010-03-16,47.67201232910156
2010-03-17,47.48445510864258
2010-03-18,48.081199645996094
2010-03-19,47.84249496459961
2010-03-22,48.07268524169922
2010-03-23,48.32843017578125
2010-03-24,48.49040985107422
2010-03-25,48.422203063964844
2010-03-26,48.038578033447266
2010-03-29,48.62680435180664
2010-03-30,48.07268524169922
2010-03-31,48.388099670410156
2010-04-01,48.5159912109375
2010-04-05,48.28581237792969
2010-04-06,48.371055603027344
2010-04-07,48.84844970703125
2010-04-08,48.601226806640625
2010-04-09,48.82289505004883
2010-04-12,48.660919189453125
2010-04-13,48.82289505004883
2010-04-14,48.83142852783203
2010-04-15,48.891090393066406
2010-04-16,48.50745391845703
2010-04-19,48.79730224609375
2010-04-20,48.95929718017578
2010-04-21,48.75468826293945
2010-04-22,48.601226806640625
2010-04-23,48.70353698730469
2010-04-26,48.371055603027344
2010-04-27,47.203121185302734
2010-04-28,47.416263580322266
2010-04-29,47.373634338378906
2010-04-30,47.69758987426758
2010-05-03,47.47592544555664
2010-05-04,46.60637283325195
2010-05-05,47.23722457885742
2010-05-06,46.427345275878906
2010-05-07,46.08634948730469
2010-05-10,47.38214111328125
2010-05-11,47.603816986083984
2010-05-12,48.20055389404297
2010-05-13,48.814361572265625
2010-05-14,47.86807632446289
2010-05-17,48.18351745605469
2010-05-18,48.06416320800781
2010-05-19,48.933712005615234
2010-05-20,47.066734313964844
2010-05-21,46.11192321777344
2010-05-24,45.23386001586914
2010-05-25,45.540748596191406
2010-05-26,45.12302780151367
2010-05-27,46.80244445800781
