Date,EXC
2010-01-04,18.69751739501953
2010-01-05,18.391498565673828
2010-01-06,18.50242805480957
2010-01-07,18.56363296508789
2010-01-08,18.475650787353516
2010-01-11,18.689861297607422
2010-01-12,18.770193099975586
2010-01-13,18.995874404907227
2010-01-14,18.774017333984375
2010-01-15,18.59041404724121
2010-01-19,18.846689224243164
2010-01-20,18.533029556274414
2010-01-21,18.380020141601562
2010-01-22,17.829191207885742
2010-01-25,17.630279541015625
2010-01-26,17.82537078857422
2010-01-27,17.702970504760742
2010-01-28,17.580556869506836
2010-01-29,17.450502395629883
2010-02-01,17.54230308532715
2010-02-02,17.649410247802734
2010-02-03,17.48493003845215
2010-02-04,17.117712020874023
2010-02-05,16.922626495361328
2010-02-08,16.739015579223633
2010-02-09,16.914976119995117
2010-02-10,16.945581436157227
2010-02-11,16.924287796020508
2010-02-12,16.761701583862305
2010-02-16,17.110092163085938
2010-02-17,17.0288028717041
2010-02-18,17.21074104309082
2010-02-19,17.37333106994629
2010-02-22,17.299781799316406
2010-02-23,17.086870193481445
2010-02-24,17.03654670715332
2010-02-25,16.959121704101562
2010-02-26,16.761701583862305
2010-03-01,17.21074104309082
2010-03-02,17.164291381835938
2010-03-03,17.21461296081543
2010-03-04,17.31138801574707
2010-03-05,17.613332748413086
2010-03-08,17.547521591186523
2010-03-09,17.408166885375977
2010-03-10,17.462364196777344
2010-03-11,17.392688751220703
2010-03-12,17.0946102142334
2010-03-15,17.18752098083496
2010-03-16,17.5513973236084
2010-03-17,17.555269241333008
2010-03-18,17.292041778564453
2010-03-19,17.272680282592773
2010-03-22,17.156545639038086
2010-03-23,17.15268325805664
2010-03-24,16.86235237121582
2010-03-25,16.75783348083496
2010-03-26,16.719125747680664
2010-03-29,17.001707077026367
2010-03-30,17.01719093322754
2010-03-31,16.959121704101562
2010-04-01,17.141063690185547
2010-04-05,17.18752098083496
2010-04-06,17.450748443603516
2010-04-07,17.315269470214844
2010-04-08,17.19913673400879
2010-04-09,17.133325576782227
2010-04-12,17.257200241088867
2010-04-13,17.249452590942383
2010-04-14,17.237842559814453
2010-04-15,17.191387176513672
2010-04-16,16.885576248168945
2010-04-19,16.870094299316406
2010-04-20,17.079133987426758
2010-04-21,16.87782859802246
2010-04-22,16.897184371948242
2010-04-23,17.013324737548828
2010-04-26,16.885576248168945
2010-04-27,16.58749771118164
2010-04-28,16.79266929626465
2010-04-29,16.746219635009766
2010-04-30,16.873964309692383
2010-05-03,17.0830020904541
2010-05-04,16.711380004882812
2010-05-05,16.912670135498047
2010-05-06,16.204269409179688
2010-05-07,16.08039665222168
2010-05-10,16.490732192993164
2010-05-11,16.521696090698242
2010-05-12,16.52366065979004
2010-05-13,16.48838233947754
2010-05-14,16.33553123474121
2010-05-17,16.206193923950195
2010-05-18,15.986712455749512
2010-05-19,15.90832805633545
2010-05-20,15.406665802001953
2010-05-21,15.453691482543945
2010-05-24,15.26165771484375
2010-05-25,15.042170524597168
2010-05-26,14.916749954223633
2010-05-27,15.249892234802246
2010-05-28,15.128396034240723
2010-06-01,14.756057739257812
2010-06-02,14.861884117126465
2010-06-03,15.053934097290039
2010-06-04,14.748226165771484
2010-06-07,14.787423133850098
2010-06-08,15.089200973510742
2010-06-09,15.12447738647461
2010-06-10,15.692768096923828
2010-06-11,15.633981704711914
2010-06-14,15.775071144104004
2010-06-15,16.03766441345215
2010-06-16,16.147409439086914
2010-06-17,16.03374481201172
2010-06-18,16.16307830810547
2010-06-21,15.971039772033691
2010-06-22,15.579110145568848
2010-06-23,15.29692554473877
2010-06-24,15.147991180419922
2010-06-25,15.038249969482422
2010-06-28,15.19893741607666
2010-06-29,14.920670509338379
2010-06-30,14.881476402282715
2010-07-01,14.91283893585205
2010-07-02,14.84620475769043
2010-07-06,15.022571563720703
2010-07-07,15.5399169921875
2010-07-08,15.869148254394531
2010-07-09,15.920083045959473
2010-07-12,16.0180721282959
2010-07-13,16.061182022094727
2010-07-14,16.233633041381836
2010-07-15,16.366884231567383
2010-07-16,16.25714111328125
2010-07-19,16.390398025512695
2010-07-20,16.69218635559082
2010-07-21,16.44135856628418
2010-07-22,16.38256072998047
2010-07-23,16.076860427856445
2010-07-26,16.04550552368164
2010-07-27,16.417835235595703
2010-07-28,16.613800048828125
2010-07-29,16.43351173400879
2010-07-30,16.39431381225586
2010-08-02,16.62948226928711
2010-08-03,16.625553131103516
2010-08-04,16.63731575012207
2010-08-05,16.52366065979004
2010-08-06,16.527578353881836
2010-08-09,16.605968475341797
2010-08-10,16.696115493774414
2010-08-11,16.457019805908203
2010-08-12,16.371700286865234
2010-08-13,16.419321060180664
2010-08-16,16.35582160949707
2010-08-17,16.41534996032715
2010-08-18,16.332000732421875
2010-08-19,16.09784698486328
2010-08-20,16.038312911987305
2010-08-23,16.09387969970703
2010-08-24,15.895429611206055
2010-08-25,15.887486457824707
2010-08-26,15.907332420349121
2010-08-27,16.177223205566406
2010-08-30,16.081968307495117
2010-08-31,16.16135025024414
2010-09-01,16.534421920776367
2010-09-02,16.558237075805664
2010-09-03,16.756675720214844
2010-09-07,16.570146560668945
2010-09-08,16.649520874023438
2010-09-09,16.859872817993164
2010-09-10,16.99481773376465
2010-09-13,16.93924331665039
2010-09-14,16.760652542114258
2010-09-15,16.78446388244629
2010-09-16,16.724924087524414
2010-09-17,16.713022232055664
2010-09-20,16.963062286376953
2010-09-21,16.80827522277832
2010-09-22,17.034509658813477
2010-09-23,16.772554397583008
2010-09-24,17.058324813842773
2010-09-27,17.101972579956055
2010-09-28,17.082124710083008
