Date,BY
2017-06-30,18.455604553222656
2017-07-03,18.50163459777832
2017-07-05,18.59367561340332
2017-07-06,18.57526969909668
2017-07-07,18.658111572265625
2017-07-10,18.731748580932617
2017-07-11,18.64890480041504
2017-07-12,19.20119285583496
2017-07-13,19.14596176147461
2017-07-14,19.12755584716797
2017-07-17,19.191987991333008
2017-07-18,19.449724197387695
2017-07-19,19.394498825073242
2017-07-20,18.704137802124023
2017-07-21,19.072328567504883
2017-07-24,19.191987991333008
2017-07-25,18.906644821166992
2017-07-26,18.952669143676758
2017-07-27,18.888233184814453
2017-07-28,18.82379913330078
2017-07-31,18.556861877441406
2017-08-01,18.455604553222656
2017-08-02,19.081533432006836
2017-08-03,18.833005905151367
2017-08-04,19.449724197387695
2017-08-07,19.33006477355957
2017-08-08,18.888233184814453
2017-08-09,18.833005905151367
2017-08-10,18.64890480041504
2017-08-11,18.704137802124023
2017-08-14,19.04471206665039
2017-08-15,19.12755584716797
2017-08-16,19.46813201904297
2017-08-17,19.026304244995117
2017-08-18,19.09073829650879
2017-08-21,19.173582077026367
2017-08-22,19.2196044921875
2017-08-23,18.842208862304688
2017-08-24,19.348472595214844
2017-08-25,19.339269638061523
2017-08-28,19.394498825073242
2017-08-29,19.22881507873535
2017-08-30,19.55097007751465
2017-08-31,19.449724197387695
2017-09-01,19.790302276611328
2017-09-05,19.504955291748047
2017-09-06,19.440515518188477
2017-09-07,19.357677459716797
2017-09-08,19.560182571411133
2017-09-11,19.5141544342041
2017-09-12,19.8547306060791
2017-09-13,19.82712173461914
2017-09-14,19.376081466674805
2017-09-15,18.529247283935547
2017-09-18,18.759361267089844
2017-09-19,18.989486694335938
2017-09-20,19.366884231567383
2017-09-21,19.486541748046875
2017-09-22,19.24721908569336
2017-09-25,19.698253631591797
2017-09-26,19.735069274902344
2017-09-27,19.339269638061523
2017-09-28,19.41290283203125
2017-09-29,19.569385528564453
2017-10-02,19.578590393066406
2017-10-03,19.099943161010742
2017-10-04,18.66731834411621
2017-10-05,18.704137802124023
2017-10-06,18.768566131591797
2017-10-09,18.906644821166992
2017-10-10,18.961872100830078
2017-10-11,19.04471206665039
2017-10-12,19.04471206665039
2017-10-13,18.943466186523438
2017-10-16,18.961872100830078
2017-10-17,18.842208862304688
2017-10-18,18.86061668395996
2017-10-19,18.93425750732422
2017-10-20,19.026304244995117
2017-10-23,18.925048828125
2017-10-24,18.961872100830078
2017-10-25,18.943466186523438
2017-10-26,19.026304244995117
2017-10-27,18.556861877441406
2017-10-30,18.33594512939453
2017-10-31,18.455604553222656
2017-11-01,18.345144271850586
2017-11-02,18.372760772705078
2017-11-03,18.437198638916016
2017-11-06,18.345144271850586
2017-11-07,18.243898391723633
2017-11-08,18.00457000732422
2017-11-09,17.94013786315918
2017-11-10,17.976957321166992
2017-11-13,18.05980110168457
2017-11-14,18.00457000732422
2017-11-15,17.903318405151367
2017-11-16,18.013776779174805
2017-11-17,17.95854949951172
2017-11-20,18.326738357543945
2017-11-21,18.35434913635254
2017-11-22,18.621295928955078
2017-11-24,18.161054611206055
2017-11-27,18.234691619873047
2017-11-28,18.906644821166992
2017-11-29,19.440515518188477
2017-11-30,19.652231216430664
2017-12-01,20.18610382080078
2017-12-04,21.10658836364746
2017-12-05,21.32750129699707
2017-12-06,20.87646484375
2017-12-07,20.370203018188477
2017-12-08,20.241334915161133
2017-12-11,19.597002029418945
2017-12-12,19.46813201904297
2017-12-13,19.652231216430664
2017-12-14,19.486541748046875
2017-12-15,19.79950714111328
2017-12-18,20.084856033325195
2017-12-19,20.167694091796875
2017-12-20,20.09406280517578
2017-12-21,20.029630661010742
2017-12-22,19.863933563232422
2017-12-26,19.8547306060791
2017-12-27,21.097381591796875
2017-12-28,21.161813735961914
2017-12-29,21.143402099609375
2018-01-02,21.04215431213379
2018-01-03,20.572710037231445
2018-01-04,20.287363052368164
2018-01-05,20.39781379699707
2018-01-08,20.453048706054688
2018-01-09,20.710779190063477
2018-01-10,20.738399505615234
2018-01-11,20.940900802612305
2018-01-12,21.217042922973633
2018-01-16,20.86726188659668
2018-01-17,21.22624969482422
2018-01-18,20.839649200439453
2018-01-19,21.005332946777344
2018-01-22,20.894880294799805
2018-01-23,20.996131896972656
2018-01-24,20.69236946105957
2018-01-25,20.82124137878418
2018-01-26,20.87646484375
2018-01-29,20.977720260620117
2018-01-30,20.84885025024414
2018-01-31,20.59111976623535
2018-02-01,20.839649200439453
2018-02-02,20.738399505615234
2018-02-05,20.158491134643555
2018-02-06,20.407024383544922
2018-02-07,20.67395782470703
2018-02-08,20.222925186157227
2018-02-09,20.241334915161133
2018-02-12,20.07565689086914
2018-02-13,20.25974464416504
2018-02-14,20.508277893066406
2018-02-15,20.637144088745117
2018-02-16,20.627933502197266
2018-02-20,20.655548095703125
2018-02-21,20.664756774902344
2018-02-22,20.959306716918945
2018-02-23,21.078969955444336
2018-02-26,21.35511589050293
2018-02-27,21.217042922973633
2018-02-28,21.22624969482422
2018-03-01,21.64966583251953
2018-03-02,21.49318504333496
2018-03-05,21.5116024017334
2018-03-06,21.502391815185547
2018-03-07,21.49318504333496
2018-03-08,21.474775314331055
2018-03-09,21.437957763671875
2018-03-12,21.32750129699707
2018-03-13,21.18022346496582
2018-03-14,21.171022415161133
2018-03-15,21.143402099609375
2018-03-16,21.27227020263672
2018-03-19,21.31829261779785
2018-03-20,22.376846313476562
2018-03-21,21.631256103515625
2018-03-22,20.996131896972656
2018-03-23,20.388612747192383
2018-03-26,21.290679931640625
2018-03-27,21.134199142456055
2018-03-28,21.22624969482422
2018-03-29,21.10658836364746
2018-04-02,20.747604370117188
2018-04-03,21.253860473632812
2018-04-04,21.18022346496582
2018-04-05,21.401138305664062
2018-04-06,21.299884796142578
2018-04-09,21.410343170166016
2018-04-10,21.88900375366211
2018-04-11,21.097381591796875
2018-04-12,21.15260887145996
2018-04-13,20.986919403076172
2018-04-16,21.15260887145996
2018-04-17,21.051359176635742
2018-04-18,21.088178634643555
2018-04-19,21.31829261779785
2018-04-20,21.078969955444336
2018-04-23,21.11579132080078
2018-04-24,21.078969955444336
2018-04-25,21.06976890563965
2018-04-26,21.060564041137695
2018-04-27,19.82712173461914
2018-04-30,19.560182571411133
2018-05-01,19.817913055419922
2018-05-02,19.587800979614258
2018-05-03,19.320852279663086
2018-05-04,19.403703689575195
2018-05-07,19.46813201904297
2018-05-08,19.606201171875
2018-05-09,19.72587013244629
2018-05-10,19.606201171875
2018-05-11,19.643028259277344
2018-05-14,19.495746612548828
2018-05-15,20.06644630432129
2018-05-16,20.112470626831055
2018-05-17,20.13088035583496
