Date,CCI
2010-01-04,24.792680740356445
2010-01-05,25.030540466308594
2010-01-06,24.673757553100586
2010-01-07,24.266910552978516
2010-01-08,24.385831832885742
2010-01-11,24.392093658447266
2010-01-12,23.94143295288086
2010-01-13,24.204309463500977
2010-01-14,24.166757583618164
2010-01-15,24.216829299926758
2010-01-19,24.304466247558594
2010-01-20,24.385831832885742
2010-01-21,24.054094314575195
2010-01-22,23.378101348876953
2010-01-25,23.816232681274414
2010-01-26,23.43443489074707
2010-01-27,23.94143295288086
2010-01-28,23.265430450439453
2010-01-29,23.12147331237793
2010-02-01,23.32802963256836
2010-02-02,23.346803665161133
2010-02-03,23.027591705322266
2010-02-04,22.276485443115234
2010-02-05,22.08244514465332
2010-02-08,22.320293426513672
2010-02-09,22.451736450195312
2010-02-10,22.514341354370117
2010-02-11,23.146507263183594
2010-02-12,23.365581512451172
2010-02-16,23.772422790527344
2010-02-17,24.035314559936523
2010-02-18,24.09165382385254
2010-02-19,24.173019409179688
2010-02-22,23.96647071838379
2010-02-23,23.259178161621094
2010-02-24,23.691055297851562
2010-02-25,23.691055297851562
2010-02-26,23.65975570678711
2010-03-01,23.89134979248047
2010-03-02,23.985248565673828
2010-03-03,24.135473251342773
2010-03-04,24.36079978942871
2010-03-05,24.661239624023438
2010-03-08,24.079132080078125
2010-03-09,24.592388153076172
2010-03-10,24.698789596557617
2010-03-11,24.68627166748047
2010-03-12,24.586130142211914
2010-03-15,24.285686492919922
2010-03-16,24.911611557006836
2010-03-17,24.47345733642578
2010-03-18,24.135473251342773
2010-03-19,24.02906036376953
2010-03-22,24.173019409179688
2010-03-23,24.229354858398438
2010-03-24,24.01653480529785
2010-03-25,23.08391761779785
2010-03-26,23.18406105041504
2010-03-29,23.584653854370117
2010-03-30,23.97898292541504
2010-03-31,23.928911209106445
2010-04-01,24.01653480529785
2010-04-05,24.179279327392578
2010-04-06,23.522069931030273
2010-04-07,23.29672622680664
2010-04-08,23.547096252441406
2010-04-09,23.51580238342285
2010-04-12,23.5283145904541
2010-04-13,23.547096252441406
2010-04-14,23.359325408935547
