Date,SARO
2024-10-02,32.75
2024-10-03,32.970001220703125
2024-10-04,32.5
2024-10-07,32.40999984741211
2024-10-08,32.88999938964844
2024-10-09,32.40999984741211
2024-10-10,31.600000381469727
2024-10-11,30.75
2024-10-14,31.700000762939453
2024-10-15,32.34000015258789
2024-10-16,32.08000183105469
2024-10-17,32.689998626708984
2024-10-18,31.520000457763672
2024-10-21,32.04999923706055
2024-10-22,31.170000076293945
2024-10-23,31.360000610351562
2024-10-24,31.170000076293945
2024-10-25,30.25
2024-10-28,29.709999084472656
2024-10-29,29.200000762939453
2024-10-30,29.389999389648438
2024-10-31,28.850000381469727
2024-11-01,28.5
2024-11-04,28.610000610351562
2024-11-05,29.020000457763672
2024-11-06,30.040000915527344
2024-11-07,29.270000457763672
2024-11-08,29.760000228881836
2024-11-11,29.899999618530273
2024-11-12,29.31999969482422
2024-11-13,29.06999969482422
2024-11-14,27.100000381469727
2024-11-15,28.149999618530273
2024-11-18,28.530000686645508
2024-11-19,28.350000381469727
2024-11-20,28.520000457763672
2024-11-21,28.8799991607666
2024-11-22,28.65999984741211
2024-11-25,29.239999771118164
2024-11-26,29.3700008392334
2024-11-27,28.5
2024-11-29,28.65999984741211
2024-12-02,28.049999237060547
2024-12-03,28.260000228881836
2024-12-04,28.399999618530273
2024-12-05,28.309999465942383
2024-12-06,28.450000762939453
2024-12-09,27.209999084472656
2024-12-10,27.0
2024-12-11,27.280000686645508
2024-12-12,25.610000610351562
2024-12-13,26.100000381469727
2024-12-16,26.190000534057617
2024-12-17,25.43000030517578
2024-12-18,24.979999542236328
2024-12-19,25.010000228881836
2024-12-20,26.06999969482422
2024-12-23,25.399999618530273
2024-12-24,25.479999542236328
2024-12-26,25.5
2024-12-27,25.579999923706055
2024-12-30,25.3700008392334
2024-12-31,24.760000228881836
2025-01-02,24.540000915527344
2025-01-03,24.040000915527344
2025-01-06,23.799999237060547
2025-01-07,23.0
2025-01-08,23.040000915527344
2025-01-10,23.209999084472656
2025-01-13,23.15999984741211
2025-01-14,24.010000228881836
2025-01-15,24.09000015258789
2025-01-16,23.81999969482422
2025-01-17,24.639999389648438
2025-01-21,25.049999237060547
2025-01-22,24.899999618530273
2025-01-23,26.899999618530273
2025-01-24,26.040000915527344
2025-01-27,26.1299991607666
2025-01-28,26.030000686645508
2025-01-29,26.09000015258789
2025-01-30,26.899999618530273
2025-01-31,26.84000015258789
2025-02-03,27.100000381469727
2025-02-04,27.049999237060547
2025-02-05,27.170000076293945
2025-02-06,27.049999237060547
2025-02-07,27.420000076293945
2025-02-10,27.350000381469727
2025-02-11,27.59000015258789
2025-02-12,27.809999465942383
2025-02-13,26.989999771118164
2025-02-14,26.579999923706055
2025-02-18,26.8799991607666
2025-02-19,27.100000381469727
2025-02-20,27.229999542236328
2025-02-21,26.1299991607666
2025-02-24,26.239999771118164
2025-02-25,26.93000030517578
2025-02-26,27.149999618530273
2025-02-27,28.030000686645508
2025-02-28,28.229999542236328
2025-03-03,27.260000228881836
2025-03-04,26.809999465942383
2025-03-05,27.309999465942383
