Date,PWP
2020-11-24,8.860271453857422
2020-11-25,8.869332313537598
2020-11-27,9.059582710266113
2020-11-30,9.494441986083984
2020-12-01,9.2860746383667
2020-12-02,9.358548164367676
2020-12-03,9.267952919006348
2020-12-04,9.358548164367676
2020-12-07,9.2860746383667
2020-12-08,9.340429306030273
2020-12-09,9.313249588012695
2020-12-10,9.2860746383667
2020-12-11,9.440084457397461
2020-12-14,9.349491119384766
2020-12-15,9.325029373168945
2020-12-16,9.349491119384766
2020-12-17,9.358548164367676
2020-12-18,9.331369400024414
2020-12-21,9.313249588012695
2020-12-22,9.512560844421387
2020-12-23,9.639396667480469
2020-12-24,9.865884780883789
2020-12-28,9.884005546569824
2020-12-29,9.825117111206055
2020-12-30,10.318866729736328
2020-12-31,10.23732852935791
2021-01-04,9.947421073913574
2021-01-05,9.793410301208496
2021-01-06,10.038017272949219
2021-01-07,9.974600791931152
2021-01-08,9.938364028930664
2021-01-11,9.829648971557617
2021-01-12,9.766231536865234
2021-01-13,10.400399208068848
2021-01-14,11.025511741638184
2021-01-15,11.088930130004883
2021-01-19,11.09798812866211
2021-01-20,11.070809364318848
2021-01-21,11.052688598632812
2021-01-22,11.324478149414062
2021-01-25,11.170464515686035
2021-01-26,11.261059761047363
2021-01-27,11.043630599975586
2021-01-28,10.490998268127441
2021-01-29,10.427579879760742
2021-02-01,10.282626152038574
2021-02-02,10.645009994506836
2021-02-03,10.663128852844238
2021-02-04,10.418519973754883
2021-02-05,10.373222351074219
2021-02-08,10.355104446411133
2021-02-09,10.22826862335205
2021-02-10,10.273568153381348
2021-02-11,10.083316802978516
2021-02-12,10.05613899230957
2021-02-16,10.282626152038574
2021-02-17,10.02895736694336
2021-02-18,9.96554183959961
2021-02-19,10.182971954345703
2021-02-22,10.019899368286133
2021-02-23,9.992719650268555
2021-02-24,9.874945640563965
2021-02-25,9.738146781921387
2021-02-26,9.60315990447998
2021-03-01,9.621275901794434
2021-03-02,9.557859420776367
2021-03-03,9.421965599060059
2021-03-04,9.168296813964844
2021-03-05,9.249835014343262
2021-03-08,9.648457527160645
2021-03-09,9.766231536865234
