Date,GNTX
2010-01-04,6.744543075561523
2010-01-05,6.956235408782959
2010-01-06,6.963662624359131
2010-01-07,6.95994758605957
2010-01-08,6.971089839935303
2010-01-11,6.904238224029541
2010-01-12,6.718541622161865
2010-01-13,6.844815731048584
2010-01-14,6.800246238708496
2010-01-15,6.789107799530029
2010-01-19,6.852243900299072
2010-01-20,6.74825382232666
2010-01-21,6.685114860534668
2010-01-22,6.529129505157471
2010-01-25,6.488274574279785
2010-01-26,6.4734206199646
2010-01-27,6.4808478355407715
2010-01-28,6.974801540374756
2010-01-29,7.119649410247803
2010-02-01,7.357339859008789
2010-02-02,7.431619644165039
2010-02-03,7.435333728790283
2010-02-04,7.2310662269592285
2010-02-05,7.030512809753418
2010-02-08,6.900523662567139
2010-02-09,6.930238723754883
2010-02-10,6.8819580078125
2010-02-11,6.978517055511475
2010-02-12,6.993372440338135
2010-02-16,7.134504318237305
2010-02-17,7.301632881164551
2010-02-18,7.212497711181641
2010-02-19,7.2310662269592285
2010-02-22,7.245924949645996
2010-02-23,7.186503887176514
2010-02-24,7.249638557434082
2010-02-25,7.2384934425354
2010-02-26,7.208784580230713
2010-03-01,7.268209934234619
2010-03-02,7.268209934234619
2010-03-03,7.450187683105469
2010-03-04,7.4947590827941895
2010-03-05,7.5504679679870605
2010-03-08,7.561610221862793
2010-03-09,7.628459930419922
2010-03-10,7.598746299743652
2010-03-11,7.468761920928955
2010-03-12,7.5133280754089355
2010-03-15,7.557894229888916
2010-03-16,7.613602638244629
2010-03-17,7.691596508026123
2010-03-18,7.632173538208008
2010-03-19,7.520754814147949
2010-03-22,7.71016788482666
2010-03-23,7.6878838539123535
2010-03-24,7.502185821533203
2010-03-25,7.502185821533203
2010-03-26,7.465043544769287
2010-03-29,7.435333728790283
2010-03-30,7.312777042388916
2010-03-31,7.212497711181641
2010-04-01,7.361055374145508
2010-04-05,7.4427618980407715
2010-04-06,7.472638130187988
2010-04-07,7.397946834564209
2010-04-08,7.431556701660156
2010-04-09,7.801270484924316
2010-04-12,8.066413879394531
2010-04-13,8.017868041992188
2010-04-14,8.197120666503906
2010-04-15,8.193385124206543
2010-04-16,8.05147647857666
2010-04-19,8.137368202209473
2010-04-20,8.182184219360352
2010-04-21,8.305420875549316
2010-04-22,8.361435890197754
2010-04-23,8.514547348022461
2010-04-26,8.08134651184082
2010-04-27,7.954379558563232
2010-04-28,7.999194622039795
2010-04-29,8.219531059265137
2010-04-30,8.025336265563965
2010-05-03,8.219531059265137
2010-05-04,7.935710906982422
2010-05-05,7.7938008308410645
2010-05-06,7.532387733459473
2010-05-07,7.39047908782959
2010-05-10,7.76765775680542
2010-05-11,7.752721309661865
2010-05-12,7.935710906982422
2010-05-13,7.88715934753418
2010-05-14,7.674297332763672
2010-05-17,7.711642265319824
2010-05-18,7.599607944488525
2010-05-19,7.364336967468262
2010-05-20,7.08051872253418
2010-05-21,7.237366676330566
2010-05-24,7.136537075042725
2010-05-25,7.192556381225586
2010-05-26,7.1290669441223145
2010-05-27,7.607077598571777
2010-05-28,7.349400043487549
2010-06-01,7.218695640563965
2010-06-02,7.360606670379639
2010-06-03,7.629485130310059
2010-06-04,7.326993465423584
2010-06-07,6.987159252166748
2010-06-08,7.073049068450928
2010-06-09,7.017032623291016
2010-06-10,7.226166725158691
2010-06-11,7.2336344718933105
2010-06-14,7.338198661804199
2010-06-15,7.551059722900391
2010-06-16,7.379276275634766
2010-06-17,7.386741638183594
2010-06-18,7.431556701660156
2010-06-21,7.401683330535889
2010-06-22,7.203756809234619
2010-06-23,7.166411876678467
2010-06-24,7.084252834320068
2010-06-25,7.073049068450928
2010-06-28,7.050643444061279
2010-06-29,6.7406840324401855
2010-06-30,6.714542388916016
2010-07-01,6.684484004974365
2010-07-02,6.658181190490723
2010-07-06,6.552972316741943
2010-07-07,6.673209190368652
2010-07-08,6.827268600463867
2010-07-09,6.97756290435791
2010-07-12,6.902416706085205
2010-07-13,7.1541643142700195
2010-07-14,7.225555419921875
2010-07-15,7.274402141571045
2010-07-16,7.052713394165039
2010-07-19,7.082769870758057
2010-07-20,7.131618499755859
2010-07-21,7.063982009887695
2010-07-22,7.514875888824463
2010-07-23,7.514875888824463
2010-07-26,7.586269855499268
2010-07-27,7.383369445800781
2010-07-28,7.285674571990967
2010-07-29,7.199254035949707
2010-07-30,7.240586280822754
2010-08-02,7.466031551361084
2010-08-03,7.225555419921875
2010-08-04,7.323248386383057
2010-08-05,7.29318904876709
2010-08-06,7.233072757720947
2010-08-09,7.251856803894043
2010-08-10,7.071499347686768
2010-08-11,6.868599891662598
2010-08-12,6.849808692932129
2010-08-13,6.76714563369751
2010-08-16,6.725814342498779
2010-08-17,6.778419494628906
2010-08-18,6.864842891693115
2010-08-19,6.737086772918701
2010-08-20,6.676968574523926
2010-08-23,6.583032608032227
2010-08-24,6.440248489379883
2010-08-25,6.3914055824279785
2010-08-26,6.560487747192383
2010-08-27,6.804721832275391
2010-08-30,6.613091945648193
2010-08-31,6.6055779457092285
2010-09-01,6.808478355407715
2010-09-02,6.8761115074157715
2010-09-03,7.015138149261475
2010-09-07,6.868599891662598
2010-09-08,6.8761115074157715
2010-09-09,6.853571891784668
2010-09-10,6.909930229187012
2010-09-13,7.015138149261475
2010-09-14,7.0001091957092285
2010-09-15,6.985078811645508
2010-09-16,6.894903659820557
2010-09-17,7.097803115844727
2010-09-20,7.1053147315979
2010-09-21,7.086531639099121
2010-09-22,7.037683963775635
2010-09-23,6.973808288574219
2010-09-24,7.244339942932129
