Date,NTRS
2010-01-04,35.150306701660156
2010-01-05,35.10345458984375
2010-01-06,34.594913482666016
2010-01-07,34.92279052734375
2010-01-08,35.07669448852539
2010-01-11,34.15327835083008
2010-01-12,34.093040466308594
2010-01-13,34.49453353881836
2010-01-14,34.32725524902344
2010-01-15,34.49453353881836
2010-01-19,35.08338165283203
2010-01-20,37.09750747680664
2010-01-21,35.806053161621094
2010-01-22,34.84250259399414
2010-01-25,34.78894805908203
2010-01-26,34.07966613769531
2010-01-27,35.12352752685547
2010-01-28,34.52130126953125
2010-01-29,33.8053092956543
2010-02-01,34.909423828125
2010-02-02,34.875946044921875
2010-02-03,34.534690856933594
2010-02-04,33.38374710083008
2010-02-05,33.818702697753906
2010-02-08,33.45066452026367
2010-02-09,33.51088333129883
2010-02-10,33.83208084106445
2010-02-11,33.68487548828125
2010-02-12,33.46404266357422
2010-02-16,34.11980438232422
2010-02-17,34.6885871887207
2010-02-18,35.11016082763672
2010-02-19,36.535423278808594
2010-02-22,36.568878173828125
2010-02-23,35.772605895996094
2010-02-24,35.83952713012695
2010-02-25,35.53839874267578
2010-02-26,35.658870697021484
2010-03-01,35.75923156738281
2010-03-02,35.73915100097656
2010-03-03,35.772605895996094
2010-03-04,35.97333526611328
2010-03-05,36.7294921875
2010-03-08,36.92453384399414
2010-03-09,36.85728073120117
2010-03-10,36.33939743041992
2010-03-11,36.35285186767578
2010-03-12,36.29902648925781
2010-03-15,36.494075775146484
2010-03-16,36.86399841308594
2010-03-17,37.52986145019531
2010-03-18,37.408790588378906
2010-03-19,37.29446792602539
2010-03-22,37.41550827026367
2010-03-23,37.52313995361328
2010-03-24,37.099395751953125
2010-03-25,37.650917053222656
2010-03-26,37.22718811035156
2010-03-29,37.11958312988281
2010-03-30,36.75639343261719
2010-03-31,37.166648864746094
2010-04-01,38.09482955932617
2010-04-05,38.451290130615234
2010-04-06,38.63960647583008
2010-04-07,38.27642059326172
2010-04-08,38.888458251953125
2010-04-09,39.01626205444336
2010-04-12,39.52742004394531
2010-04-13,39.695560455322266
2010-04-14,39.655208587646484
2010-04-15,39.44670486450195
2010-04-16,38.59926986694336
2010-04-19,39.25838088989258
2010-04-20,37.24065399169922
2010-04-21,36.81019592285156
2010-04-22,37.41550827026367
2010-04-23,37.87286376953125
2010-04-26,37.200294494628906
2010-04-27,36.547889709472656
2010-04-28,36.56806945800781
2010-04-29,37.42897033691406
2010-04-30,36.978328704833984
2010-05-03,36.92453384399414
2010-05-04,36.26540756225586
2010-05-05,36.272132873535156
2010-05-06,34.75211715698242
2010-05-07,34.83955383300781
2010-05-10,37.06576919555664
2010-05-11,36.62187194824219
2010-05-12,37.2204704284668
2010-05-13,36.507545471191406
