Date,DGICA
2010-01-04,8.465252876281738
2010-01-05,8.297999382019043
2010-01-06,8.039024353027344
2010-01-07,8.098373413085938
2010-01-08,8.066001892089844
2010-01-11,8.092977523803711
2010-01-12,7.952699661254883
2010-01-13,7.94730281829834
2010-01-14,7.941908836364746
2010-01-15,7.914932727813721
2010-01-19,8.060600280761719
2010-01-20,8.012048721313477
2010-01-21,7.887955188751221
2010-01-22,7.893349647521973
2010-01-25,7.909536361694336
2010-01-26,7.82321310043335
2010-01-27,8.012048721313477
2010-01-28,7.943005084991455
2010-01-29,8.019116401672363
2010-02-01,7.839704513549805
2010-02-02,7.856013298034668
2010-02-03,7.823393821716309
2010-02-04,7.643983840942383
2010-02-05,7.8832011222839355
2010-02-08,7.7690300941467285
2010-02-09,7.894071102142334
2010-02-10,7.97562313079834
2010-02-11,8.155033111572266
2010-02-12,8.198527336120605
2010-02-16,8.258326530456543
2010-02-17,8.057172775268555
2010-02-18,8.122413635253906
2010-02-19,8.339879989624023
2010-02-22,8.323570251464844
2010-02-23,8.13328742980957
2010-02-24,8.068046569824219
2010-02-25,8.258326530456543
2010-02-26,7.997368335723877
2010-03-01,8.084358215332031
2010-03-02,8.160470962524414
2010-03-03,8.008244514465332
2010-03-04,8.122413635253906
2010-03-05,8.019116401672363
2010-03-08,8.089792251586914
2010-03-09,8.198527336120605
2010-03-10,8.187649726867676
2010-03-11,8.274638175964355
2010-03-12,8.062609672546387
2010-03-15,8.046300888061523
2010-03-16,8.073484420776367
2010-03-17,8.029988288879395
2010-03-18,8.024553298950195
2010-03-19,8.459489822387695
2010-03-22,8.405119895935059
2010-03-23,8.318136215209961
2010-03-24,8.236583709716797
2010-03-25,8.127847671508789
2010-03-26,8.051734924316406
2010-03-29,8.013677597045898
2010-03-30,8.019116401672363
2010-03-31,7.888636589050293
2010-04-01,7.915817737579346
2010-04-05,8.019116401672363
2010-04-06,7.97018575668335
2010-04-07,8.089792251586914
2010-04-08,8.013677597045898
2010-04-09,7.937565803527832
2010-04-12,7.8832011222839355
2010-04-13,7.943005084991455
2010-04-14,8.106101036071777
2010-04-15,8.095231056213379
2010-04-16,8.073484420776367
2010-04-19,7.98106050491333
2010-04-20,8.062609672546387
2010-04-21,8.002803802490234
2010-04-22,8.029988288879395
2010-04-23,8.078922271728516
2010-04-26,8.068046569824219
2010-04-27,7.915817737579346
2010-04-28,7.948439598083496
2010-04-29,8.077213287353516
2010-04-30,7.907338619232178
2010-05-03,8.082695007324219
2010-05-04,7.940217018127441
2010-05-05,7.90186071395874
2010-05-06,7.742948532104492
2010-05-07,7.605949401855469
2010-05-10,8.049814224243164
2010-05-11,7.896378993988037
2010-05-12,7.940217018127441
2010-05-13,7.896378993988037
2010-05-14,7.781307697296143
2010-05-17,7.792264938354492
2010-05-18,7.759388446807861
2010-05-19,7.6717071533203125
2010-05-20,7.4251203536987305
2010-05-21,7.326483249664307
2010-05-24,7.107290267944336
2010-05-25,7.019612789154053
2010-05-26,6.986736297607422
2010-05-27,7.2114057540893555
2010-05-28,7.107290267944336
2010-06-01,6.920977592468262
2010-06-02,7.134688377380371
2010-06-03,7.123730182647705
2010-06-04,6.93741512298584
2010-06-07,6.794940948486328
2010-06-08,6.822343349456787
2010-06-09,6.855220794677734
2010-06-10,6.915495872497559
2010-06-11,7.008655548095703
2010-06-14,6.9757771492004395
2010-06-15,7.151129245758057
2010-06-16,7.123730182647705
2010-06-17,7.205925464630127
2010-06-18,7.118250370025635
2010-06-21,6.9757771492004395
2010-06-22,6.8990607261657715
2010-06-23,6.910017013549805
2010-06-24,6.877138137817383
