Date,CHD
2010-01-04,12.239816665649414
2010-01-05,12.074198722839355
2010-01-06,12.132061958312988
2010-01-07,11.996376991271973
2010-01-08,11.970438003540039
2010-01-11,11.918556213378906
2010-01-12,12.221857070922852
2010-01-13,12.381492614746094
2010-01-14,12.477270126342773
2010-01-15,12.537132263183594
2010-01-19,12.660841941833496
2010-01-20,12.648870468139648
2010-01-21,12.413418769836426
2010-01-22,12.317633628845215
2010-01-25,12.203901290893555
2010-01-26,12.161993026733398
2010-01-27,12.15999698638916
2010-01-28,12.148025512695312
2010-01-29,12.030298233032227
2010-02-01,12.01633071899414
2010-02-02,12.395458221435547
2010-02-03,12.353556632995605
2010-02-04,12.156010627746582
2010-02-05,12.191927909851074
2010-02-08,12.11392593383789
2010-02-09,12.74792194366455
2010-02-10,12.625926971435547
2010-02-11,12.867923736572266
2010-02-12,12.87192153930664
2010-02-16,12.887925148010254
2010-02-17,12.971920013427734
2010-02-18,13.171919822692871
2010-02-19,13.179923057556152
2010-02-22,13.239920616149902
2010-02-23,13.183919906616211
2010-02-24,13.471917152404785
2010-02-25,13.4879150390625
2010-02-26,13.435920715332031
2010-03-01,13.449917793273926
2010-03-02,13.519917488098145
2010-03-03,13.373921394348145
2010-03-04,13.3759183883667
2010-03-05,13.441922187805176
2010-03-08,13.499917984008789
2010-03-09,13.477919578552246
2010-03-10,13.50391674041748
2010-03-11,13.605915069580078
2010-03-12,13.70191478729248
2010-03-15,13.455917358398438
2010-03-16,13.579915046691895
2010-03-17,13.55391788482666
2010-03-18,13.561912536621094
2010-03-19,13.573919296264648
2010-03-22,13.757919311523438
2010-03-23,13.839911460876465
2010-03-24,13.73192024230957
2010-03-25,13.467913627624512
2010-03-26,13.297919273376465
2010-03-29,13.451922416687012
2010-03-30,13.449917793273926
2010-03-31,13.389917373657227
2010-04-01,13.543919563293457
2010-04-05,13.545920372009277
2010-04-06,13.511917114257812
2010-04-07,13.531919479370117
2010-04-08,13.555916786193848
2010-04-09,13.613916397094727
2010-04-12,13.559916496276855
2010-04-13,13.579915046691895
2010-04-14,13.677918434143066
2010-04-15,13.671918869018555
2010-04-16,13.665916442871094
2010-04-19,13.617918014526367
2010-04-20,13.591912269592285
2010-04-21,13.649913787841797
2010-04-22,13.637919425964355
2010-04-23,13.631919860839844
2010-04-26,13.793917655944824
2010-04-27,13.795915603637695
2010-04-28,13.727921485900879
2010-04-29,13.759917259216309
2010-04-30,13.8499174118042
2010-05-03,13.857913970947266
2010-05-04,13.861915588378906
2010-05-05,13.869915962219238
2010-05-06,13.557918548583984
2010-05-07,13.353917121887207
2010-05-10,13.879916191101074
2010-05-11,13.4019193649292
2010-05-12,13.425915718078613
2010-05-13,13.347752571105957
2010-05-14,13.1473388671875
2010-05-17,13.453970909118652
2010-05-18,13.337736129760742
2010-05-19,13.35777473449707
2010-05-20,13.007046699523926
2010-05-21,13.009053230285645
2010-05-24,13.133312225341797
2010-05-25,12.942914962768555
2010-05-26,13.143332481384277
2010-05-27,13.15736198425293
2010-05-28,13.18942928314209
2010-06-01,13.219491004943848
2010-06-02,13.464001655578613
2010-06-03,13.488048553466797
2010-06-04,13.043124198913574
2010-06-07,13.133312225341797
2010-06-08,13.293644905090332
2010-06-09,13.431930541992188
2010-06-10,13.522119522094727
2010-06-11,13.712515830993652
2010-06-14,13.642367362976074
2010-06-15,13.748587608337402
2010-06-16,13.470012664794922
