Date,NWN
2010-01-04,25.040822982788086
2010-01-05,24.897794723510742
2010-01-06,24.958297729492188
2010-01-07,24.76576805114746
2010-01-08,24.633747100830078
2010-01-11,24.69974708557129
2010-01-12,24.661256790161133
2010-01-13,24.463205337524414
2010-01-14,24.452205657958984
2010-01-15,24.21566390991211
2010-01-19,24.523725509643555
2010-01-20,24.446701049804688
2010-01-21,24.21566390991211
2010-01-22,24.122133255004883
2010-01-25,24.20465660095215
2010-01-26,24.138648986816406
2010-01-27,24.152530670166016
2010-01-28,24.08588409423828
2010-01-29,24.08588409423828
2010-02-01,24.10809326171875
2010-02-02,24.185855865478516
2010-02-03,24.002580642700195
2010-02-04,23.447229385375977
2010-02-05,23.452770233154297
2010-02-08,23.11400604248047
2010-02-09,23.180652618408203
2010-02-10,23.219524383544922
2010-02-11,23.341705322265625
2010-02-12,23.408340454101562
2010-02-16,23.935937881469727
2010-02-17,24.12474822998047
2010-02-18,24.135875701904297
2010-02-19,24.563493728637695
2010-02-22,24.641237258911133
2010-02-23,24.50240135192871
2010-02-24,24.574602127075195
2010-02-25,24.491296768188477
2010-02-26,24.43019676208496
2010-03-01,25.20770835876465
2010-03-02,25.46318244934082
2010-03-03,25.485383987426758
2010-03-04,25.490934371948242
2010-03-05,25.82970428466797
2010-03-08,25.951894760131836
2010-03-09,25.82970428466797
2010-03-10,25.8408203125
2010-03-11,25.768617630004883
2010-03-12,25.779733657836914
2010-03-15,25.651994705200195
2010-03-16,25.7852840423584
2010-03-17,25.99075698852539
2010-03-18,26.051847457885742
2010-03-19,25.985212326049805
2010-03-22,26.074066162109375
2010-03-23,26.21845817565918
2010-03-24,26.01853370666504
2010-03-25,25.7852840423584
2010-03-26,25.779733657836914
2010-03-29,26.157373428344727
2010-03-30,26.101842880249023
2010-03-31,25.879690170288086
2010-04-01,26.090726852416992
2010-04-05,26.368406295776367
2010-04-06,26.48504066467285
2010-04-07,26.579439163208008
2010-04-08,26.28509521484375
2010-04-09,26.035181045532227
2010-04-12,26.435039520263672
2010-04-13,26.3128719329834
2010-04-14,26.30176544189453
2010-04-15,26.407285690307617
2010-04-16,26.323974609375
2010-04-19,26.429489135742188
2010-04-20,26.712724685668945
2010-04-21,26.768259048461914
2010-04-22,26.8848876953125
2010-04-23,27.223657608032227
2010-04-26,27.07369613647461
2010-04-27,26.66830062866211
2010-04-28,26.99602508544922
2010-04-29,27.10805320739746
2010-04-30,26.547853469848633
2010-05-03,27.15287971496582
2010-05-04,26.687902450561523
2010-05-05,25.976457595825195
2010-05-06,25.063316345214844
2010-05-07,24.368677139282227
2010-05-10,25.236988067626953
2010-05-11,25.589927673339844
2010-05-12,26.267749786376953
2010-05-13,26.290172576904297
2010-05-14,26.194929122924805
2010-05-17,26.40781021118164
2010-05-18,26.12209701538086
2010-05-19,25.909229278564453
2010-05-20,24.878461837768555
2010-05-21,24.475116729736328
2010-05-24,24.20623016357422
2010-05-25,24.20062828063965
2010-05-26,24.133403778076172
2010-05-27,24.497526168823242
2010-05-28,24.631980895996094
2010-06-01,24.363088607788086
2010-06-02,24.74962615966797
2010-06-03,25.1529598236084
2010-06-04,24.066164016723633
2010-06-07,24.11098861694336
2010-06-08,24.12779998779297
2010-06-09,24.267841339111328
2010-06-10,24.76642417907715
2010-06-11,24.788841247558594
2010-06-14,24.86726188659668
2010-06-15,25.494678497314453
2010-06-16,25.567506790161133
2010-06-17,25.66274642944336
2010-06-18,25.83640480041504
2010-06-21,25.6179256439209
2010-06-22,25.035324096679688
2010-06-23,24.631980895996094
2010-06-24,24.469520568847656
2010-06-25,24.772031784057617
2010-06-28,24.984901428222656
2010-06-29,24.475116729736328
2010-06-30,24.40789794921875
2010-07-01,24.183822631835938
2010-07-02,24.245433807373047
2010-07-06,24.43030548095703
2010-07-07,24.844852447509766
2010-07-08,25.158559799194336
2010-07-09,25.349027633666992
2010-07-12,25.108156204223633
2010-07-13,25.421855926513672
2010-07-14,25.276199340820312
2010-07-15,25.32101821899414
2010-07-16,24.631980895996094
2010-07-19,24.979299545288086
2010-07-20,25.54509925842285
2010-07-21,25.236988067626953
2010-07-22,25.959638595581055
2010-07-23,26.329378128051758
2010-07-26,26.850370407104492
2010-07-27,27.315340042114258
2010-07-28,26.854843139648438
2010-07-29,26.736190795898438
2010-07-30,26.78704833984375
2010-08-02,27.15995216369629
2010-08-03,27.22211456298828
2010-08-04,27.685415267944336
2010-08-05,27.04694938659668
2010-08-06,26.736190795898438
2010-08-09,27.15430450439453
2010-08-10,26.82094383239746
2010-08-11,26.052539825439453
2010-08-12,25.950834274291992
2010-08-13,25.894332885742188
2010-08-16,25.764387130737305
2010-08-17,25.945194244384766
2010-08-18,25.928232192993164
2010-08-19,25.318029403686523
2010-08-20,25.142871856689453
2010-08-23,25.12027359008789
2010-08-24,24.97337532043457
2010-08-25,25.436670303344727
2010-08-26,25.380172729492188
2010-08-27,25.871740341186523
2010-08-30,25.566621780395508
2010-08-31,25.67397689819336
2010-09-01,26.408491134643555
2010-09-02,26.272886276245117
2010-09-03,26.391536712646484
2010-09-07,25.956480026245117
2010-09-08,25.758731842041016
2010-09-09,26.04124641418457
2010-09-10,26.12033462524414
2010-09-13,26.335037231445312
2010-09-14,26.431087493896484
2010-09-15,26.329397201538086
2010-09-16,26.052539825439453
2010-09-17,26.12598991394043
2010-09-20,26.544097900390625
2010-09-21,26.238988876342773
2010-09-22,26.47628402709961
2010-09-23,26.035593032836914
2010-09-24,26.57234001159668
2010-09-27,26.6175479888916
2010-09-28,26.566694259643555
