Date,HFWA
2010-01-04,8.609245300292969
2010-01-05,8.475394248962402
2010-01-06,8.390213012695312
2010-01-07,8.499728202819824
2010-01-08,8.603163719177246
2010-01-11,8.444972038269043
2010-01-12,8.524066925048828
2010-01-13,8.530152320861816
2010-01-14,8.57274341583252
2010-01-15,8.481477737426758
2010-01-19,8.57274341583252
2010-01-20,8.463226318359375
2010-01-21,8.262445449829102
2010-01-22,8.244189262390137
2010-01-25,8.597078323364258
2010-01-26,8.487564086914062
2010-01-27,8.530152320861816
2010-01-28,8.341541290283203
2010-01-29,8.554488182067871
2010-02-01,8.530152320861816
2010-02-02,8.548404693603516
2010-02-03,8.57274341583252
2010-02-04,8.578828811645508
2010-02-05,8.603163719177246
2010-02-08,8.45714282989502
2010-02-09,8.578828811645508
2010-02-10,8.609245300292969
2010-02-11,8.639667510986328
2010-02-12,8.560572624206543
2010-02-16,8.64575481414795
2010-02-17,8.694429397583008
2010-02-18,8.737015724182129
2010-02-19,8.858701705932617
2010-02-22,8.992557525634766
2010-02-23,8.90737533569336
2010-02-24,9.053400039672852
2010-02-25,9.053400039672852
2010-02-26,8.998641014099121
2010-03-01,9.035147666931152
2010-03-02,9.035147666931152
2010-03-03,8.90737533569336
2010-03-04,8.913460731506348
2010-03-05,9.02906322479248
2010-03-08,8.986473083496094
2010-03-09,8.937799453735352
2010-03-10,8.962135314941406
2010-03-11,8.883041381835938
2010-03-12,8.846532821655273
2010-03-15,8.913460731506348
2010-03-16,9.16291618347168
2010-03-17,9.016892433166504
2010-03-18,8.968221664428711
2010-03-19,9.010808944702148
2010-03-22,8.986473083496094
2010-03-23,9.089908599853516
2010-03-24,9.035147666931152
2010-03-25,9.053400039672852
2010-03-26,9.07165241241455
2010-03-29,9.053400039672852
2010-03-30,9.02906322479248
2010-03-31,9.181169509887695
2010-04-01,9.065570831298828
2010-04-05,9.016892433166504
2010-04-06,9.381949424743652
2010-04-07,9.22375774383545
2010-04-08,9.375865936279297
2010-04-09,9.27243423461914
