Date,ITW
2010-01-04,33.588890075683594
2010-01-05,33.49898147583008
2010-01-06,33.422908782958984
2010-01-07,33.63726806640625
2010-01-08,33.95539474487305
2010-01-11,34.54323959350586
2010-01-12,33.67185592651367
2010-01-13,33.6511116027832
2010-01-14,33.547386169433594
2010-01-15,33.1117057800293
2010-01-19,33.6511116027832
2010-01-20,33.36757278442383
2010-01-21,31.742427825927734
2010-01-22,31.3620662689209
2010-01-25,31.417396545410156
2010-01-26,31.25141716003418
2010-01-27,30.42154884338379
2010-01-28,30.38007354736328
2010-01-29,30.144935607910156
2010-02-01,30.22100257873535
2010-02-02,30.442302703857422
2010-02-03,30.248666763305664
2010-02-04,29.411884307861328
2010-02-05,29.501781463623047
2010-02-08,29.2182559967041
2010-02-09,29.937458038330078
2010-02-10,29.729999542236328
2010-02-11,30.35929298400879
2010-02-12,30.17951774597168
2010-02-16,30.90564727783203
2010-02-17,31.431228637695312
2010-02-18,32.20576095581055
2010-02-19,32.33716583251953
2010-02-22,32.129695892333984
2010-02-23,31.541866302490234
2010-02-24,31.417396545410156
2010-02-25,31.272171020507812
2010-02-26,31.479637145996094
2010-03-01,31.873825073242188
2010-03-02,31.83924102783203
2010-03-03,31.949893951416016
2010-03-04,32.143524169921875
2010-03-05,32.689857482910156
2010-03-08,32.26800537109375
2010-03-09,32.25418472290039
2010-03-10,32.323326110839844
2010-03-11,32.26800537109375
2010-03-12,32.261104583740234
2010-03-15,31.44504737854004
2010-03-16,31.673263549804688
2010-03-17,32.00522232055664
2010-03-18,32.63452911376953
2010-03-19,32.34407043457031
2010-03-22,32.46164321899414
2010-03-23,32.876583099365234
2010-03-24,32.433990478515625
2010-03-25,32.357913970947266
2010-03-26,32.66218566894531
2010-03-29,32.86405944824219
2010-03-30,33.017215728759766
2010-03-31,32.96848678588867
2010-04-01,33.191246032714844
2010-04-05,33.33047866821289
2010-04-06,33.20518112182617
2010-04-07,32.88496780395508
2010-04-08,32.86405944824219
2010-04-09,33.22604751586914
2010-04-12,33.386165618896484
2010-04-13,33.34439468383789
2010-04-14,33.664615631103516
2010-04-15,34.49299240112305
2010-04-16,34.11711120605469
2010-04-19,33.977874755859375
2010-04-20,35.30051803588867
2010-04-21,35.53718566894531
2010-04-22,36.44215393066406
2010-04-23,36.49784469604492
2010-04-26,36.54656982421875
2010-04-27,35.48845291137695
2010-04-28,35.65553665161133
2010-04-29,36.39341354370117
2010-04-30,35.57200241088867
2010-05-03,36.198509216308594
2010-05-04,35.06383514404297
2010-05-05,34.64614486694336
2010-05-06,33.58106231689453
2010-05-07,33.21213150024414
2010-05-10,34.97332763671875
2010-05-11,34.88978958129883
2010-05-12,35.84348678588867
2010-05-13,35.14736557006836
2010-05-14,34.36074447631836
2010-05-17,34.611328125
2010-05-18,33.97089767456055
2010-05-19,33.06594467163086
2010-05-20,31.409160614013672
2010-05-21,31.7015323638916
2010-05-24,31.50662612915039
2010-05-25,31.402210235595703
