Date,DLX
2010-01-04,8.790740966796875
2010-01-05,8.807639122009277
2010-01-06,8.728798866271973
2010-01-07,8.785112380981445
2010-01-08,8.68937873840332
2010-01-11,8.830163955688477
2010-01-12,8.903373718261719
2010-01-13,8.954056739807129
2010-01-14,9.094841957092285
2010-01-15,9.010372161865234
2010-01-19,9.235630989074707
2010-01-20,9.038527488708496
2010-01-21,8.993478775024414
2010-01-22,8.948424339294434
2010-01-25,8.999107360839844
2010-01-26,8.869583129882812
2010-01-27,9.049790382385254
2010-01-28,9.973357200622559
2010-01-29,10.480186462402344
2010-02-01,10.36192512512207
2010-02-02,10.243667602539062
2010-02-03,10.283084869384766
2010-02-04,9.871989250183105
2010-02-05,9.815673828125
2010-02-08,9.60731029510498
2010-02-09,9.764986038208008
2010-02-10,9.736421585083008
2010-02-11,9.947833061218262
2010-02-12,9.959261894226074
2010-02-16,10.330660820007324
2010-02-17,10.444940567016602
2010-02-18,10.799199104309082
2010-02-19,10.684925079345703
2010-02-22,10.639211654663086
2010-02-23,10.387800216674805
2010-02-24,10.376371383666992
2010-02-25,10.450654029846191
2010-02-26,10.256376266479492
2010-03-01,10.65063762664795
2010-03-02,11.010612487792969
2010-03-03,11.062036514282227
2010-03-04,11.107741355895996
2010-03-05,10.999183654785156
2010-03-08,10.810626983642578
2010-03-09,10.930618286132812
2010-03-10,10.999183654785156
2010-03-11,11.010612487792969
2010-03-12,10.930618286132812
2010-03-15,11.05060863494873
2010-03-16,11.182025909423828
2010-03-17,11.364874839782715
2010-03-18,11.376297950744629
2010-03-19,11.142026901245117
2010-03-22,11.387731552124023
2010-03-23,11.587712287902832
2010-03-24,11.296304702758789
2010-03-25,11.21630859375
2010-03-26,11.267735481262207
2010-03-29,11.19917106628418
2010-03-30,11.290587425231934
2010-03-31,11.09632396697998
2010-04-01,11.113460540771484
2010-04-05,11.267735481262207
2010-04-06,11.41629409790039
2010-04-07,11.290587425231934
2010-04-08,11.193455696105957
2010-04-09,11.09632396697998
2010-04-12,11.022039413452148
2010-04-13,11.14774227142334
2010-04-14,11.73055648803711
2010-04-15,11.879121780395508
2010-04-16,11.581997871398926
2010-04-19,11.713417053222656
2010-04-20,11.91911506652832
2010-04-21,11.947681427001953
2010-04-22,13.36471939086914
2010-04-23,13.033318519592285
2010-04-26,12.764769554138184
2010-04-27,12.336234092712402
2010-04-28,12.250520706176758
2010-04-29,12.684772491455078
2010-04-30,11.981966972351074
2010-05-03,12.684772491455078
2010-05-04,12.227663040161133
2010-05-05,12.039108276367188
2010-05-06,11.736271858215332
2010-05-07,11.370584487915039
2010-05-10,12.107674598693848
2010-05-11,12.199095726013184
2010-05-12,12.701912879943848
2010-05-13,12.759703636169434
2010-05-14,12.586338996887207
2010-05-17,12.829050064086914
2010-05-18,12.673019409179688
2010-05-19,12.649903297424316
2010-05-20,11.823526382446289
2010-05-21,11.811973571777344
2010-05-24,11.696391105651855
2010-05-25,11.765740394592285
2010-05-26,11.921768188476562
2010-05-27,12.777044296264648
2010-05-28,12.407190322875977
2010-06-01,11.80041217803955
2010-06-02,12.193375587463379
2010-06-03,12.251167297363281
2010-06-04,11.453683853149414
2010-06-07,11.026050567626953
2010-06-08,11.0953950881958
2010-06-09,11.30343246459961
2010-06-10,11.725292205810547
2010-06-11,11.863980293273926
2010-06-14,11.638605117797852
2010-06-15,12.228050231933594
2010-06-16,12.22226619720459
2010-06-17,12.170260429382324
2010-06-18,12.176039695739746
2010-06-21,11.962224006652832
2010-06-22,11.742627143859863
2010-06-23,11.575039863586426
2010-06-24,11.413232803344727
2010-06-25,11.598153114318848
2010-06-28,11.603934288024902
2010-06-29,11.187856674194336
2010-06-30,10.83535099029541
2010-07-01,10.864243507385254
2010-07-02,10.748665809631348
2010-07-06,10.430824279785156
2010-07-07,11.054944038391113
2010-07-08,11.297650337219238
2010-07-09,11.309209823608398
2010-07-12,11.066500663757324
2010-07-13,11.580820083618164
2010-07-14,11.759957313537598
2010-07-15,11.442122459411621
2010-07-16,10.8757963180542
2010-07-19,10.893133163452148
2010-07-20,11.008710861206055
2010-07-21,10.887359619140625
2010-07-22,12.551665306091309
2010-07-23,12.511211395263672
2010-07-26,12.736590385437012
2010-07-27,12.673019409179688
2010-07-28,12.291619300842285
2010-07-29,12.285836219787598
2010-07-30,11.892876625061035
2010-08-02,12.014235496520996
2010-08-03,11.788856506347656
2010-08-04,12.031566619873047
2010-08-05,11.748403549194336
2010-08-06,11.638605117797852
2010-08-09,11.788856506347656
2010-08-10,11.430569648742676
2010-08-11,10.870018005371094
2010-08-12,10.512757301330566
2010-08-13,10.36634349822998
2010-08-16,10.372206687927246
2010-08-17,10.635749816894531
2010-08-18,10.805598258972168
2010-08-19,10.255064964294434
2010-08-20,10.120361328125
2010-08-23,9.956374168395996
2010-08-24,9.979804992675781
2010-08-25,10.219925880432129
2010-08-26,10.102791786193848
2010-08-27,10.243353843688965
2010-08-30,9.86852741241455
2010-08-31,9.798242568969727
2010-09-01,10.307779312133789
2010-09-02,10.33705997467041
2010-09-03,10.7880220413208
2010-09-07,10.401484489440918
2010-09-08,10.33705997467041
2010-09-09,10.430771827697754
2010-09-10,10.536185264587402
2010-09-13,10.887590408325195
2010-09-14,10.682602882385254
2010-09-15,10.624040603637695
2010-09-16,10.577180862426758
2010-09-17,10.612329483032227
2010-09-20,11.028151512145996
2010-09-21,10.852452278137207
2010-09-22,10.670890808105469
2010-09-23,10.424908638000488
2010-09-24,11.028151512145996
2010-09-27,10.97544002532959
2010-09-28,11.274131774902344
