Date,FRGE
2021-02-01,154.64999389648438
2021-02-02,156.4499969482422
2021-02-03,159.75
2021-02-04,156.0
2021-02-05,159.0
2021-02-08,161.85000610351562
2021-02-09,161.6999969482422
2021-02-10,160.64999389648438
2021-02-11,161.85000610351562
2021-02-12,160.1999969482422
2021-02-16,160.8000030517578
2021-02-17,160.9499969482422
2021-02-18,160.64999389648438
2021-02-19,161.85000610351562
2021-02-22,161.10000610351562
2021-02-23,159.0
2021-02-24,158.25
2021-02-25,153.89999389648438
2021-02-26,154.0500030517578
2021-03-01,153.75
2021-03-02,151.35000610351562
2021-03-03,152.85000610351562
2021-03-04,149.25
2021-03-05,151.35000610351562
2021-03-08,150.0
2021-03-09,149.25
2021-03-10,150.14999389648438
2021-03-11,150.0
2021-03-12,150.60000610351562
2021-03-15,150.60000610351562
2021-03-16,150.14999389648438
2021-03-17,149.6999969482422
2021-03-18,148.5
2021-03-19,147.75
2021-03-22,148.5
2021-03-23,148.35000610351562
2021-03-24,146.39999389648438
2021-03-25,147.60000610351562
2021-03-26,147.75
2021-03-29,147.75
2021-03-30,147.14999389648438
2021-03-31,147.0
2021-04-01,147.4499969482422
2021-04-05,147.4499969482422
2021-04-06,147.8249969482422
2021-04-07,149.25
2021-04-08,149.25
2021-04-09,150.60000610351562
2021-04-12,150.4499969482422
2021-04-13,149.6999969482422
2021-04-14,148.8000030517578
2021-04-15,147.75
2021-04-16,148.5
2021-04-19,148.8000030517578
2021-04-20,147.0
2021-04-21,147.4499969482422
2021-04-22,146.85000610351562
2021-04-23,146.85000610351562
2021-04-26,146.10000610351562
2021-04-27,146.5500030517578
2021-04-28,147.89999389648438
2021-04-29,148.0500030517578
2021-04-30,147.3000030517578
2021-05-03,147.14999389648438
2021-05-04,147.75
2021-05-05,148.35000610351562
2021-05-06,149.25
2021-05-07,147.4499969482422
2021-05-10,147.0
2021-05-11,146.5500030517578
2021-05-12,146.85000610351562
2021-05-13,146.5500030517578
2021-05-14,146.85000610351562
2021-05-17,146.39999389648438
2021-05-18,147.3000030517578
2021-05-19,146.6999969482422
2021-05-20,145.9499969482422
2021-05-21,146.25
2021-05-24,145.8000030517578
2021-05-25,145.5
2021-05-26,146.5500030517578
2021-05-27,146.02499389648438
2021-05-28,146.85000610351562
2021-06-01,146.6999969482422
2021-06-02,146.5500030517578
2021-06-03,146.25
2021-06-04,146.10000610351562
2021-06-07,145.9499969482422
2021-06-08,146.39999389648438
2021-06-09,145.9499969482422
2021-06-10,146.5500030517578
2021-06-11,147.0
2021-06-14,147.0
2021-06-15,146.5500030517578
2021-06-16,146.5500030517578
2021-06-17,146.6999969482422
2021-06-18,146.39999389648438
2021-06-21,146.39999389648438
2021-06-22,146.10000610351562
2021-06-23,145.9499969482422
2021-06-24,145.9499969482422
2021-06-25,145.9499969482422
2021-06-28,147.0
2021-06-29,146.25
2021-06-30,146.5500030517578
2021-07-01,146.5500030517578
2021-07-02,146.39999389648438
2021-07-06,146.39999389648438
2021-07-07,146.25
2021-07-08,146.6999969482422
2021-07-09,146.25
2021-07-12,146.5500030517578
2021-07-13,146.5500030517578
2021-07-14,146.39999389648438
2021-07-15,146.5500030517578
2021-07-16,146.25
2021-07-19,146.25
2021-07-20,146.5500030517578
2021-07-21,146.39999389648438
2021-07-22,146.25
2021-07-23,146.5500030517578
2021-07-26,146.25
2021-07-27,146.10000610351562
2021-07-28,145.9499969482422
2021-07-29,145.64999389648438
2021-07-30,145.8000030517578
2021-08-02,145.9499969482422
2021-08-03,146.25
2021-08-04,146.10000610351562
2021-08-05,146.25
2021-08-06,145.8000030517578
2021-08-09,145.64999389648438
2021-08-10,146.10000610351562
2021-08-11,146.10000610351562
2021-08-12,145.9499969482422
2021-08-13,145.8000030517578
2021-08-16,146.10000610351562
2021-08-17,145.5
2021-08-18,145.5
2021-08-19,145.1999969482422
2021-08-20,145.35000610351562
2021-08-23,145.35000610351562
2021-08-24,145.5
2021-08-25,145.8000030517578
2021-08-26,145.8000030517578
2021-08-27,145.5
2021-08-30,145.8000030517578
2021-08-31,145.9499969482422
2021-09-01,146.10000610351562
2021-09-02,145.9499969482422
2021-09-03,145.9499969482422
2021-09-07,145.9499969482422
2021-09-08,145.9499969482422
2021-09-09,145.8000030517578
2021-09-10,146.10000610351562
2021-09-13,148.35000610351562
2021-09-14,148.1999969482422
2021-09-15,148.1999969482422
2021-09-16,148.0500030517578
2021-09-17,148.32000732421875
2021-09-20,147.89999389648438
2021-09-21,148.1999969482422
2021-09-22,148.0500030517578
2021-09-23,148.0500030517578
2021-09-24,148.35000610351562
2021-09-27,147.89999389648438
2021-09-28,148.5
2021-09-29,148.5
2021-09-30,148.5
2021-10-01,148.1999969482422
2021-10-04,147.89999389648438
2021-10-05,148.0500030517578
2021-10-06,147.89999389648438
2021-10-07,148.1999969482422
2021-10-08,148.5
2021-10-11,148.8000030517578
2021-10-12,148.5
2021-10-13,148.64999389648438
2021-10-14,148.64999389648438
2021-10-15,148.5
2021-10-18,148.64999389648438
2021-10-19,148.5
2021-10-20,148.5
2021-10-21,148.64999389648438
2021-10-22,148.8000030517578
2021-10-25,148.8000030517578
2021-10-26,149.10000610351562
2021-10-27,149.10000610351562
2021-10-28,149.25
2021-10-29,149.25
2021-11-01,148.9499969482422
2021-11-02,149.10000610351562
2021-11-03,149.10000610351562
2021-11-04,149.10000610351562
2021-11-05,148.8000030517578
2021-11-08,148.8000030517578
2021-11-09,149.5500030517578
2021-11-10,149.5500030517578
2021-11-11,149.25
2021-11-12,149.5500030517578
2021-11-15,148.9499969482422
2021-11-16,149.10000610351562
2021-11-17,149.10000610351562
2021-11-18,148.9499969482422
2021-11-19,148.9499969482422
2021-11-22,148.8000030517578
2021-11-23,149.25
2021-11-24,148.9499969482422
2021-11-26,149.25
2021-11-29,149.25
2021-11-30,148.8000030517578
2021-12-01,148.8000030517578
2021-12-02,148.5
2021-12-03,148.5
2021-12-06,148.5
2021-12-07,148.8000030517578
2021-12-08,148.64999389648438
2021-12-09,148.9499969482422
2021-12-10,148.5
2021-12-13,148.9499969482422
2021-12-14,149.02499389648438
2021-12-15,148.64999389648438
2021-12-16,147.89999389648438
2021-12-17,148.1999969482422
2021-12-20,148.1999969482422
2021-12-21,148.1999969482422
2021-12-22,148.1999969482422
2021-12-23,148.5
2021-12-27,148.9499969482422
2021-12-28,148.64999389648438
2021-12-29,148.35000610351562
2021-12-30,148.35000610351562
2021-12-31,147.60000610351562
2022-01-03,148.64999389648438
2022-01-04,148.8000030517578
2022-01-05,149.25
2022-01-06,148.9199981689453
2022-01-07,148.5
2022-01-10,148.5749969482422
2022-01-11,148.64999389648438
2022-01-12,148.72500610351562
2022-01-13,148.5
2022-01-14,148.5
2022-01-18,148.1999969482422
