Date,WSC
2015-11-05,9.575037956237793
2015-11-06,9.644495010375977
2015-11-09,9.644495010375977
2015-11-10,9.575037956237793
2015-11-11,9.575037956237793
2015-11-12,9.525426864624023
2015-11-13,9.575037956237793
2015-11-16,9.575037956237793
2015-11-17,9.545270919799805
2015-11-18,9.535347938537598
2015-11-19,9.5849609375
2015-11-20,9.575037956237793
2015-11-23,9.575037956237793
2015-11-24,9.684183120727539
2015-11-25,9.684183120727539
2015-11-27,9.684183120727539
2015-11-30,9.65441608428955
2015-12-01,9.65441608428955
2015-12-02,9.65441608428955
2015-12-03,9.65441608428955
2015-12-04,9.65441608428955
2015-12-07,9.65441608428955
2015-12-08,9.65441608428955
2015-12-09,9.65441608428955
2015-12-10,9.65441608428955
2015-12-11,9.65441608428955
2015-12-14,9.525426864624023
2015-12-15,9.525426864624023
2015-12-16,9.525426864624023
2015-12-17,9.525426864624023
2015-12-18,9.525426864624023
2015-12-21,9.525426864624023
2015-12-22,9.475814819335938
2015-12-23,9.45596981048584
2015-12-24,9.45596981048584
2015-12-28,9.475814819335938
2015-12-29,9.475814819335938
2015-12-30,9.475814819335938
2015-12-31,9.485737800598145
2016-01-04,9.65441608428955
2016-01-05,9.5849609375
2016-01-06,9.604804992675781
2016-01-07,9.535347938537598
2016-01-08,9.525426864624023
2016-01-11,9.594882011413574
2016-01-12,9.475814819335938
2016-01-13,9.485737800598145
2016-01-14,9.485737800598145
2016-01-15,9.436125755310059
2016-01-19,9.475814819335938
2016-01-20,9.426203727722168
2016-01-21,9.426203727722168
2016-01-22,9.475814819335938
2016-01-25,9.475814819335938
2016-01-26,9.475814819335938
2016-01-27,9.575037956237793
2016-01-28,9.535347938537598
2016-01-29,9.535347938537598
2016-02-01,9.535347938537598
2016-02-02,9.535347938537598
2016-02-03,9.535347938537598
2016-02-04,9.485737800598145
2016-02-05,9.505581855773926
2016-02-08,9.505581855773926
2016-02-09,9.525426864624023
2016-02-10,9.495659828186035
2016-02-11,9.515504837036133
2016-02-12,9.515504837036133
2016-02-16,9.485737800598145
2016-02-17,9.485737800598145
2016-02-18,9.475814819335938
2016-02-19,9.604804992675781
2016-02-22,9.475814819335938
2016-02-23,9.565115928649902
2016-02-24,9.624649047851562
2016-02-25,9.624649047851562
2016-02-26,9.624649047851562
2016-02-29,9.624649047851562
2016-03-01,9.525426864624023
2016-03-02,9.674261093139648
2016-03-03,9.674261093139648
2016-03-04,9.674261093139648
2016-03-07,9.674261093139648
2016-03-08,9.674261093139648
2016-03-09,9.704028129577637
2016-03-10,9.704028129577637
2016-03-11,9.704028129577637
2016-03-14,9.704028129577637
2016-03-15,9.704028129577637
2016-03-16,9.704028129577637
2016-03-17,9.704028129577637
2016-03-18,9.704028129577637
2016-03-21,9.664338111877441
2016-03-22,9.644495010375977
2016-03-23,9.644495010375977
2016-03-24,9.644495010375977
2016-03-28,9.644495010375977
2016-03-29,9.644495010375977
2016-03-30,9.644495010375977
2016-03-31,9.644495010375977
2016-04-01,9.694106101989746
2016-04-04,9.694106101989746
2016-04-05,9.694106101989746
2016-04-06,9.694106101989746
2016-04-07,9.643501281738281
2016-04-08,9.67326831817627
2016-04-11,9.67326831817627
