Date,ADCT
2020-05-18,30.0
2020-05-19,31.139999389648438
2020-05-20,32.380001068115234
2020-05-21,34.33000183105469
2020-05-22,35.29999923706055
2020-05-26,36.400001525878906
2020-05-27,36.13999938964844
2020-05-28,37.95000076293945
2020-05-29,36.95000076293945
2020-06-01,36.22999954223633
2020-06-02,36.81999969482422
2020-06-03,35.849998474121094
2020-06-04,34.9900016784668
2020-06-05,34.95000076293945
2020-06-08,35.25
2020-06-09,36.650001525878906
2020-06-10,37.560001373291016
2020-06-11,38.59000015258789
2020-06-12,40.31999969482422
2020-06-15,39.66999816894531
2020-06-16,39.63999938964844
2020-06-17,39.099998474121094
2020-06-18,40.29999923706055
2020-06-19,41.5
2020-06-22,42.09000015258789
2020-06-23,43.22999954223633
2020-06-24,42.959999084472656
2020-06-25,42.709999084472656
2020-06-26,43.150001525878906
2020-06-29,45.939998626708984
2020-06-30,46.810001373291016
2020-07-01,48.77000045776367
2020-07-02,51.04999923706055
2020-07-06,48.93000030517578
2020-07-07,47.5099983215332
2020-07-08,44.619998931884766
2020-07-09,44.31999969482422
2020-07-10,43.400001525878906
2020-07-13,43.310001373291016
2020-07-14,42.369998931884766
2020-07-15,45.130001068115234
2020-07-16,47.4900016784668
2020-07-17,49.0
2020-07-20,48.689998626708984
2020-07-21,48.369998931884766
2020-07-22,47.0
2020-07-23,48.81999969482422
2020-07-24,48.650001525878906
2020-07-27,48.689998626708984
2020-07-28,48.599998474121094
2020-07-29,48.33000183105469
2020-07-30,48.209999084472656
2020-07-31,46.5
2020-08-03,46.83000183105469
2020-08-04,48.959999084472656
2020-08-05,51.029998779296875
2020-08-06,46.7400016784668
2020-08-07,48.130001068115234
2020-08-10,49.779998779296875
2020-08-11,43.25
2020-08-12,43.0
2020-08-13,42.29999923706055
2020-08-14,39.529998779296875
2020-08-17,38.619998931884766
2020-08-18,39.0
2020-08-19,39.70000076293945
2020-08-20,40.2400016784668
2020-08-21,42.52000045776367
2020-08-24,44.11000061035156
2020-08-25,45.72999954223633
2020-08-26,44.06999969482422
2020-08-27,43.959999084472656
2020-08-28,45.849998474121094
2020-08-31,44.16999816894531
2020-09-01,41.189998626708984
2020-09-02,39.84000015258789
2020-09-03,40.040000915527344
2020-09-04,36.939998626708984
2020-09-08,36.09000015258789
