Date,JACK
2010-01-04,15.8104887008667
2010-01-05,15.850829124450684
2010-01-06,15.939621925354004
2010-01-07,16.440000534057617
2010-01-08,16.327009201049805
2010-01-11,15.996109962463379
2010-01-12,16.15752601623535
2010-01-13,16.351219177246094
2010-01-14,16.79510498046875
2010-01-15,16.746681213378906
2010-01-19,16.585268020629883
2010-01-20,16.60140609741211
2010-01-21,16.60140609741211
2010-01-22,16.28665542602539
2010-01-25,16.00418472290039
2010-01-26,16.052610397338867
2010-01-27,16.06068229675293
2010-01-28,15.8104887008667
2010-01-29,15.745919227600098
2010-02-01,15.92347240447998
2010-02-02,16.41578483581543
2010-02-03,16.73054313659668
2010-02-04,16.778966903686523
2010-02-05,16.883882522583008
2010-02-08,17.142148971557617
2010-02-09,17.142148971557617
2010-02-10,17.23092269897461
2010-02-11,17.35198402404785
2010-02-12,17.497255325317383
2010-02-16,17.634462356567383
2010-02-17,17.513397216796875
2010-02-18,16.552988052368164
2010-02-19,16.50457191467285
2010-02-22,16.431930541992188
2010-02-23,16.173662185668945
2010-02-24,16.512632369995117
2010-02-25,16.407711029052734
2010-02-26,17.045299530029297
2010-03-01,17.376195907592773
2010-03-02,17.513397216796875
2010-03-03,17.803943634033203
2010-03-04,17.892724990844727
2010-03-05,18.239765167236328
2010-03-08,18.48188018798828
2010-03-09,18.611011505126953
2010-03-10,18.43345832824707
2010-03-11,18.691720962524414
2010-03-12,18.63522720336914
2010-03-15,18.586801528930664
2010-03-16,18.659435272216797
2010-03-17,19.611774444580078
2010-03-18,19.49878692626953
2010-03-19,19.297019958496094
2010-03-22,19.19210433959961
2010-03-23,19.159818649291992
2010-03-24,18.95805549621582
2010-03-25,18.764360427856445
2010-03-26,18.82085418701172
2010-03-29,19.030685424804688
2010-03-30,19.038759231567383
2010-03-31,19.00647735595703
2010-04-01,19.18403434753418
2010-04-05,19.482646942138672
2010-04-06,19.603713989257812
2010-04-07,19.7731876373291
2010-04-08,19.96689224243164
