Date,NAT
2010-01-04,9.23577880859375
2010-01-05,9.256893157958984
2010-01-06,9.661072731018066
2010-01-07,9.77267074584961
2010-01-08,9.851096153259277
2010-01-11,10.24622631072998
2010-01-12,10.128595352172852
2010-01-13,10.161773681640625
2010-01-14,10.113511085510254
2010-01-15,10.02905559539795
2010-01-19,10.255277633666992
2010-01-20,10.17685317993164
2010-01-21,9.848078727722168
2010-01-22,9.142273902893066
2010-01-25,9.184501647949219
2010-01-26,9.205620765686035
2010-01-27,9.271976470947266
2010-01-28,9.121163368225098
2010-01-29,8.949236869812012
2010-02-01,9.003525733947754
2010-02-02,8.967331886291504
2010-02-03,8.928122520446777
2010-02-04,8.638561248779297
2010-02-05,8.554102897644043
2010-02-08,8.412342071533203
2010-02-09,8.478703498840332
2010-02-10,8.557121276855469
2010-02-11,8.689837455749512
2010-02-12,8.710951805114746
2010-02-16,8.90399169921875
2010-02-17,8.885895729064941
2010-02-18,8.910024642944336
2010-02-19,8.964781761169434
2010-02-22,8.913064956665039
2010-02-23,8.715338706970215
2010-02-24,8.767050743103027
2010-02-25,8.821805953979492
2010-02-26,8.840063095092773
2010-03-01,8.800511360168457
2010-03-02,8.748797416687012
2010-03-03,8.788346290588379
2010-03-04,8.773133277893066
2010-03-05,8.739669799804688
2010-03-08,9.083419799804688
2010-03-09,9.226390838623047
2010-03-10,9.351117134094238
2010-03-11,9.220306396484375
2010-03-12,9.256813049316406
2010-03-15,9.18380355834961
2010-03-16,9.232475280761719
2010-03-17,9.220306396484375
2010-03-18,9.265938758850098
2010-03-19,9.1168851852417
2010-03-22,9.101673126220703
2010-03-23,9.202058792114258
2010-03-24,9.18380355834961
2010-03-25,9.065168380737305
2010-03-26,9.101673126220703
2010-03-29,9.1168851852417
2010-03-30,9.253772735595703
2010-03-31,9.208138465881348
2010-04-01,9.351117134094238
2010-04-05,9.533631324768066
2010-04-06,9.567097663879395
2010-04-07,9.442376136779785
2010-04-08,9.433249473571777
2010-04-09,9.612727165222168
2010-04-12,9.582305908203125
2010-04-13,9.5914306640625
2010-04-14,9.70094108581543
2010-04-15,9.63097858428955
2010-04-16,9.551884651184082
2010-04-19,9.527549743652344
2010-04-20,9.640107154846191
2010-04-21,9.664441108703613
2010-04-22,9.6857328414917
2010-04-23,9.746575355529785
2010-04-26,9.667484283447266
2010-04-27,9.521467208862305
2010-04-28,9.478877067565918
2010-04-29,9.45150375366211
2010-04-30,9.503211975097656
2010-05-03,9.74353313446045
2010-05-04,9.54276180267334
2010-05-05,9.26898193359375
2010-05-06,8.843101501464844
2010-05-07,8.602784156799316
2010-05-10,9.028663635253906
2010-05-11,9.07429027557373
2010-05-12,9.26898193359375
2010-05-13,9.326777458190918
2010-05-14,9.348073959350586
2010-05-17,9.2146635055542
2010-05-18,9.19914722442627
2010-05-19,9.028509140014648
2010-05-20,8.612761497497559
2010-05-21,8.718247413635254
2010-05-24,8.603455543518066
2010-05-25,8.615861892700195
2010-05-26,8.653094291687012
2010-05-27,8.97886848449707
2010-05-28,8.811325073242188
2010-06-01,8.687223434448242
2010-06-02,9.065736770629883
2010-06-03,9.065736770629883
2010-06-04,8.767890930175781
2010-06-07,8.538300514221191
2010-06-08,8.553812980651855
2010-06-09,8.553812980651855
2010-06-10,8.85165786743164
2010-06-11,8.96335506439209
2010-06-14,9.087454795837402
2010-06-15,9.310843467712402
2010-06-16,9.236380577087402
2010-06-17,9.183634757995605
2010-06-18,9.227068901062012
2010-06-21,9.186738014221191
2010-06-22,9.040918350219727
2010-06-23,8.994377136230469
2010-06-24,8.895096778869629
2010-06-25,9.1588134765625
2010-06-28,9.109171867370605
2010-06-29,8.864070892333984
2010-06-30,8.715147018432617
2010-07-01,8.541399002075195
2010-07-02,8.470044136047363
2010-07-06,8.417299270629883
2010-07-07,8.622069358825684
2010-07-08,8.668608665466309
2010-07-09,8.764785766601562
2010-07-12,8.665505409240723
2010-07-13,8.836146354675293
2010-07-14,8.882686614990234
2010-07-15,8.640684127807617
2010-07-16,8.563119888305664
2010-07-19,8.56932544708252
2010-07-20,8.739969253540039
2010-07-21,8.628274917602539
2010-07-22,8.77409553527832
2010-07-23,8.898197174072266
2010-07-26,9.149505615234375
2010-07-27,9.183634757995605
2010-07-28,8.97886848449707
2010-07-29,8.947836875915527
2010-07-30,8.898197174072266
2010-08-02,8.96335506439209
2010-08-03,9.022300720214844
2010-08-04,9.112277030944824
2010-08-05,9.065736770629883
2010-08-06,9.23017406463623
2010-08-09,9.19914722442627
2010-08-10,9.093659400939941
2010-08-11,8.944735527038574
2010-08-12,8.938531875610352
2010-08-13,8.867173194885254
2010-08-16,9.044022560119629
2010-08-17,9.19914722442627
2010-08-18,9.142147064208984
2010-08-19,8.923645973205566
2010-08-20,8.857152938842773
2010-08-23,8.72731876373291
2010-08-24,8.584816932678223
2010-08-25,8.540486335754395
2010-08-26,8.502482414245605
2010-08-27,8.686145782470703
2010-08-30,8.4676513671875
2010-08-31,8.382149696350098
2010-09-01,8.546817779541016
2010-09-02,8.644981384277344
2010-09-03,8.774818420410156
2010-09-07,8.477149963378906
2010-09-08,8.515149116516113
2010-09-09,8.562651634216309
2010-09-10,8.565815925598145
2010-09-13,8.594315528869629
2010-09-14,8.546817779541016
2010-09-15,8.50881576538086
2010-09-16,8.505648612976074
2010-09-17,8.530986785888672
2010-09-20,8.613317489624023
2010-09-21,8.619651794433594
2010-09-22,8.556316375732422
2010-09-23,8.369483947753906
2010-09-24,8.407485008239746
2010-09-27,8.416984558105469
2010-09-28,8.448649406433105
