Date,CIO
2014-04-15,5.448174953460693
2014-04-16,5.413026332855225
2014-04-17,5.448174953460693
2014-04-21,5.505293369293213
2014-04-22,5.514081001281738
2014-04-23,5.5228681564331055
2014-04-24,5.452568054199219
2014-04-25,5.47892951965332
2014-04-28,5.505293369293213
2014-04-29,5.474539279937744
2014-04-30,5.505293369293213
2014-05-01,5.5096869468688965
2014-05-02,5.48771858215332
2014-05-05,5.5228681564331055
2014-05-06,5.48771858215332
2014-05-07,5.48771858215332
2014-05-08,5.500900745391846
2014-05-09,5.474539279937744
2014-05-12,5.483323574066162
2014-05-13,5.474539279937744
2014-05-14,5.505293369293213
2014-05-15,5.4921112060546875
2014-05-16,5.48771858215332
2014-05-19,5.474539279937744
2014-05-20,5.4701433181762695
2014-05-21,5.465747833251953
2014-05-22,5.434994220733643
2014-05-23,5.465747833251953
2014-05-27,5.439387798309326
2014-05-28,5.443782329559326
2014-05-29,5.430599212646484
2014-05-30,5.4569621086120605
2014-06-02,5.465747833251953
2014-06-03,5.4701433181762695
2014-06-04,5.48771858215332
2014-06-05,5.5096869468688965
2014-06-06,5.4921112060546875
2014-06-09,5.4921112060546875
2014-06-10,5.4921112060546875
2014-06-11,5.4921112060546875
2014-06-12,5.536049842834473
2014-06-13,5.610741138458252
2014-06-16,5.6898274421691895
2014-06-17,5.619529724121094
2014-06-18,5.601954460144043
2014-06-19,5.483323574066162
2014-06-20,5.232884883880615
2014-06-23,5.439387798309326
2014-06-24,5.566803932189941
2014-06-25,5.58437967300415
2014-06-26,5.610741138458252
2014-06-27,5.531655788421631
2014-06-30,5.571199417114258
2014-07-01,5.639405250549316
2014-07-02,5.599285125732422
2014-07-03,5.639405250549316
2014-07-07,5.670612335205078
2014-07-08,5.683984756469727
2014-07-09,5.60820198059082
2014-07-10,5.724108695983887
2014-07-11,5.782063961029053
2014-07-14,5.724108695983887
2014-07-15,5.679528713226318
2014-07-16,5.6884446144104
2014-07-17,5.737482070922852
2014-07-18,5.737482070922852
2014-07-21,5.683984756469727
2014-07-22,5.661697864532471
2014-07-23,5.768688201904297
2014-07-24,5.60820198059082
2014-07-25,5.594825744628906
2014-07-28,5.612656593322754
2014-07-29,5.581452369689941
2014-07-30,5.599285125732422
2014-07-31,5.5769944190979
2014-08-01,5.559161186218262
2014-08-04,5.501206398010254
2014-08-05,5.7062764167785645
2014-08-06,5.57253360748291
2014-08-07,5.581452369689941
2014-08-08,5.590367317199707
2014-08-11,5.594825744628906
2014-08-12,5.57253360748291
2014-08-13,5.568077087402344
2014-08-14,5.594825744628906
2014-08-15,5.6171159744262695
2014-08-18,5.581452369689941
2014-08-19,5.639405250549316
2014-08-20,5.697360992431641
2014-08-21,5.661697864532471
2014-08-22,5.657238483428955
2014-08-25,5.675069808959961
2014-08-26,5.701819896697998
2014-08-27,5.835559844970703
2014-08-28,5.804352760314941
2014-08-29,5.733024597167969
2014-09-02,5.71519136428833
2014-09-03,5.6037421226501465
2014-09-04,5.5769944190979
2014-09-05,5.741941928863525
2014-09-08,5.746398448944092
2014-09-09,5.75531530380249
2014-09-10,5.643864154815674
2014-09-11,5.666153430938721
2014-09-12,5.683984756469727
2014-09-15,5.692902088165283
2014-09-16,5.7107343673706055
2014-09-17,5.822185516357422
2014-09-18,5.782063961029053
2014-09-19,5.924720764160156
2014-09-22,5.924720764160156
2014-09-23,5.875682830810547
2014-09-24,5.951467990875244
2014-09-25,5.929177761077881
2014-09-26,5.96038293838501
2014-09-29,6.067376613616943
2014-09-30,6.054001808166504
2014-10-01,6.042661666870117
2014-10-02,5.9972968101501465
2014-10-03,5.94739294052124
2014-10-06,5.933783531188965
2014-10-07,6.033587455749512
2014-10-08,6.083489894866943
2014-10-09,6.056270599365234
2014-10-10,6.060807228088379
2014-10-13,6.065342903137207
2014-10-14,6.119780540466309
2014-10-15,5.938321113586426
2014-10-16,6.006370544433594
2014-10-17,6.029052734375
2014-10-20,6.01090669631958
2014-10-21,6.033587455749512
2014-10-22,6.001833438873291
2014-10-23,5.883882999420166
2014-10-24,6.015441417694092
2014-10-27,5.924711227416992
2014-10-28,5.847590446472168
2014-10-29,5.8521270751953125
2014-10-30,5.856663703918457
2014-10-31,5.983685493469238
2014-11-03,5.967355251312256
2014-11-04,6.01090669631958
2014-11-05,6.05173397064209
2014-11-06,5.979150772094727
2014-11-07,5.806761264801025
2014-11-10,5.892956256866455
2014-11-11,5.886603355407715
2014-11-12,6.0381245613098145
2014-11-13,5.983685493469238
2014-11-14,5.892956256866455
