Date,FLNG
2019-06-17,6.421524524688721
2019-06-18,6.559005260467529
2019-06-19,6.874067306518555
2019-06-20,6.824231147766113
2019-06-21,6.874067306518555
2019-06-24,6.874067306518555
2019-06-25,6.874067306518555
2019-06-26,6.73085880279541
2019-06-27,6.702216625213623
2019-06-28,6.759500026702881
2019-07-01,6.8167829513549805
2019-07-02,6.760073184967041
2019-07-03,6.679302215576172
2019-07-05,6.679302215576172
2019-07-08,6.874067306518555
2019-07-09,6.8167829513549805
2019-07-10,7.103202819824219
2019-07-11,7.160487174987793
2019-07-12,7.326610088348389
2019-07-15,7.750513076782227
2019-07-16,7.647401809692383
2019-07-17,7.02873420715332
2019-07-18,7.0459184646606445
2019-07-19,7.07456111907959
2019-07-22,7.3609819412231445
2019-07-23,7.383892059326172
2019-07-24,7.389622211456299
2019-07-25,7.590117454528809
2019-07-26,7.269325256347656
2019-07-29,7.143876075744629
2019-07-30,7.1318440437316895
2019-07-31,7.2263617515563965
2019-08-01,7.017277240753174
2019-08-02,7.02873420715332
2019-08-05,6.644932270050049
2019-08-06,6.696486473083496
2019-08-07,6.301229476928711
2019-08-08,6.24394416809082
2019-08-09,6.265140056610107
2019-08-12,6.131096363067627
2019-08-13,6.017672538757324
2019-08-14,5.7089128494262695
2019-08-15,5.3274030685424805
2019-08-16,5.413327693939209
2019-08-19,5.75703239440918
2019-08-20,5.7369818687438965
2019-08-21,6.00048828125
2019-08-22,5.785674571990967
2019-08-23,5.6367363929748535
2019-08-26,5.834365367889404
2019-08-27,5.705475330352783
2019-08-28,5.699747562408447
2019-08-29,5.631007671356201
2019-08-30,5.642462730407715
2019-09-03,5.556537628173828
2019-09-04,5.613821983337402
2019-09-05,5.7318267822265625
2019-09-06,5.642462730407715
2019-09-09,5.8561320304870605
2019-09-10,5.771351337432861
2019-09-11,5.871599197387695
2019-09-12,5.722662448883057
2019-09-13,5.728388786315918
2019-09-16,5.751303672790527
2019-09-17,5.7243804931640625
2019-09-18,5.687145233154297
2019-09-19,5.725524425506592
2019-09-20,5.556537628173828
2019-09-23,5.562266826629639
2019-09-24,5.510710716247559
2019-09-25,5.533623695373535
2019-09-26,5.585179328918457
2019-09-27,5.527895927429199
2019-09-30,5.527895927429199
2019-10-01,5.527895927429199
2019-10-02,5.460873126983643
2019-10-03,5.293032646179199
2019-10-04,5.3675007820129395
2019-10-07,5.900241851806641
2019-10-08,5.720941543579102
2019-10-09,6.123647689819336
2019-10-10,6.395175933837891
2019-10-11,6.685030937194824
2019-10-14,6.513179302215576
2019-10-15,6.28977108001709
2019-10-16,6.1293768882751465
2019-10-17,6.24394416809082
2019-10-18,6.301229476928711
2019-10-21,6.4043378829956055
2019-10-22,6.020538806915283
2019-10-23,6.186661243438721
2019-10-24,6.24394416809082
2019-10-25,6.50172233581543
2019-10-28,6.017099857330322
2019-10-29,5.84295654296875
2019-10-30,5.734118938446045
2019-10-31,5.499253273010254
2019-11-01,5.75703239440918
2019-11-04,5.373229503631592
2019-11-05,5.270118713378906
2019-11-06,5.047857284545898
2019-11-07,5.040983200073242
2019-11-08,4.960785865783691
2019-11-11,4.980834484100342
2019-11-12,4.98369836807251
2019-11-13,5.073634624481201
2019-11-14,5.258662223815918
2019-11-15,5.344587326049805
2019-11-18,5.144667148590088
2019-11-19,5.241477012634277
2019-11-20,5.346878528594971
2019-11-21,5.785674571990967
2019-11-22,5.556537628173828
2019-11-25,5.590908527374268
2019-11-26,5.390414714813232
2019-11-27,5.424785137176514
2019-11-29,5.53477144241333
2019-12-02,5.768488883972168
2019-12-03,5.325684070587158
2019-12-04,5.270671367645264
2019-12-05,5.271251201629639
2019-12-06,5.472187519073486
2019-12-09,5.472187519073486
2019-12-10,5.444393157958984
2019-12-11,5.559047222137451
2019-12-12,5.4490251541137695
2019-12-13,5.356374263763428
2019-12-16,5.430495738983154
2019-12-17,5.831210136413574
2019-12-18,5.681231498718262
2019-12-19,6.363950729370117
2019-12-20,6.190230846405029
2019-12-23,6.636112689971924
2019-12-24,6.68243932723999
2019-12-26,6.595577716827393
2019-12-27,6.317628383636475
2019-12-30,6.224396228790283
2019-12-31,6.310678005218506
2020-01-02,6.259719371795654
2020-01-03,6.218605995178223
2020-01-06,6.01708984375
2020-01-07,6.022301197052002
2020-01-08,5.92965030670166
2020-01-09,5.981767654418945
2020-01-10,5.923859596252441
