Date,WSBC
2010-01-04,7.262138843536377
2010-01-05,7.022727012634277
2010-01-06,6.897319793701172
2010-01-07,7.284938335418701
2010-01-08,7.495851993560791
2010-01-11,7.495851993560791
2010-01-12,7.501551628112793
2010-01-13,7.575652122497559
2010-01-14,7.6440582275390625
2010-01-15,7.547151565551758
2010-01-19,7.9119672775268555
2010-01-20,7.826461315155029
2010-01-21,7.746660232543945
2010-01-22,7.740959644317627
2010-01-25,7.6440582275390625
2010-01-26,7.541453838348389
2010-01-27,8.396491050720215
2010-01-28,8.196981430053711
2010-01-29,8.271082878112793
2010-02-01,8.077275276184082
2010-02-02,8.014573097229004
2010-02-03,7.980371475219727
2010-02-04,7.96327018737793
2010-02-05,8.077275276184082
2010-02-08,7.940465450286865
2010-02-09,8.003171920776367
2010-02-10,8.0316743850708
2010-02-11,8.014573097229004
2010-02-12,7.837865352630615
2010-02-16,7.974672317504883
2010-02-17,8.162781715393066
2010-02-18,8.32239055633545
2010-02-19,8.350889205932617
2010-02-22,8.390790939331055
2010-02-23,8.339485168457031
2010-02-24,8.801209449768066
2010-02-25,8.749907493591309
2010-02-26,8.63590145111084
2010-03-01,8.886713981628418
2010-03-02,8.9323148727417
2010-03-03,8.903810501098633
2010-03-04,8.98361587524414
2010-03-05,9.388335227966309
2010-03-08,9.143229484558105
2010-03-09,9.171728134155273
2010-03-10,9.303983688354492
2010-03-11,9.367237091064453
2010-03-12,9.269482612609863
2010-03-15,9.1832275390625
2010-03-16,9.039469718933105
2010-03-17,9.211979866027832
2010-03-18,9.206228256225586
2010-03-19,9.82726001739502
2010-03-22,9.671998977661133
2010-03-23,9.64900016784668
2010-03-24,9.344233512878418
2010-03-25,9.54549789428711
2010-03-26,9.533995628356934
2010-03-29,9.47649097442627
2010-03-30,9.470743179321289
2010-03-31,9.349987030029297
2010-04-01,9.384490013122559
2010-04-05,9.499496459960938
2010-04-06,9.56274700164795
2010-04-07,9.505243301391602
2010-04-08,9.470743179321289
2010-04-09,9.441991806030273
2010-04-12,9.568497657775879
2010-04-13,9.723756790161133
2010-04-14,10.063021659851074
2010-04-15,10.143528938293457
2010-04-16,10.028522491455078
2010-04-19,10.126276016235352
2010-04-20,10.33328628540039
2010-04-21,10.592048645019531
2010-04-22,10.712808609008789
2010-04-23,10.695555686950684
2010-04-26,10.40229320526123
2010-04-27,10.068772315979004
2010-04-28,10.195279121398926
2010-04-29,10.569046020507812
2010-04-30,11.086578369140625
2010-05-03,11.126832962036133
2010-05-04,10.86806583404541
2010-05-05,11.000324249267578
2010-05-06,10.385040283203125
2010-05-07,10.103275299072266
2010-05-10,10.54604434967041
2010-05-11,11.144083023071289
2010-05-12,11.466094017028809
2010-05-13,11.31083869934082
2010-05-14,11.086578369140625
2010-05-17,11.379841804504395
2010-05-18,11.080825805664062
2010-05-19,11.06932258605957
2010-05-20,10.603553771972656
2010-05-21,10.885315895080566
2010-05-24,10.482794761657715
2010-05-25,10.379291534423828
2010-05-26,10.523048400878906
2010-05-27,10.988823890686035
2010-05-28,10.822065353393555
2010-06-01,10.310280799865723
2010-06-02,10.747313499450684
2010-06-03,10.758810043334961
2010-06-04,10.080277442932129
2010-06-07,9.867509841918945
2010-06-08,9.844515800476074
2010-06-09,9.629998207092285
2010-06-10,9.954670906066895
2010-06-11,10.186576843261719
2010-06-14,10.180779457092285
2010-06-15,10.459070205688477
2010-06-16,10.505447387695312
2010-06-17,10.586621284484863
2010-06-18,10.499651908874512
2010-06-21,10.418481826782227
2010-06-22,10.25035285949707
2010-06-23,10.401093482971191
2010-06-24,10.290935516357422
2010-06-25,10.731562614440918
2010-06-28,10.569226264953613
2010-06-29,10.006844520568848
2010-06-30,9.769142150878906
2010-07-01,9.844513893127441
2010-07-02,9.635793685913086
2010-07-06,9.351704597473145
2010-07-07,9.629998207092285
2010-07-08,9.722763061523438
2010-07-09,9.885091781616211
2010-07-12,9.809724807739258
2010-07-13,10.20976734161377
2010-07-14,10.099610328674316
2010-07-15,9.856104850769043
2010-07-16,9.189372062683105
2010-07-19,9.03283405303955
2010-07-20,9.003844261169434
2010-07-21,8.598003387451172
2010-07-22,9.061821937561035
2010-07-23,9.305328369140625
2010-07-26,9.57781982421875
2010-07-27,9.919880867004395
2010-07-28,9.815524101257324
2010-07-29,9.937274932861328
2010-07-30,10.059028625488281
2010-08-02,10.157587051391602
2010-08-03,10.20396900177002
2010-08-04,10.31992244720459
2010-08-05,10.128600120544434
2010-08-06,10.064824104309082
2010-08-09,10.122800827026367
2010-08-10,10.041633605957031
2010-08-11,9.29372787475586
2010-08-12,9.102405548095703
2010-08-13,8.719757080078125
2010-08-16,8.911083221435547
2010-08-17,9.113998413085938
2010-08-18,9.113998413085938
2010-08-19,8.557419776916504
2010-08-20,8.592206954956055
2010-08-23,8.354497909545898
2010-08-24,8.395084381103516
2010-08-25,8.690771102905273
2010-08-26,8.754542350769043
2010-08-27,9.113998413085938
2010-08-30,8.74294662475586
2010-08-31,8.841511726379395
2010-09-01,9.177775382995605
2010-09-02,9.160382270812988
2010-09-03,9.328516960144043
2010-09-07,8.87629508972168
2010-09-08,8.9699125289917
2010-09-09,9.005023956298828
2010-09-10,8.987469673156738
2010-09-13,9.455562591552734
2010-09-14,9.20981502532959
2010-09-15,9.484820365905762
2010-09-16,9.315136909484863
2010-09-17,9.531628608703613
2010-09-20,10.069944381713867
2010-09-21,9.794931411743164
2010-09-22,9.543334007263184
2010-09-23,9.373648643493652
2010-09-24,9.707164764404297
2010-09-27,9.379499435424805
