Date,SANM
2010-01-04,11.550000190734863
2010-01-05,11.729999542236328
2010-01-06,11.380000114440918
2010-01-07,11.460000038146973
2010-01-08,11.449999809265137
2010-01-11,11.529999732971191
2010-01-12,11.619999885559082
2010-01-13,11.65999984741211
2010-01-14,12.109999656677246
2010-01-15,12.029999732971191
2010-01-19,12.3100004196167
2010-01-20,11.960000038146973
2010-01-21,11.9399995803833
2010-01-22,11.90999984741211
2010-01-25,11.649999618530273
2010-01-26,12.300000190734863
2010-01-27,14.149999618530273
2010-01-28,13.770000457763672
2010-01-29,13.199999809265137
2010-02-01,13.890000343322754
2010-02-02,14.1899995803833
2010-02-03,13.869999885559082
2010-02-04,13.119999885559082
2010-02-05,12.710000038146973
2010-02-08,13.069999694824219
2010-02-09,13.579999923706055
2010-02-10,13.75
2010-02-11,14.199999809265137
2010-02-12,14.520000457763672
2010-02-16,15.630000114440918
2010-02-17,15.25
2010-02-18,16.479999542236328
2010-02-19,16.40999984741211
2010-02-22,16.489999771118164
2010-02-23,15.960000038146973
2010-02-24,16.139999389648438
2010-02-25,16.049999237060547
2010-02-26,16.540000915527344
2010-03-01,17.399999618530273
2010-03-02,17.469999313354492
2010-03-03,17.0
2010-03-04,17.219999313354492
2010-03-05,17.489999771118164
2010-03-08,17.25
2010-03-09,17.31999969482422
2010-03-10,17.559999465942383
2010-03-11,17.440000534057617
2010-03-12,17.65999984741211
2010-03-15,17.290000915527344
2010-03-16,17.530000686645508
2010-03-17,17.940000534057617
2010-03-18,17.860000610351562
2010-03-19,16.56999969482422
2010-03-22,16.829999923706055
2010-03-23,17.489999771118164
2010-03-24,16.68000030517578
2010-03-25,16.360000610351562
2010-03-26,16.540000915527344
2010-03-29,16.639999389648438
2010-03-30,16.56999969482422
2010-03-31,16.5
2010-04-01,16.579999923706055
2010-04-05,17.1200008392334
2010-04-06,16.950000762939453
2010-04-07,16.709999084472656
2010-04-08,16.690000534057617
2010-04-09,16.59000015258789
2010-04-12,16.989999771118164
2010-04-13,17.479999542236328
2010-04-14,18.170000076293945
2010-04-15,18.31999969482422
2010-04-16,18.170000076293945
2010-04-19,18.010000228881836
2010-04-20,18.5
2010-04-21,18.700000762939453
2010-04-22,18.65999984741211
2010-04-23,18.969999313354492
2010-04-26,19.219999313354492
2010-04-27,18.940000534057617
2010-04-28,18.440000534057617
2010-04-29,19.020000457763672
