Date,VBTX
2014-10-09,11.353236198425293
2014-10-10,12.118255615234375
2014-10-13,11.800854682922363
2014-10-14,11.117218017578125
2014-10-15,11.231159210205078
2014-10-16,11.109081268310547
2014-10-17,11.149771690368652
2014-10-20,11.109081268310547
2014-10-21,11.231159210205078
2014-10-22,11.206740379333496
2014-10-23,11.190465927124023
2014-10-24,11.133495330810547
2014-10-27,11.190465927124023
2014-10-28,11.22301959991455
2014-10-29,11.361374855041504
2014-10-30,11.190465927124023
2014-10-31,11.37765121459961
2014-11-03,11.312542915344238
2014-11-04,11.800854682922363
2014-11-05,11.800854682922363
2014-11-06,12.224061012268066
2014-11-07,12.272887229919434
2014-11-10,11.882238388061523
2014-11-11,12.199639320373535
2014-11-12,12.118255615234375
2014-11-13,12.12639331817627
2014-11-14,12.118255615234375
2014-11-17,12.167089462280273
2014-11-18,12.386828422546387
2014-11-19,12.574015617370605
2014-11-20,12.96059513092041
2014-11-21,12.55773639678955
2014-11-24,13.379727363586426
2014-11-25,13.200679779052734
2014-11-26,12.932110786437988
2014-11-28,13.005356788635254
2014-12-01,12.55773639678955
2014-12-02,12.704231262207031
2014-12-03,12.82630729675293
2014-12-04,12.337995529174805
2014-12-05,12.500764846801758
2014-12-08,12.289165496826172
2014-12-09,12.565876007080078
2014-12-10,11.808991432189941
2014-12-11,12.150812149047852
2014-12-12,11.955486297607422
2014-12-15,11.963626861572266
2014-12-16,11.60552978515625
2014-12-17,11.47531509399414
2014-12-18,11.49159049987793
2014-12-19,10.466137886047363
2014-12-22,11.60552978515625
2014-12-23,11.597393035888672
2014-12-24,11.40206527709961
2014-12-26,11.198603630065918
2014-12-29,11.206740379333496
2014-12-30,11.499728202819824
2014-12-31,11.532282829284668
2015-01-02,11.695054054260254
2015-01-05,11.247434616088867
2015-01-06,11.418343544006348
2015-01-07,11.353236198425293
2015-01-08,11.556699752807617
2015-01-09,11.467177391052246
2015-01-12,11.385788917541504
2015-01-13,11.003281593322754
2015-01-14,11.190465927124023
2015-01-15,10.824233055114746
2015-01-16,10.840508460998535
2015-01-20,10.58007526397705
2015-01-21,10.58007526397705
2015-01-22,10.783537864685059
2015-01-23,10.881202697753906
2015-01-26,10.79981517791748
2015-01-27,10.482413291931152
2015-01-28,10.71843147277832
2015-01-29,10.645185470581055
2015-01-30,10.702156066894531
2015-02-02,10.77540111541748
2015-02-03,10.824233055114746
2015-02-04,10.93817138671875
2015-02-05,11.540420532226562
2015-02-06,11.963626861572266
2015-02-09,11.695054054260254
2015-02-10,11.979902267456055
2015-02-11,11.784576416015625
2015-02-12,11.507869720458984
2015-02-13,11.760164260864258
2015-02-17,11.60552978515625
2015-02-18,11.312542915344238
2015-02-19,11.361374855041504
2015-02-20,11.556699752807617
2015-02-23,11.296265602111816
