Date,UFCS
2010-01-04,11.512673377990723
2010-01-05,11.008061408996582
2010-01-06,10.895926475524902
2010-01-07,10.976914405822754
2010-01-08,10.989374160766602
2010-01-11,10.858549118041992
2010-01-12,10.78378677368164
2010-01-13,10.864776611328125
2010-01-14,10.864776611328125
2010-01-15,10.814942359924316
2010-01-19,11.13888931274414
2010-01-20,10.858549118041992
2010-01-21,10.72772216796875
2010-01-22,10.540828704833984
2010-01-25,10.621810913085938
2010-01-26,10.515907287597656
2010-01-27,10.590667724609375
2010-01-28,10.478530883789062
2010-01-29,10.478530883789062
2010-02-01,10.540828704833984
2010-02-02,10.56574821472168
2010-02-03,10.528363227844238
2010-02-04,10.148351669311523
2010-02-05,10.329015731811523
2010-02-08,10.260486602783203
2010-02-09,10.403770446777344
2010-02-10,10.272948265075684
2010-02-11,10.472299575805664
2010-02-12,10.522136688232422
2010-02-16,10.490989685058594
2010-02-17,10.266714096069336
2010-02-18,10.391312599182129
2010-02-19,10.522136688232422
2010-02-22,10.777560234069824
2010-02-23,10.78378677368164
2010-02-24,11.032979965209961
2010-02-25,11.03298282623291
2010-02-26,10.68113899230957
2010-03-01,10.731395721435547
2010-03-02,11.051827430725098
2010-03-03,11.026700019836426
2010-03-04,11.064395904541016
2010-03-05,11.290581703186035
2010-03-08,11.529338836669922
2010-03-09,11.391111373901367
2010-03-10,11.372268676757812
2010-03-11,11.409961700439453
2010-03-12,11.303154945373535
2010-03-15,11.171207427978516
2010-03-16,11.190058708190918
2010-03-17,11.422529220581055
2010-03-18,11.3973970413208
2010-03-19,11.485359191894531
2010-03-22,11.485359191894531
2010-03-23,11.629870414733887
2010-03-24,11.686420440673828
2010-03-25,11.4979248046875
2010-03-26,11.4979248046875
2010-03-29,11.391111373901367
2010-03-30,11.466510772705078
2010-03-31,11.303154945373535
2010-04-01,11.133512496948242
2010-04-05,11.303154945373535
2010-04-06,11.548186302185059
2010-04-07,11.611017227172852
2010-04-08,11.585887908935547
2010-04-09,11.359699249267578
2010-04-12,11.296868324279785
2010-04-13,11.35341739654541
2010-04-14,11.604735374450684
2010-04-15,11.774377822875977
2010-04-16,11.830927848815918
2010-04-19,11.856061935424805
2010-04-20,12.189056396484375
2010-04-21,12.170212745666504
2010-04-22,12.157641410827637
2010-04-23,12.251888275146484
2010-04-26,14.614298820495605
2010-04-27,14.362981796264648
2010-04-28,14.733681678771973
2010-04-29,14.765101432800293
2010-04-30,14.36926555633545
