Date,SM
2010-01-04,32.515830993652344
2010-01-05,33.09182357788086
2010-01-06,33.47880554199219
2010-01-07,33.298805236816406
2010-01-08,33.883792877197266
2010-01-11,33.577796936035156
2010-01-12,32.506839752197266
2010-01-13,32.686832427978516
2010-01-14,34.09978103637695
2010-01-15,33.69478988647461
2010-01-19,33.9467887878418
2010-01-20,33.298805236816406
2010-01-21,32.72282409667969
2010-01-22,32.57883834838867
2010-01-25,32.85781478881836
2010-01-26,32.02085494995117
2010-01-27,30.9049015045166
2010-01-28,29.86992645263672
2010-01-29,28.834970474243164
2010-02-01,30.0499267578125
2010-02-02,31.02188491821289
2010-02-03,30.256919860839844
2010-02-04,28.708974838256836
2010-02-05,28.690975189208984
2010-02-08,28.663978576660156
2010-02-09,29.44694709777832
2010-02-10,29.329954147338867
2010-02-11,29.860933303833008
2010-02-12,29.97793197631836
2010-02-16,30.98589515686035
2010-02-17,30.994890213012695
2010-02-18,30.70690155029297
2010-02-19,30.778907775878906
2010-02-22,30.157922744750977
2010-02-23,28.474977493286133
2010-02-24,28.717971801757812
2010-02-25,28.744972229003906
2010-02-26,29.320953369140625
2010-03-01,30.193923950195312
2010-03-02,30.787906646728516
2010-03-03,31.489864349365234
2010-03-04,31.54387092590332
2010-03-05,32.497840881347656
2010-03-08,32.64183807373047
2010-03-09,33.01982116699219
2010-03-10,33.19082260131836
2010-03-11,33.31681442260742
2010-03-12,33.145809173583984
2010-03-15,33.0288200378418
2010-03-16,33.31681442260742
2010-03-17,33.59579849243164
2010-03-18,32.31785202026367
2010-03-19,30.6708984375
2010-03-22,30.247909545898438
2010-03-23,31.264888763427734
2010-03-24,31.354881286621094
2010-03-25,30.265914916992188
2010-03-26,30.22092628479004
2010-03-29,30.994890213012695
2010-03-30,30.769901275634766
2010-03-31,31.327880859375
2010-04-01,32.992820739746094
2010-04-05,34.1087760925293
2010-04-06,34.52275848388672
2010-04-07,33.97378158569336
2010-04-08,33.83878707885742
2010-04-09,33.9827880859375
2010-04-12,34.279762268066406
2010-04-13,33.955787658691406
2010-04-14,34.279762268066406
2010-04-15,35.50373077392578
2010-04-16,34.48676300048828
2010-04-19,34.19878005981445
2010-04-20,35.539730072021484
2010-04-21,35.54873275756836
2010-04-22,35.836708068847656
2010-04-23,37.70865249633789
2010-04-26,37.68165969848633
2010-04-27,36.39469909667969
2010-04-28,36.439754486083984
2010-04-29,36.66501998901367
2010-04-30,36.25953674316406
2010-05-03,36.22349166870117
2010-05-04,38.06169891357422
2010-05-05,38.49421310424805
2010-05-06,36.178436279296875
2010-05-07,34.9349479675293
2010-05-10,38.106754302978516
2010-05-11,38.3770751953125
2010-05-12,39.521453857421875
2010-05-13,39.73771667480469
2010-05-14,38.9717903137207
2010-05-17,37.187644958496094
2010-05-18,37.665225982666016
2010-05-19,36.836219787597656
2010-05-20,33.95276641845703
2010-05-21,36.0162467956543
2010-05-24,34.79077911376953
2010-05-25,34.95296859741211
2010-05-26,35.94416427612305
2010-05-27,38.44015121459961
2010-05-28,38.96278381347656
2010-06-01,38.35905075073242
2010-06-02,41.188453674316406
2010-06-03,41.56690216064453
2010-06-04,39.530460357666016
2010-06-07,38.8636589050293
2010-06-08,40.36846160888672
2010-06-09,40.269344329833984
2010-06-10,41.38669204711914
2010-06-11,41.981414794921875
2010-06-14,41.99943542480469
2010-06-15,43.080726623535156
2010-06-16,43.062705993652344
2010-06-17,41.8732795715332
2010-06-18,42.84644317626953
2010-06-21,42.504032135009766
2010-06-22,40.15220642089844
2010-06-23,40.206275939941406
2010-06-24,39.35023880004883
2010-06-25,39.458377838134766
2010-06-28,38.74650955200195
2010-06-29,36.403709411621094
2010-06-30,36.18745040893555
2010-07-01,36.178436279296875
2010-07-02,35.53868103027344
2010-07-06,36.674034118652344
2010-07-07,39.15200424194336
2010-07-08,39.9539794921875
2010-07-09,40.21528625488281
2010-07-12,39.53947448730469
