Date,DOCS
2021-06-24,53.0
2021-06-25,55.97999954223633
2021-06-28,58.349998474121094
2021-06-29,55.189998626708984
2021-06-30,58.20000076293945
2021-07-01,52.79999923706055
2021-07-02,49.880001068115234
2021-07-06,46.81999969482422
2021-07-07,49.15999984741211
2021-07-08,48.31999969482422
2021-07-09,52.7400016784668
2021-07-12,51.08000183105469
2021-07-13,50.2400016784668
2021-07-14,49.7599983215332
2021-07-15,52.90999984741211
2021-07-16,54.349998474121094
2021-07-19,56.70000076293945
2021-07-20,54.66999816894531
2021-07-21,55.689998626708984
2021-07-22,59.90999984741211
2021-07-23,60.970001220703125
2021-07-26,66.5
2021-07-27,59.43000030517578
2021-07-28,57.970001220703125
2021-07-29,59.86000061035156
2021-07-30,61.900001525878906
2021-08-02,59.0
2021-08-03,54.15999984741211
2021-08-04,56.54999923706055
2021-08-05,56.810001373291016
2021-08-06,52.36000061035156
2021-08-09,53.54999923706055
2021-08-10,52.93000030517578
2021-08-11,70.41000366210938
2021-08-12,79.54000091552734
2021-08-13,76.01000213623047
2021-08-16,80.0
2021-08-17,75.87000274658203
2021-08-18,79.0199966430664
2021-08-19,74.30999755859375
2021-08-20,76.20999908447266
2021-08-23,87.1500015258789
2021-08-24,88.38999938964844
2021-08-25,92.05000305175781
2021-08-26,80.26000213623047
2021-08-27,82.52999877929688
2021-08-30,82.75
2021-08-31,92.0
2021-09-01,91.0
2021-09-02,98.20999908447266
2021-09-03,99.16000366210938
2021-09-07,98.25
2021-09-08,93.75
2021-09-09,101.29000091552734
2021-09-10,102.0199966430664
2021-09-13,94.95999908447266
2021-09-14,101.44999694824219
2021-09-15,94.29000091552734
2021-09-16,95.4800033569336
2021-09-17,95.66999816894531
2021-09-20,85.66000366210938
2021-09-21,87.05000305175781
2021-09-22,84.29000091552734
2021-09-23,88.08999633789062
2021-09-24,86.08999633789062
2021-09-27,87.55999755859375
2021-09-28,80.41000366210938
2021-09-29,82.0199966430664
2021-09-30,80.69999694824219
2021-10-01,79.38999938964844
2021-10-04,75.01000213623047
2021-10-05,78.1500015258789
2021-10-06,86.1500015258789
2021-10-07,80.22000122070312
2021-10-08,76.5
2021-10-11,70.37999725341797
2021-10-12,75.25
2021-10-13,77.8499984741211
2021-10-14,75.62999725341797
2021-10-15,69.87999725341797
2021-10-18,70.56999969482422
2021-10-19,71.5
2021-10-20,72.68000030517578
2021-10-21,67.87000274658203
2021-10-22,64.75
2021-10-25,65.0199966430664
2021-10-26,66.47000122070312
2021-10-27,67.0999984741211
2021-10-28,69.20999908447266
2021-10-29,69.4800033569336
2021-11-01,73.7300033569336
2021-11-02,72.7699966430664
2021-11-03,73.44000244140625
2021-11-04,72.66999816894531
2021-11-05,67.8499984741211
2021-11-08,71.05000305175781
2021-11-09,76.51000213623047
2021-11-10,72.01000213623047
2021-11-11,76.69000244140625
2021-11-12,73.4800033569336
2021-11-15,70.7699966430664
2021-11-16,67.80000305175781
2021-11-17,69.5199966430664
2021-11-18,65.47000122070312
2021-11-19,61.209999084472656
2021-11-22,59.060001373291016
2021-11-23,57.099998474121094
2021-11-24,59.349998474121094
2021-11-26,61.130001068115234
2021-11-29,66.66999816894531
2021-11-30,67.6500015258789
2021-12-01,64.76000213623047
2021-12-02,67.51000213623047
2021-12-03,59.86000061035156
2021-12-06,57.560001373291016
2021-12-07,61.90999984741211
2021-12-08,62.02000045776367
2021-12-09,57.47999954223633
2021-12-10,53.939998626708984
2021-12-13,55.68000030517578
2021-12-14,53.18000030517578
2021-12-15,55.709999084472656
2021-12-16,49.31999969482422
2021-12-17,50.08000183105469
2021-12-20,48.38999938964844
2021-12-21,48.7599983215332
2021-12-22,48.689998626708984
2021-12-23,51.540000915527344
2021-12-27,52.369998931884766
2021-12-28,50.61000061035156
2021-12-29,50.630001068115234
2021-12-30,51.119998931884766
2021-12-31,50.130001068115234
2022-01-03,51.560001373291016
2022-01-04,51.34000015258789
2022-01-05,49.130001068115234
2022-01-06,46.90999984741211
2022-01-07,47.63999938964844
2022-01-10,47.880001068115234
2022-01-11,47.540000915527344
2022-01-12,50.099998474121094
2022-01-13,47.5
2022-01-14,46.029998779296875
2022-01-18,42.83000183105469
2022-01-19,43.31999969482422
2022-01-20,44.40999984741211
2022-01-21,43.400001525878906
2022-01-24,44.599998474121094
2022-01-25,42.630001068115234
2022-01-26,42.470001220703125
2022-01-27,40.560001373291016
2022-01-28,41.72999954223633
2022-01-31,45.56999969482422
2022-02-01,49.15999984741211
2022-02-02,46.56999969482422
2022-02-03,45.70000076293945
2022-02-04,45.75
2022-02-07,48.529998779296875
2022-02-08,49.810001373291016
2022-02-09,61.779998779296875
2022-02-10,60.31999969482422
2022-02-11,56.36000061035156
2022-02-14,56.72999954223633
2022-02-15,56.939998626708984
2022-02-16,57.439998626708984
2022-02-17,57.380001068115234
2022-02-18,57.0
2022-02-22,55.9900016784668
2022-02-23,55.459999084472656
2022-02-24,57.41999816894531
2022-02-25,59.06999969482422
2022-02-28,61.349998474121094
2022-03-01,58.119998931884766
2022-03-02,60.66999816894531
2022-03-03,56.77000045776367
2022-03-04,48.5
2022-03-07,52.290000915527344
2022-03-08,52.220001220703125
2022-03-09,54.56999969482422
2022-03-10,49.95000076293945
2022-03-11,46.40999984741211
2022-03-14,40.849998474121094
2022-03-15,43.22999954223633
2022-03-16,46.61000061035156
2022-03-17,49.869998931884766
2022-03-18,52.369998931884766
2022-03-21,48.0
2022-03-22,49.70000076293945
2022-03-23,50.470001220703125
2022-03-24,50.06999969482422
