Date,FIX
2010-01-04,10.830809593200684
2010-01-05,10.711603164672852
2010-01-06,10.873382568359375
2010-01-07,11.273580551147461
2010-01-08,11.205462455749512
2010-01-11,11.052194595336914
2010-01-12,11.035167694091797
2010-01-13,11.060708999633789
2010-01-14,11.29061222076416
2010-01-15,11.145854949951172
2010-01-19,11.069219589233398
2010-01-20,10.634968757629395
2010-01-21,10.456158638000488
2010-01-22,10.285861015319824
2010-01-25,10.319921493530273
2010-01-26,10.23477554321289
2010-01-27,10.226263046264648
2010-01-28,10.064477920532227
2010-01-29,9.987844467163086
2010-02-01,10.098538398742676
2010-02-02,10.081507682800293
2010-02-03,10.115567207336426
2010-02-04,9.757946014404297
2010-02-05,9.86864185333252
2010-02-08,9.562106132507324
2010-02-09,9.715371131896973
2010-02-10,9.579134941101074
2010-02-11,9.689828872680664
2010-02-12,9.740912437438965
2010-02-16,9.749433517456055
2010-02-17,9.826066017150879
2010-02-18,10.021903038024902
2010-02-19,10.072994232177734
2010-02-22,10.183684349060059
2010-02-23,10.098538398742676
2010-02-24,10.047450065612793
2010-02-25,10.038934707641602
2010-02-26,9.97933292388916
2010-03-01,10.328435897827148
2010-03-02,10.166653633117676
2010-03-03,10.03042221069336
2010-03-04,10.064477920532227
2010-03-05,10.17517375946045
2010-03-08,10.064011573791504
2010-03-09,10.004161834716797
2010-03-10,10.064011573791504
2010-03-11,10.525741577148438
2010-03-12,10.611251831054688
2010-03-15,10.568496704101562
2010-03-16,10.577046394348145
2010-03-17,10.517195701599121
2010-03-18,10.654003143310547
2010-03-19,10.84211254119873
2010-03-22,11.06442928314209
2010-03-23,11.30384349822998
2010-03-24,11.0986328125
2010-03-25,10.654003143310547
2010-03-26,10.568496704101562
2010-03-29,10.568496704101562
2010-03-30,10.722406387329102
2010-03-31,10.679656028747559
2010-04-01,10.756611824035645
2010-04-05,11.115732192993164
2010-04-06,10.97037410736084
2010-04-07,11.167037963867188
2010-04-08,11.038778305053711
2010-04-09,11.055882453918457
2010-04-12,11.0986328125
2010-04-13,10.978924751281738
2010-04-14,11.072977066040039
2010-04-15,11.167037963867188
2010-04-16,11.184138298034668
2010-04-19,11.12428092956543
2010-04-20,11.329497337341309
2010-04-21,11.355149269104004
2010-04-22,11.423552513122559
2010-04-23,11.885282516479492
2010-04-26,11.902386665344238
2010-04-27,11.93658447265625
