Date,AGO
2010-01-04,17.159290313720703
2010-01-05,17.091022491455078
2010-01-06,16.969640731811523
2010-01-07,17.493074417114258
2010-01-08,17.591690063476562
2010-01-11,17.477895736694336
2010-01-12,16.86343765258789
2010-01-13,17.386863708496094
2010-01-14,17.887529373168945
2010-01-15,17.402042388916016
2010-01-19,18.34268569946289
2010-01-20,18.213727951049805
2010-01-21,17.902706146240234
2010-01-22,17.121355056762695
2010-01-25,17.28066062927246
2010-01-26,16.992393493652344
2010-01-27,17.462722778320312
2010-01-28,17.37169075012207
2010-01-29,17.18963623046875
2010-02-01,17.35652732849121
2010-02-02,17.42479705810547
2010-02-03,17.106184005737305
2010-02-04,15.497980117797852
2010-02-05,15.66486644744873
2010-02-08,15.171780586242676
2010-02-09,15.323497772216797
2010-02-10,15.24764633178711
2010-02-11,15.171780586242676
2010-02-12,15.262811660766602
2010-02-16,15.86209774017334
2010-02-17,15.892443656921387
2010-02-18,16.112430572509766
2010-02-19,15.490394592285156
2010-02-22,15.338671684265137
2010-02-23,14.997308731079102
2010-02-24,15.01247787475586
2010-02-25,15.54349422454834
2010-02-26,16.006235122680664
2010-03-01,15.422120094299316
2010-03-02,15.611769676208496
2010-03-03,15.422120094299316
2010-03-04,15.171780586242676
2010-03-05,15.551074981689453
2010-03-08,15.778654098510742
2010-03-09,15.949712753295898
2010-03-10,17.22690200805664
2010-03-11,17.272512435913086
2010-03-12,16.968420028686523
2010-03-15,16.4438533782959
2010-03-16,16.291812896728516
2010-03-17,16.656728744506836
2010-03-18,16.246204376220703
2010-03-19,15.440353393554688
2010-03-22,15.387133598327637
2010-03-23,16.033334732055664
2010-03-24,16.983631134033203
2010-03-25,16.299415588378906
2010-03-26,16.580703735351562
2010-03-29,16.793569564819336
2010-03-30,16.4134521484375
2010-03-31,16.702342987060547
2010-04-01,17.295326232910156
2010-04-05,17.37134552001953
2010-04-06,17.2877254486084
2010-04-07,16.91520118713379
2010-04-08,17.15848159790039
2010-04-09,17.409353256225586
2010-04-12,17.280122756958008
2010-04-13,17.295326232910156
2010-04-14,17.89590835571289
2010-04-15,18.00234031677246
2010-04-16,17.59941864013672
2010-04-19,17.424560546875
2010-04-20,17.91111183166504
2010-04-21,18.184799194335938
2010-04-22,18.283628463745117
2010-04-23,18.71695899963379
2010-04-26,18.435670852661133
2010-04-27,16.763158798217773
2010-04-28,16.785966873168945
2010-04-29,16.801170349121094
2010-04-30,16.38304328918457
2010-05-03,16.755556106567383
