Date,BYD
2010-01-04,8.080592155456543
2010-01-05,8.136966705322266
2010-01-06,8.16515827178955
2010-01-07,8.259119033813477
2010-01-08,7.939652919769287
2010-01-11,7.836294174194336
2010-01-12,7.714145183563232
2010-01-13,7.97723388671875
2010-01-14,8.080592155456543
2010-01-15,8.118176460266113
2010-01-19,8.287304878234863
2010-01-20,8.296701431274414
2010-01-21,8.23093032836914
2010-01-22,7.873880863189697
2010-01-25,7.817502498626709
2010-01-26,7.648372650146484
2010-01-27,7.507433891296387
2010-01-28,7.432265281677246
2010-01-29,7.328909873962402
2010-02-01,7.554414749145508
2010-02-02,7.902065753936768
2010-02-03,7.648372650146484
2010-02-04,7.065820693969727
2010-02-05,7.178573131561279
2010-02-08,7.037631511688232
2010-02-09,7.150383949279785
2010-02-10,7.150383949279785
2010-02-11,7.310117244720459
2010-02-12,7.507433891296387
2010-02-16,7.554414749145508
2010-02-17,7.30072021484375
2010-02-18,7.131592750549316
2010-02-19,7.281928539276123
2010-02-22,7.319514274597168
2010-02-23,7.244344711303711
2010-02-24,7.178573131561279
2010-02-25,7.056425094604492
2010-02-26,7.178573131561279
2010-03-01,7.206759929656982
2010-03-02,7.676562309265137
2010-03-03,7.751733303070068
2010-03-04,7.469849109649658
2010-03-05,7.667166233062744
2010-03-08,7.98663330078125
2010-03-09,7.98663330078125
2010-03-10,8.174551963806152
2010-03-11,8.080592155456543
2010-03-12,8.193345069885254
2010-03-15,7.939652919769287
2010-03-16,8.174551963806152
2010-03-17,8.32489013671875
2010-03-18,8.597373008728027
2010-03-19,8.484622955322266
2010-03-22,8.973217010498047
2010-03-23,8.869856834411621
2010-03-24,9.001402854919434
2010-03-25,9.10476016998291
2010-03-26,9.49939250946045
2010-03-29,9.264493942260742
2010-03-30,9.3302640914917
2010-03-31,9.283282279968262
2010-04-01,9.3302640914917
2010-04-05,9.724897384643555
2010-04-06,10.26987075805664
2010-04-07,10.213492393493652
2010-04-08,11.491353988647461
2010-04-09,11.58531379699707
2010-04-12,11.604107856750488
2010-04-13,11.37860107421875
2010-04-14,11.369203567504883
2010-04-15,11.012155532836914
2010-04-16,10.579938888549805
2010-04-19,10.420206069946289
2010-04-20,10.94638442993164
2010-04-21,10.67389965057373
2010-04-22,10.8712158203125
2010-04-23,11.115510940551758
2010-04-26,11.5477294921875
2010-04-27,11.284640312194824
2010-04-28,11.510146141052246
2010-04-29,12.43095874786377
2010-04-30,11.932967185974121
2010-05-03,12.656461715698242
2010-05-04,12.383975982666016
2010-05-05,12.468541145324707
2010-05-06,11.557126998901367
2010-05-07,11.24705696105957
2010-05-10,11.641690254211426
2010-05-11,11.792027473449707
2010-05-12,12.63767147064209
2010-05-13,12.86317253112793
2010-05-14,12.402767181396484
2010-05-17,12.440354347229004
2010-05-18,12.947737693786621
2010-05-19,12.49673080444336
2010-05-20,11.303431510925293
2010-05-21,11.82021427154541
2010-05-24,11.839009284973145
2010-05-25,11.566522598266602
2010-05-26,11.726252555847168
2010-05-27,12.449748992919922
2010-05-28,12.37458324432373
2010-06-01,11.171890258789062
2010-06-02,11.416183471679688
2010-06-03,12.0551176071167
2010-06-04,11.190680503845215
2010-06-07,10.119534492492676
2010-06-08,10.016176223754883
2010-06-09,9.856444358825684
2010-06-10,10.044363975524902
2010-06-11,10.27926254272461
2010-06-14,10.46718692779541
2010-06-15,10.50477123260498
2010-06-16,10.326244354248047
2010-06-17,10.3732271194458
2010-06-18,10.175909996032715
2010-06-21,9.903424263000488
2010-06-22,9.471205711364746
2010-06-23,9.677915573120117
2010-06-24,9.085966110229492
2010-06-25,9.377243995666504
2010-06-28,9.057780265808105
2010-06-29,8.390661239624023
2010-06-30,7.97723388671875
2010-07-01,7.86448335647583
2010-07-02,7.573206901550293
2010-07-06,7.2725324630737305
2010-07-07,7.648372650146484
2010-07-08,7.610790729522705
2010-07-09,8.061799049377441
2010-07-12,7.88327693939209
2010-07-13,8.024214744567871
2010-07-14,8.014819145202637
2010-07-15,7.723542213439941
2010-07-16,7.2725324630737305
