Date,KELYA
2010-01-04,10.771913528442383
2010-01-05,10.822052955627441
2010-01-06,10.496137619018555
2010-01-07,10.58806324005127
2010-01-08,10.395855903625488
2010-01-11,10.245434761047363
2010-01-12,9.93623161315918
2010-01-13,10.429285049438477
2010-01-14,10.48777961730957
2010-01-15,10.320642471313477
2010-01-19,10.41257095336914
2010-01-20,11.465527534484863
2010-01-21,10.964117050170898
2010-01-22,11.064399719238281
2010-01-25,11.089471817016602
2010-01-26,11.198113441467285
2010-01-27,11.25660514831543
2010-01-28,11.02261734008789
2010-01-29,10.964117050170898
2010-02-01,11.331816673278809
2010-02-02,11.590880393981934
2010-02-03,11.549094200134277
2010-02-04,11.072758674621582
2010-02-05,13.278951644897461
2010-02-08,12.936322212219238
2010-02-09,12.819328308105469
2010-02-10,12.518484115600586
2010-02-11,12.994821548461914
2010-02-12,12.71904468536377
2010-02-16,12.953034400939941
2010-02-17,13.379231452941895
2010-02-18,13.930784225463867
2010-02-19,14.164770126342773
2010-02-22,13.914070129394531
2010-02-23,13.304020881652832
2010-02-24,13.487871170043945
2010-02-25,13.387591361999512
2010-02-26,13.145240783691406
2010-03-01,13.53801155090332
2010-03-02,13.295665740966797
2010-03-03,13.337450981140137
2010-03-04,13.504587173461914
2010-03-05,14.039421081542969
2010-03-08,14.122987747192383
2010-03-09,14.448901176452637
2010-03-10,15.033879280090332
2010-03-11,15.033879280090332
2010-03-12,14.256694793701172
2010-03-15,14.340262413024902
2010-03-16,14.340262413024902
2010-03-17,14.315194129943848
2010-03-18,14.407122611999512
2010-03-19,13.914070129394531
2010-03-22,14.156417846679688
2010-03-23,14.448901176452637
2010-03-24,14.047776222229004
2010-03-25,13.705144882202148
2010-03-26,13.989280700683594
2010-03-29,14.223275184631348
2010-03-30,14.398760795593262
2010-03-31,13.92242431640625
2010-04-01,13.947501182556152
2010-04-05,14.41547679901123
2010-04-06,14.674534797668457
2010-04-07,14.323553085327148
2010-04-08,14.42383861541748
2010-04-09,14.097919464111328
2010-04-12,14.624394416809082
2010-04-13,14.465618133544922
2010-04-14,15.042234420776367
2010-04-15,14.958663940429688
2010-04-16,14.808243751525879
2010-04-19,14.649466514587402
2010-04-20,14.808243751525879
2010-04-21,15.36815357208252
2010-04-22,15.401581764221191
2010-04-23,15.668998718261719
2010-04-26,15.451716423034668
