Date,RXST
2021-07-30,16.0
2021-08-02,17.31999969482422
2021-08-03,16.350000381469727
2021-08-04,14.300000190734863
2021-08-05,13.40999984741211
2021-08-06,13.369999885559082
2021-08-09,12.829999923706055
2021-08-10,12.3100004196167
2021-08-11,13.720000267028809
2021-08-12,12.539999961853027
2021-08-13,12.329999923706055
2021-08-16,12.869999885559082
2021-08-17,11.850000381469727
2021-08-18,12.329999923706055
2021-08-19,11.9399995803833
2021-08-20,12.020000457763672
2021-08-23,12.0
2021-08-24,14.489999771118164
2021-08-25,12.529999732971191
2021-08-26,13.729999542236328
2021-08-27,15.6899995803833
2021-08-30,15.460000038146973
2021-08-31,15.380000114440918
2021-09-01,15.770000457763672
2021-09-02,15.289999961853027
2021-09-03,16.030000686645508
2021-09-07,15.84000015258789
2021-09-08,16.0
2021-09-09,15.989999771118164
2021-09-10,13.420000076293945
2021-09-13,13.699999809265137
2021-09-14,13.050000190734863
2021-09-15,13.0
2021-09-16,13.0
2021-09-17,13.260000228881836
2021-09-20,12.510000228881836
2021-09-21,12.5
2021-09-22,12.84000015258789
2021-09-23,13.430000305175781
2021-09-24,13.069999694824219
2021-09-27,13.5600004196167
2021-09-28,13.510000228881836
2021-09-29,12.399999618530273
2021-09-30,12.670000076293945
2021-10-01,13.039999961853027
2021-10-04,13.65999984741211
2021-10-05,13.8100004196167
2021-10-06,13.630000114440918
2021-10-07,13.199999809265137
2021-10-08,12.619999885559082
2021-10-11,12.59000015258789
2021-10-12,12.84000015258789
2021-10-13,13.710000038146973
2021-10-14,13.649999618530273
2021-10-15,13.5600004196167
2021-10-18,12.529999732971191
2021-10-19,11.8100004196167
2021-10-20,11.779999732971191
2021-10-21,12.0600004196167
2021-10-22,11.729999542236328
2021-10-25,11.550000190734863
2021-10-26,12.0
2021-10-27,11.989999771118164
2021-10-28,12.109999656677246
2021-10-29,11.979999542236328
2021-11-01,11.739999771118164
2021-11-02,12.699999809265137
2021-11-03,12.9399995803833
2021-11-04,12.859999656677246
2021-11-05,13.229999542236328
2021-11-08,12.850000381469727
2021-11-09,12.180000305175781
2021-11-10,12.100000381469727
2021-11-11,12.630000114440918
2021-11-12,12.289999961853027
2021-11-15,12.079999923706055
2021-11-16,12.420000076293945
2021-11-17,12.630000114440918
2021-11-18,12.800000190734863
2021-11-19,13.520000457763672
2021-11-22,13.630000114440918
2021-11-23,13.489999771118164
2021-11-24,13.359999656677246
2021-11-26,12.369999885559082
2021-11-29,11.289999961853027
2021-11-30,10.850000381469727
2021-12-01,11.130000114440918
2021-12-02,11.359999656677246
2021-12-03,11.170000076293945
2021-12-06,11.010000228881836
2021-12-07,11.710000038146973
2021-12-08,12.359999656677246
2021-12-09,12.25
2021-12-10,11.6899995803833
2021-12-13,12.029999732971191
2021-12-14,11.229999542236328
2021-12-15,10.109999656677246
2021-12-16,9.760000228881836
2021-12-17,10.260000228881836
2021-12-20,9.520000457763672
2021-12-21,9.960000038146973
2021-12-22,10.029999732971191
2021-12-23,10.630000114440918
2021-12-27,10.510000228881836
2021-12-28,10.329999923706055
2021-12-29,10.529999732971191
2021-12-30,10.569999694824219
2021-12-31,11.25
2022-01-03,11.329999923706055
2022-01-04,10.0600004196167
2022-01-05,9.619999885559082
2022-01-06,9.279999732971191
2022-01-07,8.970000267028809
2022-01-10,11.5
2022-01-11,11.619999885559082
2022-01-12,11.180000305175781
2022-01-13,11.020000457763672
2022-01-14,11.119999885559082
2022-01-18,10.949999809265137
2022-01-19,11.760000228881836
2022-01-20,11.869999885559082
2022-01-21,11.029999732971191
2022-01-24,11.329999923706055
2022-01-25,11.289999961853027
2022-01-26,10.869999885559082
2022-01-27,9.729999542236328
2022-01-28,9.970000267028809
2022-01-31,10.289999961853027
2022-02-01,11.069999694824219
2022-02-02,11.6899995803833
2022-02-03,10.760000228881836
2022-02-04,10.770000457763672
2022-02-07,11.359999656677246
2022-02-08,12.819999694824219
2022-02-09,13.15999984741211
2022-02-10,14.029999732971191
2022-02-11,13.470000267028809
2022-02-14,13.5600004196167
2022-02-15,13.470000267028809
2022-02-16,13.75
2022-02-17,13.630000114440918
2022-02-18,13.619999885559082
2022-02-22,12.710000038146973
2022-02-23,12.510000228881836
2022-02-24,13.3100004196167
2022-02-25,14.029999732971191
2022-02-28,13.420000076293945
2022-03-01,13.170000076293945
2022-03-02,13.699999809265137
2022-03-03,13.050000190734863
2022-03-04,13.239999771118164
2022-03-07,13.270000457763672
2022-03-08,12.109999656677246
2022-03-09,13.449999809265137
2022-03-10,13.489999771118164
2022-03-11,12.850000381469727
2022-03-14,11.5
2022-03-15,12.09000015258789
2022-03-16,11.199999809265137
2022-03-17,11.289999961853027
2022-03-18,11.869999885559082
2022-03-21,11.65999984741211
2022-03-22,12.34000015258789
2022-03-23,11.960000038146973
2022-03-24,12.140000343322754
2022-03-25,12.020000457763672
2022-03-28,12.550000190734863
2022-03-29,12.890000343322754
2022-03-30,12.220000267028809
2022-03-31,12.380000114440918
2022-04-01,13.59000015258789
2022-04-04,12.670000076293945
2022-04-05,12.90999984741211
2022-04-06,13.579999923706055
2022-04-07,13.510000228881836
2022-04-08,13.239999771118164
2022-04-11,12.380000114440918
2022-04-12,12.449999809265137
2022-04-13,12.270000457763672
2022-04-14,12.6899995803833
2022-04-18,12.770000457763672
2022-04-19,12.920000076293945
2022-04-20,13.270000457763672
2022-04-21,13.100000381469727
2022-04-22,12.010000228881836
2022-04-25,12.390000343322754
2022-04-26,12.0600004196167
2022-04-27,11.6899995803833
2022-04-28,12.0
