Date,IR
2017-05-12,19.534597396850586
2017-05-15,20.386348724365234
2017-05-16,20.460411071777344
2017-05-17,20.460411071777344
2017-05-18,20.830734252929688
2017-05-19,21.03441619873047
2017-05-22,21.19179916381836
2017-05-23,21.710254669189453
2017-05-24,21.617671966552734
2017-05-25,20.839996337890625
2017-05-26,21.321414947509766
2017-05-30,21.247350692749023
2017-05-31,21.22882652282715
2017-06-01,21.22882652282715
2017-06-02,20.9696044921875
2017-06-05,20.95108985900879
2017-06-06,20.63631248474121
2017-06-07,20.145631790161133
2017-06-08,20.043800354003906
2017-06-09,20.821475982666016
2017-06-12,21.321414947509766
2017-06-13,21.747289657592773
2017-06-14,21.52509307861328
2017-06-15,21.284379959106445
2017-06-16,22.1453857421875
2017-06-19,22.1453857421875
2017-06-20,20.94182777404785
2017-06-21,19.182790756225586
2017-06-22,19.4975643157959
2017-06-23,18.95133399963379
2017-06-26,18.979114532470703
2017-06-27,19.710498809814453
2017-06-28,19.691987991333008
2017-06-29,19.840120315551758
2017-06-30,20.006763458251953
2017-07-03,20.682605743408203
2017-07-05,20.20117950439453
2017-07-06,19.414243698120117
2017-07-07,19.13650131225586
2017-07-10,19.756793975830078
2017-07-11,20.11786460876465
2017-07-12,20.488183975219727
2017-07-13,20.42337989807129
2017-07-14,20.44189453125
2017-07-17,21.265865325927734
2017-07-18,21.330671310424805
2017-07-19,21.68248176574707
2017-07-20,21.802839279174805
2017-07-21,21.302894592285156
2017-07-24,21.423254013061523
2017-07-25,21.710254669189453
2017-07-26,21.126996994018555
2017-07-27,21.50657844543457
2017-07-28,21.376962661743164
2017-07-31,21.256608963012695
2017-08-01,20.830734252929688
2017-08-02,21.31215476989746
2017-08-03,21.534353256225586
2017-08-04,22.284255981445312
2017-08-07,22.25648307800293
2017-08-08,22.33980369567871
2017-08-09,21.849124908447266
2017-08-10,20.978864669799805
2017-08-11,20.99738121032715
2017-08-14,20.9140567779541
2017-08-15,21.00663948059082
2017-08-16,21.062185287475586
2017-08-17,20.367826461791992
2017-08-18,20.340055465698242
2017-08-21,20.728897094726562
2017-08-22,21.0899600982666
2017-08-23,21.256608963012695
2017-08-24,21.015897750854492
2017-08-25,21.27512550354004
2017-08-28,21.247350692749023
2017-08-29,21.34918785095215
2017-08-30,21.571380615234375
2017-08-31,21.747289657592773
2017-09-01,21.94171142578125
2017-09-05,21.40473747253418
2017-09-06,21.617671966552734
2017-09-07,21.858383178710938
2017-09-08,21.997255325317383
2017-09-11,22.11760902404785
2017-09-12,22.710134506225586
2017-09-13,22.839744567871094
2017-09-14,23.117483139038086
2017-09-15,23.228580474853516
2017-09-18,23.867393493652344
2017-09-19,23.904422760009766
2017-09-20,24.052555084228516
2017-09-21,23.93219757080078
2017-09-22,24.330297470092773
2017-09-25,24.441396713256836
2017-09-26,24.358070373535156
2017-09-27,25.061687469482422
2017-09-28,25.30240249633789
2017-09-29,25.478300094604492
2017-10-02,25.50607681274414
2017-10-03,25.58014678955078
2017-10-04,24.89504051208496
2017-10-05,24.802465438842773
2017-10-06,24.626556396484375
2017-10-09,24.79320526123047
2017-10-10,24.9043025970459
2017-10-11,24.867265701293945
2017-10-12,24.89504051208496
2017-10-13,24.959848403930664
2017-10-16,24.922813415527344
2017-10-17,24.98762321472168
2017-10-18,24.76542854309082
2017-10-19,24.40436553955078
2017-10-20,24.60803985595703
2017-10-23,24.459909439086914
2017-10-24,24.626556396484375
2017-10-25,24.645078659057617
2017-10-26,26.941082000732422
2017-10-27,28.16315460205078
2017-10-30,26.9596004486084
2017-10-31,26.709630966186523
2017-11-01,26.792951583862305
2017-11-02,27.135501861572266
2017-11-03,26.459665298461914
2017-11-06,25.885658264160156
2017-11-07,25.922693252563477
2017-11-08,25.987499237060547
2017-11-09,26.052309036254883
2017-11-10,26.62630844116211
2017-11-13,27.22808074951172
2017-11-14,26.533727645874023
2017-11-15,25.49681854248047
2017-11-16,26.746662139892578
2017-11-17,27.82060432434082
2017-11-20,28.30202293395996
2017-11-21,28.45015525817871
2017-11-22,28.68160629272461
2017-11-24,28.829734802246094
2017-11-27,29.126001358032227
2017-11-28,28.913057327270508
2017-11-29,28.8389949798584
2017-11-30,30.00551986694336
2017-12-01,29.700000762939453
2017-12-04,29.116737365722656
2017-12-05,28.84825325012207
2017-12-06,29.135257720947266
2017-12-07,29.79258155822754
