Date,DG
2010-01-04,20.1943359375
2010-01-05,20.351829528808594
2010-01-06,20.631818771362305
2010-01-07,20.771814346313477
2010-01-08,20.885557174682617
2010-01-11,20.999309539794922
2010-01-12,20.955564498901367
2010-01-13,21.261791229248047
2010-01-14,21.17430305480957
2010-01-15,21.314292907714844
2010-01-19,21.480539321899414
2010-01-20,21.445533752441406
2010-01-21,20.9818058013916
2010-01-22,20.421823501586914
2010-01-25,20.43057632446289
2010-01-26,20.588069915771484
2010-01-27,20.605571746826172
2010-01-28,20.85930824279785
2010-01-29,20.553071975708008
2010-02-01,20.448076248168945
2010-02-02,20.675561904907227
2010-02-03,20.85930824279785
2010-02-04,19.66060447692871
2010-02-05,18.995620727539062
2010-02-08,19.59059715270996
2010-02-09,19.739343643188477
2010-02-10,19.29311180114746
2010-02-11,19.301864624023438
2010-02-12,19.7305965423584
2010-02-16,20.150583267211914
2010-02-17,19.91433334350586
2010-02-18,20.369327545166016
2010-02-19,20.631818771362305
2010-02-22,20.334321975708008
2010-02-23,20.68431854248047
2010-02-24,21.1392879486084
2010-02-25,20.824304580688477
2010-02-26,20.903057098388672
2010-03-01,21.078046798706055
2010-03-02,21.034303665161133
2010-03-03,20.990554809570312
2010-03-04,21.17430305480957
2010-03-05,21.454286575317383
2010-03-08,21.585535049438477
2010-03-09,21.979276657104492
2010-03-10,21.926769256591797
2010-03-11,21.97052001953125
2010-03-12,21.988018035888672
2010-03-15,21.900527954101562
2010-03-16,21.979276657104492
2010-03-17,22.59174919128418
2010-03-18,22.084266662597656
2010-03-19,22.39925765991211
2010-03-22,21.883026123046875
2010-03-23,22.031770706176758
2010-03-24,22.093013763427734
2010-03-25,21.37554168701172
2010-03-26,21.865522384643555
2010-03-29,22.180517196655273
2010-03-30,22.565500259399414
2010-03-31,22.093013763427734
2010-04-01,22.329259872436523
2010-04-05,22.574254989624023
2010-04-06,23.632970809936523
2010-04-07,23.230480194091797
2010-04-08,23.195480346679688
2010-04-09,23.16048812866211
2010-04-12,22.959238052368164
2010-04-13,23.650466918945312
2010-04-14,24.079204559326172
2010-04-15,23.624217987060547
2010-04-16,25.0241756439209
2010-04-19,25.382909774780273
2010-04-20,24.717927932739258
2010-04-21,24.66543197631836
2010-04-22,25.837894439697266
2010-04-23,25.70664405822754
2010-04-26,25.88164710998535
2010-04-27,25.36540985107422
2010-04-28,25.382909774780273
2010-04-29,25.487905502319336
2010-04-30,24.9979248046875
2010-05-03,25.391658782958984
2010-05-04,25.059173583984375
2010-05-05,24.954172134399414
2010-05-06,24.42044448852539
2010-05-07,23.790456771850586
2010-05-10,24.25419807434082
2010-05-11,24.481689453125
2010-05-12,25.689157485961914
2010-05-13,25.7591495513916
2010-05-14,25.610403060913086
2010-05-17,25.767900466918945
2010-05-18,25.62790298461914
2010-05-19,25.98664093017578
2010-05-20,25.400409698486328
2010-05-21,25.855390548706055
2010-05-24,26.25788116455078
2010-05-25,26.78286361694336
2010-05-26,26.634117126464844
2010-05-27,26.80910873413086
2010-05-28,26.450376510620117
2010-06-01,26.72161865234375
2010-06-02,27.43909454345703
2010-06-03,26.861614227294922
2010-06-04,26.284130096435547
2010-06-07,25.57539939880371
2010-06-08,26.100379943847656
2010-06-09,26.249126434326172
2010-06-10,26.231626510620117
2010-06-11,26.222875595092773
2010-06-14,26.441621780395508
2010-06-15,26.249126434326172
2010-06-16,26.511621475219727
2010-06-17,26.161636352539062
2010-06-18,26.3803768157959
2010-06-21,25.925395965576172
2010-06-22,25.277912139892578
2010-06-23,25.487905502319336
2010-06-24,25.487905502319336
2010-06-25,25.444156646728516
2010-06-28,25.295408248901367
2010-06-29,24.840425491333008
2010-06-30,24.105451583862305
2010-07-01,24.612934112548828
2010-07-02,24.507938385009766
2010-07-06,24.499189376831055
2010-07-07,24.455432891845703
2010-07-08,24.175457000732422
2010-07-09,24.62167739868164
2010-07-12,24.03545570373535
2010-07-13,24.23670196533203
2010-07-14,24.70043182373047
2010-07-15,26.07413101196289
2010-07-16,25.452911376953125
2010-07-19,25.610403060913086
2010-07-20,25.829145431518555
2010-07-21,25.304168701171875
2010-07-22,25.35666275024414
2010-07-23,25.69790267944336
2010-07-26,25.977893829345703
2010-07-27,25.689157485961914
2010-07-28,25.8116455078125
2010-07-29,25.129173278808594
2010-07-30,25.531654357910156
2010-08-02,25.820396423339844
2010-08-03,25.662904739379883
2010-08-04,26.336627960205078
2010-08-05,25.89038848876953
2010-08-06,25.7591495513916
2010-08-09,25.951642990112305
2010-08-10,25.680402755737305
2010-08-11,24.884183883666992
2010-08-12,25.374156951904297
2010-08-13,25.164169311523438
2010-08-16,25.444156646728516
2010-08-17,25.689157485961914
2010-08-18,25.715394973754883
2010-08-19,25.374156951904297
2010-08-20,25.7591495513916
2010-08-23,24.630434036254883
2010-08-24,24.516685485839844
2010-08-25,24.892927169799805
2010-08-26,24.936674118041992
2010-08-27,24.57793617248535
2010-08-30,23.956701278686523
2010-08-31,23.895450592041016
2010-09-01,24.516685485839844
2010-09-02,25.111669540405273
2010-09-03,24.525436401367188
2010-09-07,24.499189376831055
2010-09-08,24.219196319580078
2010-09-09,23.91295623779297
2010-09-10,24.01795196533203
2010-09-13,23.99171257019043
2010-09-14,23.974205017089844
2010-09-15,24.03545570373535
2010-09-16,24.219196319580078
2010-09-17,23.99171257019043
2010-09-20,24.32419204711914
2010-09-21,24.2629451751709
2010-09-22,24.2104434967041
2010-09-23,24.01795196533203
2010-09-24,24.70043182373047
2010-09-27,25.592905044555664
2010-09-28,26.039146423339844
