Date,EPAC
2010-01-04,18.42397689819336
2010-01-05,18.511804580688477
2010-01-06,18.61915397644043
2010-01-07,18.90215301513672
2010-01-08,19.194900512695312
2010-01-11,19.272968292236328
2010-01-12,18.736255645751953
2010-01-13,18.687458038330078
2010-01-14,18.81432342529297
2010-01-15,18.521568298339844
2010-01-19,18.892391204833984
2010-01-20,18.34591293334961
2010-01-21,17.43837547302246
2010-01-22,17.204172134399414
2010-01-25,17.077312469482422
2010-01-26,17.057798385620117
2010-01-27,16.843111038208008
2010-01-28,16.60890769958496
2010-01-29,16.364944458007812
2010-02-01,16.569875717163086
2010-02-02,16.79431915283203
2010-02-03,16.706491470336914
2010-02-04,15.916055679321289
2010-02-05,15.906295776367188
2010-02-08,15.8087158203125
2010-02-09,16.189294815063477
2010-02-10,16.27712059020996
2010-02-11,16.706491470336914
2010-02-12,16.706491470336914
2010-02-16,16.696735382080078
2010-02-17,16.8138370513916
2010-02-18,17.262725830078125
2010-02-19,17.36031150817871
2010-02-22,17.45789337158203
2010-02-23,17.12610626220703
2010-02-24,17.614028930664062
2010-02-25,17.770164489746094
2010-02-26,17.672582626342773
2010-03-01,18.03364372253418
2010-03-02,18.316640853881836
2010-03-03,18.355676651000977
2010-03-04,18.59963607788086
2010-03-05,19.204660415649414
2010-03-08,18.785045623779297
2010-03-09,18.843597412109375
2010-03-10,19.28272819519043
2010-03-11,19.22417449951172
2010-03-12,19.136354446411133
2010-03-15,19.116840362548828
2010-03-16,19.077796936035156
2010-03-17,19.97557830810547
2010-03-18,19.702341079711914
2010-03-19,19.39007568359375
2010-03-22,19.682825088500977
2010-03-23,19.799922943115234
2010-03-24,19.292490005493164
2010-03-25,19.116840362548828
2010-03-26,19.263216018676758
2010-03-29,19.43886375427246
2010-03-30,19.360797882080078
2010-03-31,19.077796936035156
2010-04-01,19.39982795715332
2010-04-05,19.58523941040039
2010-04-06,19.516929626464844
2010-04-07,19.653549194335938
2010-04-08,19.838960647583008
2010-04-09,19.555967330932617
2010-04-12,19.663311004638672
2010-04-13,20.297607421875
2010-04-14,21.497900009155273
2010-04-15,21.732097625732422
2010-04-16,21.69306755065918
2010-04-19,21.429594039916992
2010-04-20,21.302730560302734
2010-04-21,21.556453704833984
2010-04-22,22.093162536621094
2010-04-23,22.698192596435547
2010-04-26,22.942155838012695
2010-04-27,22.298097610473633
2010-04-28,22.36640167236328
2010-04-29,23.234905242919922
2010-04-30,22.376161575317383
2010-05-03,23.049497604370117
2010-05-04,22.073646545410156
2010-05-05,21.16611099243164
2010-05-06,21.37104034423828
2010-05-07,20.64891242980957
2010-05-10,21.556453704833984
2010-05-11,21.917510986328125
2010-05-12,22.512775421142578
2010-05-13,22.385915756225586
2010-05-14,21.819929122924805
2010-05-17,21.43934440612793
2010-05-18,21.654037475585938
2010-05-19,20.473257064819336
2010-05-20,19.038766860961914
2010-05-21,19.39007568359375
2010-05-24,19.370555877685547
2010-05-25,19.029010772705078
2010-05-26,19.05828285217285
2010-05-27,19.92678451538086
2010-05-28,19.731613159179688
2010-06-01,18.970457077026367
2010-06-02,19.673065185546875
2010-06-03,20.18050765991211
2010-06-04,18.697214126586914
2010-06-07,18.736255645751953
2010-06-08,18.911903381347656
2010-06-09,18.697214126586914
2010-06-10,19.409589767456055
2010-06-11,19.497413635253906
2010-06-14,19.263216018676758
2010-06-15,19.50717544555664
2010-06-16,20.024368286132812
2010-06-17,19.468137741088867
2010-06-18,20.61963653564453
2010-06-21,19.985336303710938
2010-06-22,19.253450393676758
2010-06-23,19.253450393676758
2010-06-24,18.677698135375977
2010-06-25,19.165624618530273
2010-06-28,19.43886375427246
2010-06-29,18.61915397644043
2010-06-30,18.375192642211914
2010-07-01,18.014127731323242
2010-07-02,17.770164489746094
2010-07-06,17.21393585205078
2010-07-07,17.838472366333008
2010-07-08,18.00436782836914
2010-07-09,18.33615493774414
2010-07-12,18.03364372253418
2010-07-13,18.785045623779297
2010-07-14,18.677698135375977
2010-07-15,18.658184051513672
2010-07-16,17.672582626342773
2010-07-19,17.760406494140625
2010-07-20,17.857988357543945
2010-07-21,18.297119140625
2010-07-22,19.351036071777344
2010-07-23,20.151227951049805
2010-07-26,20.6391544342041
2010-07-27,20.375675201416016
2010-07-28,20.014610290527344
2010-07-29,20.248817443847656
2010-07-30,20.121957778930664
2010-08-02,20.424468994140625
2010-08-03,20.14147186279297
2010-08-04,20.31712532043457
2010-08-05,20.121957778930664
2010-08-06,19.985336303710938
2010-08-09,20.326881408691406
2010-08-10,20.258573532104492
2010-08-11,19.712099075317383
2010-08-12,19.360797882080078
2010-08-13,18.989974975585938
2010-08-16,19.068044662475586
2010-08-17,19.50717544555664
2010-08-18,19.80968475341797
2010-08-19,18.980213165283203
2010-08-20,19.30224609375
2010-08-23,18.677698135375977
2010-08-24,18.580116271972656
2010-08-25,18.765527725219727
2010-08-26,18.59963607788086
2010-08-27,19.429105758666992
2010-08-30,19.243696212768555
2010-08-31,19.341276168823242
2010-09-01,20.278091430664062
2010-09-02,20.4537410736084
2010-09-03,20.89287567138672
2010-09-07,20.561086654663086
2010-09-08,20.990459442138672
2010-09-09,21.05876922607422
2010-09-10,21.390554428100586
2010-09-13,21.780893325805664
2010-09-14,21.761375427246094
2010-09-15,21.878477096557617
2010-09-16,21.488142013549805
2010-09-17,21.819929122924805
2010-09-20,22.551816940307617
2010-09-21,22.239540100097656
2010-09-22,21.751617431640625
2010-09-23,20.9709415435791
2010-09-24,21.88823699951172
2010-09-27,21.937028884887695
2010-09-28,21.98590850830078
