Date,EQIX
2010-01-04,81.91111755371094
2010-01-05,81.14852142333984
2010-01-06,81.88870239257812
2010-01-07,80.21397399902344
2010-01-08,79.8252182006836
2010-01-11,80.48310852050781
2010-01-12,77.22342681884766
2010-01-13,77.0664291381836
2010-01-14,77.84397888183594
2010-01-15,76.34123992919922
2010-01-19,77.70191192626953
2010-01-20,77.34307861328125
2010-01-21,77.28324127197266
2010-01-22,74.0310287475586
2010-01-25,74.83098602294922
2010-01-26,74.3600082397461
2010-01-27,74.2029800415039
2010-01-28,73.08900451660156
2010-01-29,71.94515228271484
2010-02-01,71.6610336303711
2010-02-02,72.206787109375
2010-02-03,71.77315521240234
2010-02-04,69.32093811035156
2010-02-05,69.52276611328125
2010-02-08,68.60319519042969
2010-02-09,69.53773498535156
2010-02-10,69.53773498535156
2010-02-11,71.19750213623047
2010-02-12,71.69093322753906
2010-02-16,71.59374237060547
2010-02-17,71.90773010253906
2010-02-18,71.0479736328125
2010-02-19,71.03298950195312
2010-02-22,70.65919494628906
2010-02-23,69.70222473144531
2010-02-24,70.89842224121094
2010-02-25,70.52461242675781
2010-02-26,70.6292724609375
2010-03-01,73.11892700195312
2010-03-02,73.42545318603516
2010-03-03,72.61798858642578
2010-03-04,73.82915496826172
2010-03-05,76.81224822998047
2010-03-08,76.72251892089844
2010-03-09,76.4832763671875
2010-03-10,77.0514907836914
2010-03-11,78.0832290649414
2010-03-12,77.87388610839844
2010-03-15,76.3038558959961
2010-03-16,76.2664566040039
2010-03-17,78.09817504882812
2010-03-18,77.6570816040039
2010-03-19,76.7748794555664
2010-03-22,76.22158813476562
2010-03-23,76.2664566040039
2010-03-24,74.83098602294922
2010-03-25,73.97869110107422
2010-03-26,72.10960388183594
2010-03-29,72.58808135986328
2010-03-30,73.24600219726562
2010-03-31,72.77499389648438
2010-04-01,73.94133758544922
2010-04-05,75.96742248535156
2010-04-06,75.84777069091797
2010-04-07,75.98236846923828
2010-04-08,76.1767807006836
2010-04-09,76.75242614746094
2010-04-12,76.9916763305664
2010-04-13,75.66834259033203
2010-04-14,75.77301025390625
2010-04-15,75.10762786865234
2010-04-16,74.47959899902344
2010-04-19,73.15631103515625
2010-04-20,74.21046447753906
2010-04-21,75.22723388671875
2010-04-22,71.83296966552734
2010-04-23,71.57878112792969
2010-04-26,77.16362762451172
2010-04-27,76.51319122314453
2010-04-28,74.83848571777344
2010-04-29,75.77301025390625
2010-04-30,75.2496566772461
2010-05-03,77.22342681884766
2010-05-04,74.87586212158203
2010-05-05,71.10777282714844
2010-05-06,69.11906433105469
2010-05-07,68.37141418457031
2010-05-10,73.55255889892578
2010-05-11,73.64225769042969
2010-05-12,74.2029800415039
2010-05-13,76.0197525024414
2010-05-14,74.5020523071289
2010-05-17,73.82168579101562
2010-05-18,72.19930267333984
2010-05-19,72.40119934082031
2010-05-20,68.98448181152344
2010-05-21,68.90972137451172
2010-05-24,68.41629028320312
2010-05-25,67.91533660888672
2010-05-26,68.28919219970703
2010-05-27,70.25545501708984
2010-05-28,68.79010009765625
2010-06-01,66.33782958984375
2010-06-02,68.37891387939453
2010-06-03,68.16207885742188
2010-06-04,64.96218872070312
2010-06-07,61.91183090209961
2010-06-08,60.4688720703125
2010-06-09,62.12864303588867
2010-06-10,63.25009536743164
2010-06-11,63.28750228881836
2010-06-14,61.63521194458008
2010-06-15,63.586551666259766
2010-06-16,64.3416748046875
2010-06-17,63.13794708251953
2010-06-18,63.451961517333984
2010-06-21,63.60150146484375
2010-06-22,62.11369323730469
2010-06-23,62.607139587402344
2010-06-24,61.964149475097656
2010-06-25,62.87629699707031
2010-06-28,62.42770004272461
2010-06-29,59.399776458740234
2010-06-30,60.72311019897461
2010-07-01,59.35491943359375
2010-07-02,58.8315544128418
2010-07-06,58.74184036254883
2010-07-07,59.36988067626953
2010-07-08,61.672584533691406
2010-07-09,62.51744079589844
2010-07-12,61.52304458618164
2010-07-13,63.489349365234375
2010-07-14,63.69867706298828
2010-07-15,64.3192367553711
2010-07-16,61.48567581176758
2010-07-19,62.091285705566406
2010-07-20,63.07817077636719
2010-07-21,63.33983612060547
2010-07-22,64.67809295654297
2010-07-23,66.39765930175781
2010-07-26,67.91533660888672
2010-07-27,67.62376403808594
2010-07-28,65.83694458007812
2010-07-29,70.14332580566406
2010-07-30,69.91157531738281
2010-08-02,70.28536987304688
2010-08-03,70.30782318115234
2010-08-04,70.4498519897461
2010-08-05,70.27788543701172
2010-08-06,69.81436157226562
2010-08-09,70.18070983886719
2010-08-10,70.502197265625
2010-08-11,67.81816101074219
2010-08-12,67.25743865966797
2010-08-13,67.16024017333984
2010-08-16,67.34716796875
2010-08-17,67.70602416992188
2010-08-18,67.63873291015625
2010-08-19,67.41443634033203
2010-08-20,67.30231475830078
2010-08-23,67.28734588623047
2010-08-24,66.52477264404297
2010-08-25,67.46678161621094
2010-08-26,66.72663116455078
2010-08-27,68.31159973144531
2010-08-30,67.71348571777344
2010-08-31,68.19198608398438
2010-09-01,70.05360412597656
2010-09-02,71.73579406738281
2010-09-03,72.47592163085938
2010-09-07,70.95077514648438
2010-09-08,70.72645568847656
2010-09-09,71.2124252319336
2010-09-10,70.67413330078125
2010-09-13,71.87782287597656
2010-09-14,71.60868835449219
2010-09-15,71.5713119506836
2010-09-16,71.17505645751953
2010-09-17,72.31144714355469
2010-09-20,73.42545318603516
2010-09-21,74.41980743408203
2010-09-22,74.04598999023438
2010-09-23,75.23470306396484
2010-09-24,76.43842315673828
2010-09-27,76.64776611328125
2010-09-28,77.12625122070312
