Date,PNC
2010-01-04,34.61521911621094
2010-01-05,34.96452713012695
2010-01-06,34.96452713012695
2010-01-07,36.85993576049805
2010-01-08,36.956966400146484
2010-01-11,37.06047821044922
2010-01-12,36.67880630493164
2010-01-13,36.96393585205078
2010-01-14,37.48236846923828
2010-01-15,36.73064422607422
2010-01-19,37.47589111328125
2010-01-20,38.09801483154297
2010-01-21,36.09557342529297
2010-01-22,34.74765396118164
2010-01-25,35.000396728515625
2010-01-26,34.12553405761719
2010-01-27,35.227195739746094
2010-01-28,35.084632873535156
2010-01-29,35.92060470581055
2010-02-01,36.199256896972656
2010-02-02,35.415130615234375
2010-02-03,34.80598449707031
2010-02-04,33.06924819946289
2010-02-05,33.561744689941406
2010-02-08,32.887813568115234
2010-02-09,33.088680267333984
2010-02-10,33.231258392333984
2010-02-11,33.30903244018555
2010-02-12,33.38678741455078
2010-02-16,33.98298645019531
2010-02-17,33.60063171386719
2010-02-18,33.61359405517578
2010-02-19,33.50343704223633
2010-02-22,34.4560432434082
2010-02-23,34.06073760986328
2010-02-24,34.85134506225586
2010-02-25,34.76061248779297
2010-02-26,34.8383903503418
2010-03-01,34.870792388916016
2010-03-02,34.67636489868164
2010-03-03,34.83190155029297
2010-03-04,35.12351989746094
2010-03-05,36.01133728027344
2010-03-08,35.985408782958984
2010-03-09,36.413116455078125
2010-03-10,37.197235107421875
2010-03-11,37.8712043762207
2010-03-12,37.49533462524414
2010-03-15,37.13242721557617
2010-03-16,37.98785400390625
2010-03-17,38.85620880126953
2010-03-18,38.363704681396484
2010-03-19,38.629390716552734
2010-03-22,38.78492736816406
2010-03-23,38.75899887084961
2010-03-24,38.79789733886719
2010-03-25,38.83675765991211
2010-03-26,38.60347366333008
2010-03-29,38.538665771484375
2010-03-30,38.03318405151367
2010-03-31,38.687705993652344
2010-04-01,39.03765869140625
2010-04-05,39.95786666870117
2010-04-06,40.55405807495117
2010-04-07,40.502220153808594
2010-04-08,41.5390625
2010-04-09,42.05830383300781
2010-04-12,42.36335372924805
2010-04-13,41.29244613647461
2010-04-14,42.29197692871094
2010-04-15,41.64291000366211
2010-04-16,40.903011322021484
2010-04-19,41.21454620361328
2010-04-20,42.13618850708008
2010-04-21,42.3828239440918
2010-04-22,44.66748809814453
2010-04-23,45.19972229003906
2010-04-26,43.3369255065918
