Date,GFS
2021-10-28,46.400001525878906
2021-10-29,48.7400016784668
2021-11-01,53.869998931884766
2021-11-02,56.41999816894531
2021-11-03,59.0
2021-11-04,62.68000030517578
2021-11-05,63.630001068115234
2021-11-08,59.36000061035156
2021-11-09,59.83000183105469
2021-11-10,57.720001220703125
2021-11-11,56.189998626708984
2021-11-12,55.959999084472656
2021-11-15,59.599998474121094
2021-11-16,61.66999816894531
2021-11-17,62.70000076293945
2021-11-18,64.2699966430664
2021-11-19,62.11000061035156
2021-11-22,63.9900016784668
2021-11-23,63.779998779296875
2021-11-24,68.97000122070312
2021-11-26,67.29000091552734
2021-11-29,70.54000091552734
2021-11-30,69.23999786376953
2021-12-01,66.26000213623047
2021-12-02,65.80999755859375
2021-12-03,69.02999877929688
2021-12-06,64.91999816894531
2021-12-07,67.86000061035156
2021-12-08,65.7699966430664
2021-12-09,63.70000076293945
2021-12-10,63.83000183105469
2021-12-13,61.209999084472656
2021-12-14,60.13999938964844
2021-12-15,60.970001220703125
2021-12-16,60.65999984741211
2021-12-17,60.0
2021-12-20,59.900001525878906
2021-12-21,62.2400016784668
2021-12-22,62.43000030517578
2021-12-23,61.709999084472656
2021-12-27,64.0
2021-12-28,65.37999725341797
2021-12-29,63.79999923706055
2021-12-30,64.48999786376953
2021-12-31,64.97000122070312
2022-01-03,66.7300033569336
2022-01-04,65.70999908447266
2022-01-05,62.54999923706055
2022-01-06,61.5099983215332
2022-01-07,60.0099983215332
2022-01-10,59.7599983215332
2022-01-11,62.13999938964844
2022-01-12,62.04999923706055
2022-01-13,59.349998474121094
2022-01-14,59.599998474121094
2022-01-18,57.939998626708984
2022-01-19,56.66999816894531
2022-01-20,53.529998779296875
2022-01-21,51.25
2022-01-24,50.439998626708984
2022-01-25,46.869998931884766
2022-01-26,47.599998474121094
2022-01-27,44.709999084472656
2022-01-28,46.09000015258789
2022-01-31,49.34000015258789
2022-02-01,50.09000015258789
2022-02-02,50.349998474121094
2022-02-03,49.34000015258789
2022-02-04,52.06999969482422
2022-02-07,54.4900016784668
2022-02-08,56.04999923706055
2022-02-09,57.0
2022-02-10,57.790000915527344
2022-02-11,53.47999954223633
2022-02-14,54.470001220703125
2022-02-15,55.16999816894531
2022-02-16,52.93000030517578
2022-02-17,48.95000076293945
2022-02-18,49.709999084472656
2022-02-22,49.33000183105469
2022-02-23,47.95000076293945
2022-02-24,54.79999923706055
2022-02-25,57.029998779296875
2022-02-28,60.779998779296875
2022-03-01,58.220001220703125
2022-03-02,59.599998474121094
2022-03-03,62.47999954223633
2022-03-04,60.689998626708984
2022-03-07,55.790000915527344
2022-03-08,56.439998626708984
2022-03-09,58.150001525878906
2022-03-10,58.880001068115234
2022-03-11,58.459999084472656
2022-03-14,58.40999984741211
2022-03-15,65.79000091552734
2022-03-16,70.26000213623047
2022-03-17,71.91000366210938
2022-03-18,76.77999877929688
2022-03-21,72.47000122070312
2022-03-22,73.87999725341797
2022-03-23,70.08999633789062
2022-03-24,76.22000122070312
2022-03-25,78.94000244140625
2022-03-28,73.9000015258789
2022-03-29,74.62999725341797
2022-03-30,67.0199966430664
2022-03-31,62.41999816894531
2022-04-01,60.7400016784668
2022-04-04,62.290000915527344
2022-04-05,58.400001525878906
2022-04-06,56.900001525878906
2022-04-07,56.189998626708984
2022-04-08,54.75
2022-04-11,54.040000915527344
2022-04-12,53.290000915527344
2022-04-13,54.83000183105469
2022-04-14,52.099998474121094
2022-04-18,52.650001525878906
2022-04-19,52.88999938964844
2022-04-20,53.189998626708984
2022-04-21,52.040000915527344
2022-04-22,50.7400016784668
2022-04-25,52.720001220703125
2022-04-26,49.5
2022-04-27,51.63999938964844
2022-04-28,54.060001373291016
2022-04-29,52.290000915527344
2022-05-02,53.77000045776367
2022-05-03,54.18000030517578
2022-05-04,56.5099983215332
2022-05-05,54.93000030517578
2022-05-06,56.369998931884766
2022-05-09,52.279998779296875
2022-05-10,52.72999954223633
2022-05-11,49.029998779296875
2022-05-12,49.70000076293945
2022-05-13,52.77000045776367
2022-05-16,53.099998474121094
2022-05-17,56.0
2022-05-18,53.689998626708984
2022-05-19,54.22999954223633
2022-05-20,55.0
2022-05-23,54.540000915527344
2022-05-24,55.47999954223633
2022-05-25,58.619998931884766
2022-05-26,59.4900016784668
2022-05-27,60.099998474121094
2022-05-31,59.689998626708984
2022-06-01,58.119998931884766
2022-06-02,59.61000061035156
2022-06-03,58.7599983215332
2022-06-06,57.22999954223633
2022-06-07,56.5099983215332
2022-06-08,54.7400016784668
2022-06-09,53.14500045776367
2022-06-10,51.75
2022-06-13,48.5099983215332
2022-06-14,47.38999938964844
2022-06-15,49.459999084472656
2022-06-16,45.43000030517578
2022-06-17,44.86000061035156
2022-06-21,45.439998626708984
2022-06-22,44.810001373291016
2022-06-23,43.65999984741211
2022-06-24,45.88999938964844
2022-06-27,45.41999816894531
2022-06-28,44.369998931884766
2022-06-29,43.060001373291016
2022-06-30,40.34000015258789
2022-07-01,38.810001373291016
2022-07-05,40.56999969482422
2022-07-06,41.08000183105469
2022-07-07,43.34000015258789
2022-07-08,45.27000045776367
2022-07-11,42.88999938964844
2022-07-12,41.47999954223633
2022-07-13,41.83000183105469
2022-07-14,44.41999816894531
2022-07-15,45.970001220703125
2022-07-18,45.09000015258789
2022-07-19,46.849998474121094
2022-07-20,48.52000045776367
2022-07-21,48.65999984741211
2022-07-22,48.15999984741211
2022-07-25,46.349998474121094
2022-07-26,46.130001068115234
2022-07-27,47.43000030517578
2022-07-28,47.400001525878906
