Date,ALKT
2021-04-14,43.0
2021-04-15,41.630001068115234
2021-04-16,42.130001068115234
2021-04-19,41.56999969482422
2021-04-20,41.439998626708984
2021-04-21,42.04999923706055
2021-04-22,44.2400016784668
2021-04-23,44.630001068115234
2021-04-26,45.83000183105469
2021-04-27,46.709999084472656
2021-04-28,47.0
2021-04-29,47.66999816894531
2021-04-30,47.689998626708984
2021-05-03,46.459999084472656
2021-05-04,42.5
2021-05-05,42.709999084472656
2021-05-06,41.93000030517578
2021-05-07,38.650001525878906
2021-05-10,38.91999816894531
2021-05-11,36.029998779296875
2021-05-12,32.650001525878906
2021-05-13,31.020000457763672
2021-05-14,29.239999771118164
2021-05-17,27.059999465942383
2021-05-18,27.56999969482422
2021-05-19,27.239999771118164
2021-05-20,30.299999237060547
2021-05-21,30.709999084472656
2021-05-24,32.0
2021-05-25,33.29999923706055
2021-05-26,34.18000030517578
2021-05-27,33.47999954223633
2021-05-28,33.27000045776367
2021-06-01,33.58000183105469
2021-06-02,33.540000915527344
2021-06-03,32.959999084472656
2021-06-04,33.060001373291016
2021-06-07,33.34000015258789
2021-06-08,32.9900016784668
2021-06-09,31.93000030517578
2021-06-10,32.25
2021-06-11,32.0099983215332
2021-06-14,32.810001373291016
2021-06-15,32.65999984741211
2021-06-16,32.65999984741211
2021-06-17,32.970001220703125
2021-06-18,34.459999084472656
2021-06-21,35.5
2021-06-22,36.0
2021-06-23,35.970001220703125
2021-06-24,37.72999954223633
2021-06-25,36.040000915527344
2021-06-28,36.70000076293945
2021-06-29,36.880001068115234
2021-06-30,35.66999816894531
2021-07-01,36.22999954223633
2021-07-02,36.619998931884766
2021-07-06,36.66999816894531
2021-07-07,36.2400016784668
2021-07-08,34.88999938964844
2021-07-09,35.7599983215332
2021-07-12,35.15999984741211
2021-07-13,33.5
2021-07-14,31.18000030517578
2021-07-15,32.25
2021-07-16,32.15999984741211
2021-07-19,32.099998474121094
2021-07-20,32.41999816894531
2021-07-21,32.61000061035156
2021-07-22,31.899999618530273
