Date,CRCT
2021-03-26,12.64152717590332
2021-03-29,12.718782424926758
2021-03-30,13.175281524658203
2021-03-31,13.89865779876709
2021-04-01,14.046141624450684
2021-04-05,13.83544921875
2021-04-06,14.039116859436035
2021-04-07,14.053166389465332
2021-04-08,14.053166389465332
2021-04-09,14.046141624450684
2021-04-12,13.940796852111816
2021-04-13,14.032096862792969
2021-04-14,14.060187339782715
2021-04-15,14.046141624450684
2021-04-16,14.046141624450684
2021-04-19,16.391849517822266
2021-04-20,14.291949272155762
2021-04-21,14.853796005249023
2021-04-22,16.124969482421875
2021-04-23,16.124969482421875
2021-04-26,16.82025718688965
2021-04-27,17.859668731689453
2021-04-28,18.29509925842285
2021-04-29,17.908832550048828
2021-04-30,18.61113739013672
2021-05-03,18.29509925842285
2021-05-04,17.74730110168457
2021-05-05,17.129270553588867
2021-05-06,16.131994247436523
2021-05-07,16.089853286743164
2021-05-10,14.460502624511719
2021-05-11,14.418363571166992
2021-05-12,13.680941581726074
2021-05-13,14.046141624450684
2021-05-14,17.234615325927734
2021-05-17,16.525287628173828
2021-05-18,17.445308685302734
2021-05-19,19.439861297607422
2021-05-20,19.945520401000977
2021-05-21,20.767221450805664
2021-05-24,19.847198486328125
2021-05-25,21.72235870361328
2021-05-26,22.691543579101562
2021-05-27,22.57917594909668
2021-05-28,23.71691131591797
2021-06-01,25.83787727355957
2021-06-02,26.48400115966797
2021-06-03,26.30139923095703
2021-06-04,26.09773063659668
2021-06-07,26.413768768310547
2021-06-08,25.493743896484375
2021-06-09,25.3111515045166
2021-06-10,24.35601043701172
2021-06-11,22.459779739379883
2021-06-14,23.82927894592285
2021-06-15,23.913555145263672
2021-06-16,23.36575698852539
2021-06-17,23.31659698486328
2021-06-18,24.981061935424805
2021-06-21,23.253387451171875
2021-06-22,23.133996963500977
2021-06-23,23.04971694946289
2021-06-24,23.49217414855957
2021-06-25,29.48987579345703
2021-06-28,28.387248992919922
2021-06-29,28.11334800720215
2021-06-30,29.91828155517578
2021-07-01,28.928028106689453
2021-07-02,24.636934280395508
2021-07-06,24.131271362304688
2021-07-07,23.43598747253418
2021-07-08,23.920581817626953
2021-07-09,23.527286529541016
2021-07-12,23.253387451171875
2021-07-13,24.4824275970459
2021-07-14,23.393850326538086
2021-07-15,24.292800903320312
2021-07-16,23.379802703857422
2021-07-19,24.15936279296875
2021-07-20,25.73955535888672
2021-07-21,26.68766975402832
2021-07-22,26.589345932006836
2021-07-23,26.54720687866211
2021-07-26,25.985363006591797
2021-07-27,23.836301803588867
2021-07-28,24.032949447631836
2021-07-29,23.569427490234375
2021-07-30,23.969741821289062
2021-08-02,25.247940063476562
2021-08-03,25.746578216552734
2021-08-04,25.044269561767578
2021-08-05,26.04857063293457
2021-08-06,25.247940063476562
2021-08-09,24.285778045654297
2021-08-10,23.197202682495117
2021-08-11,23.471101760864258
2021-08-12,24.236616134643555
2021-08-13,19.826129913330078
2021-08-16,19.776968002319336
2021-08-17,19.011449813842773
2021-08-18,18.702436447143555
2021-08-19,18.674345016479492
2021-08-20,18.737552642822266
2021-08-23,19.55925178527832
2021-08-24,20.16323471069336
2021-08-25,19.945520401000977
2021-08-26,19.95956802368164
2021-08-27,21.020050048828125
2021-08-30,19.840173721313477
2021-08-31,19.59436798095703
2021-09-01,20.366905212402344
2021-09-02,21.420368194580078
2021-09-03,21.51166534423828
2021-09-07,21.51166534423828
2021-09-08,22.185882568359375
2021-09-09,22.944372177124023
2021-09-10,24.538610458374023
2021-09-13,24.32089614868164
2021-09-14,22.846046447753906
2021-09-15,21.666173934936523
2021-09-16,22.003278732299805
2021-09-17,21.322044372558594
2021-09-20,21.10433006286621
2021-09-21,22.066490173339844
2021-09-22,21.848772048950195
2021-09-23,22.403594970703125
2021-09-24,23.885461807250977
2021-09-27,24.26470947265625
2021-09-28,23.407896041870117
2021-09-29,21.532733917236328
2021-09-30,19.36962890625
2021-10-01,18.758621215820312
2021-10-04,17.1433162689209
2021-10-05,18.224870681762695
2021-10-06,17.494468688964844
2021-10-07,18.765644073486328
2021-10-08,19.039546966552734
2021-10-11,18.744577407836914
2021-10-12,18.723506927490234
2021-10-13,18.96229362487793
2021-10-14,19.59436798095703
2021-10-15,18.66029930114746
2021-10-18,18.639230728149414
2021-10-19,18.568998336791992
2021-10-20,18.821828842163086
2021-10-21,19.16596031188965
2021-10-22,18.288076400756836
2021-10-25,19.07465934753418
2021-10-26,19.376651763916016
2021-10-27,19.187028884887695
2021-10-28,19.397720336914062
2021-10-29,19.896360397338867
2021-11-01,19.791015625
2021-11-02,19.650550842285156
2021-11-03,21.055164337158203
2021-11-04,20.689966201782227
2021-11-05,19.643529891967773
2021-11-08,19.334514617919922
2021-11-09,21.069211959838867
2021-11-10,20.296672821044922
2021-11-11,16.609561920166016
2021-11-12,17.066059112548828
2021-11-15,18.049293518066406
2021-11-16,17.880739212036133
2021-11-17,18.252958297729492
2021-11-18,16.855371475219727
2021-11-19,17.33294105529785
2021-11-22,17.206523895263672
2021-11-23,16.47612190246582
2021-11-24,16.553377151489258
2021-11-26,16.525287628173828
2021-11-29,16.855371475219727
2021-11-30,17.53660774230957
2021-12-01,16.728954315185547
2021-12-02,17.080108642578125
2021-12-03,16.047718048095703
2021-12-06,16.855371475219727
2021-12-07,17.28377914428711
2021-12-08,17.993104934692383
2021-12-09,16.581472396850586
2021-12-10,16.735979080200195
2021-12-13,16.50421905517578
2021-12-14,16.651702880859375
2021-12-15,16.7219295501709
2021-12-16,16.623607635498047
2021-12-17,16.76407241821289
