Date,ULH
2010-01-04,13.092543601989746
2010-01-05,13.049617767333984
2010-01-06,12.391414642333984
2010-01-07,12.048004150390625
2010-01-08,12.112390518188477
2010-01-11,12.033693313598633
2010-01-12,11.990768432617188
2010-01-13,11.890604019165039
2010-01-14,12.234018325805664
2010-01-15,12.691903114318848
2010-01-19,12.870753288269043
2010-01-20,12.541658401489258
2010-01-21,11.890604019165039
2010-01-22,12.563124656677246
2010-01-25,12.319869995117188
2010-01-26,11.847678184509277
2010-01-27,11.933530807495117
2010-01-28,12.505887985229492
2010-01-29,12.048004150390625
2010-02-01,11.8333740234375
2010-02-02,12.291251182556152
2010-02-03,11.890604019165039
2010-02-04,11.010614395141602
2010-02-05,11.13223934173584
2010-02-08,11.096471786499023
2010-02-09,11.210939407348633
2010-02-10,11.303950309753418
2010-02-11,11.654510498046875
2010-02-12,11.489956855773926
2010-02-16,11.547197341918945
2010-02-17,11.597275733947754
2010-02-18,11.697436332702637
2010-02-19,11.811907768249512
2010-02-22,11.947842597961426
2010-02-23,11.912073135375977
2010-02-24,12.305562019348145
2010-02-25,12.420031547546387
2010-02-26,12.727668762207031
2010-03-01,12.577430725097656
2010-03-02,13.028156280517578
2010-03-03,12.834988594055176
2010-03-04,12.777749061584473
2010-03-05,12.920842170715332
2010-03-08,13.035308837890625
2010-03-09,13.378721237182617
2010-03-10,13.486035346984863
2010-03-11,13.385872840881348
2010-03-12,13.350106239318848
2010-03-15,13.307177543640137
2010-03-16,12.870753288269043
2010-03-17,13.006692886352539
2010-03-18,12.66327953338623
2010-03-19,12.606046676635742
2010-03-22,12.634663581848145
2010-03-23,12.749131202697754
2010-03-24,12.498729705810547
2010-03-25,12.369951248168945
2010-03-26,12.269787788391113
2010-03-29,12.319869995117188
2010-03-30,12.570276260375977
2010-03-31,12.577430725097656
2010-04-01,12.620357513427734
2010-04-05,12.834988594055176
2010-04-06,12.36279582977295
2010-04-07,12.627509117126465
2010-04-08,12.48442268371582
2010-04-09,12.741978645324707
2010-04-12,12.634663581848145
2010-04-13,12.91368579864502
2010-04-14,13.028156280517578
2010-04-15,13.378721237182617
2010-04-16,13.271405220031738
