Date,SBUX
2010-01-04,8.669217109680176
2010-01-05,8.872315406799316
2010-01-06,8.808379173278809
2010-01-07,8.785808563232422
2010-01-08,8.755721092224121
2010-01-11,8.729393005371094
2010-01-12,8.582712173461914
2010-01-13,8.793329238891602
2010-01-14,8.857269287109375
2010-01-15,8.751962661743164
2010-01-19,8.868551254272461
2010-01-20,8.759481430053711
2010-01-21,8.906166076660156
2010-01-22,8.616559028625488
2010-01-25,8.42474365234375
2010-01-26,8.477405548095703
2010-01-27,8.428506851196289
2010-01-28,8.304394721984863
2010-01-29,8.19532585144043
2010-02-01,8.360811233520508
2010-02-02,8.443556785583496
2010-02-03,8.436031341552734
2010-02-04,8.202844619750977
2010-02-05,8.161474227905273
2010-02-08,8.240456581115723
2010-02-09,8.345765113830566
2010-02-10,8.413463592529297
2010-02-11,8.484926223754883
2010-02-12,8.499971389770508
2010-02-16,8.605277061462402
2010-02-17,8.70682430267334
2010-02-18,8.748197555541992
2010-02-19,8.785808563232422
2010-02-22,8.61280345916748
2010-02-23,8.530057907104492
2010-02-24,8.680500030517578
2010-02-25,8.61280345916748
2010-02-26,8.616559028625488
2010-03-01,8.759481430053711
2010-03-02,8.774526596069336
2010-03-03,8.672974586486816
2010-03-04,8.620322227478027
2010-03-05,8.789568901062012
2010-03-08,8.770769119262695
2010-03-09,8.88359546661377
2010-03-10,9.113022804260254
2010-03-11,9.128066062927246
2010-03-12,9.131826400756836
2010-03-15,9.184478759765625
2010-03-16,9.511691093444824
2010-03-17,9.613237380981445
2010-03-18,9.410141944885254
2010-03-19,9.391337394714355
2010-03-22,9.492886543273926
2010-03-23,9.556821823120117
2010-03-24,9.511691093444824
2010-03-25,9.105499267578125
2010-03-26,9.248414039611816
2010-03-29,9.255941390991211
2010-03-30,9.237137794494629
2010-03-31,9.128066062927246
2010-04-01,9.116782188415527
2010-04-05,9.294283866882324
2010-04-06,9.290507316589355
2010-04-07,9.40758228302002
2010-04-08,9.377372741699219
2010-04-09,9.335824012756348
2010-04-12,9.248964309692383
2010-04-13,9.33960247039795
2010-04-14,9.381146430969238
2010-04-15,9.490669250488281
2010-04-16,9.42646312713623
2010-04-19,9.403803825378418
2010-04-20,9.539765357971191
2010-04-21,9.588858604431152
2010-04-22,10.291309356689453
2010-04-23,10.295085906982422
2010-04-26,10.344183921813965
2010-04-27,10.019394874572754
2010-04-28,9.90231990814209
2010-04-29,10.045827865600586
