Date,WNC
2010-01-04,1.63188636302948
2010-01-05,1.7418055534362793
2010-01-06,2.054654598236084
2010-01-07,2.181485176086426
2010-01-08,2.3083155155181885
2010-01-11,2.5366098880767822
2010-01-12,2.6465306282043457
2010-01-13,2.7141730785369873
2010-01-14,2.9932003021240234
2010-01-15,3.1284868717193604
2010-01-19,2.5788872241973877
2010-01-20,2.5788872241973877
2010-01-21,2.5450656414031982
2010-01-22,2.5619771480560303
2010-01-25,2.6549856662750244
2010-01-26,2.6718966960906982
2010-01-27,2.6380743980407715
2010-01-28,2.7141730785369873
2010-01-29,2.502788543701172
2010-02-01,2.5366098880767822
2010-02-02,2.6549856662750244
2010-02-03,2.5281548500061035
2010-02-04,2.33368182182312
2010-02-05,2.4182355403900146
2010-02-08,2.4689676761627197
2010-02-09,2.612708806991577
2010-02-10,2.5619771480560303
2010-02-11,2.3844141960144043
2010-02-12,2.4605119228363037
2010-02-16,2.511244773864746
2010-02-17,2.4774222373962402
2010-02-18,2.494333505630493
2010-02-19,2.4182355403900146
2010-02-22,2.3844141960144043
2010-02-23,2.350592851638794
2010-02-24,2.342137098312378
2010-02-25,2.4858779907226562
2010-02-26,2.4858779907226562
2010-03-01,2.7057180404663086
2010-03-02,2.9340121746063232
2010-03-03,2.8240935802459717
2010-03-04,2.857914924621582
2010-03-05,3.686541795730591
2010-03-08,3.5343434810638428
2010-03-09,4.2615065574646
2010-03-10,4.641997337341309
2010-03-11,4.5743536949157715
2010-03-12,5.064765453338623
2010-03-15,5.157774448394775
2010-03-16,5.31842565536499
2010-03-17,5.698917865753174
2010-03-18,6.468357086181641
2010-03-19,5.7411956787109375
2010-03-22,5.698917865753174
2010-03-23,6.223151206970215
2010-03-24,6.299248695373535
2010-03-25,6.290794849395752
2010-03-26,6.020220756530762
2010-03-29,6.113232135772705
2010-03-30,5.8764801025390625
2010-03-31,5.927213191986084
2010-04-01,5.9441237449646
2010-04-05,6.054043769836426
2010-04-06,6.070953845977783
2010-04-07,6.823480606079102
2010-04-08,6.908035755157471
2010-04-09,6.874213695526123
2010-04-12,7.3054399490356445
2010-04-13,7.246249675750732
2010-04-14,7.6098313331604
2010-04-15,7.567553997039795
2010-04-16,7.026412487030029
2010-04-19,7.17015266418457
2010-04-20,7.077142238616943
2010-04-21,6.99259090423584
2010-04-22,7.288529872894287
2010-04-23,7.567553997039795
2010-04-26,8.235529899597168
2010-04-27,8.041053771972656
2010-04-28,8.159428596496582
2010-04-29,8.40463638305664
2010-04-30,8.218618392944336
2010-05-03,8.810492515563965
2010-05-04,8.43000316619873
2010-05-05,8.049511909484863
2010-05-06,7.237794876098633
2010-05-07,7.195517539978027
2010-05-10,7.85503625869751
2010-05-11,8.210164070129395
2010-05-12,8.971146583557129
2010-05-13,8.996512413024902
2010-05-14,8.700572967529297
2010-05-17,8.438453674316406
2010-05-18,7.871949672698975
2010-05-19,7.491455554962158
2010-05-20,6.147052764892578
2010-05-21,6.223151206970215
2010-05-24,5.715829849243164
2010-05-25,5.631275653839111
2010-05-26,5.884936332702637
2010-05-27,6.26542854309082
2010-05-28,6.054043769836426
2010-06-01,5.70737361907959
2010-06-02,5.977945327758789
2010-06-03,6.333069324493408
2010-06-04,5.724284648895264
2010-06-07,5.284604549407959
2010-06-08,5.402980804443359
2010-06-09,5.453711032867432
2010-06-10,5.791926860809326
2010-06-11,6.206241130828857
2010-06-14,6.417625427246094
2010-06-15,6.71356201171875
2010-06-16,6.967222213745117
2010-06-17,6.823480606079102
2010-06-18,6.958768367767334
2010-06-21,7.08560037612915
2010-06-22,6.7896599769592285
2010-06-23,6.654374599456787
2010-06-24,6.7642951011657715
2010-06-25,7.144786834716797
2010-06-28,6.86575984954834
2010-06-29,6.214693546295166
2010-06-30,6.011767864227295
