Date,RCL
2010-01-04,21.443811416625977
2010-01-05,21.518613815307617
2010-01-06,20.978357315063477
2010-01-07,21.360687255859375
2010-01-08,21.535226821899414
2010-01-11,21.626657485961914
2010-01-12,21.33575439453125
2010-01-13,22.05885887145996
2010-01-14,22.823524475097656
2010-01-15,22.549243927001953
2010-01-19,22.956506729125977
2010-01-20,22.424562454223633
2010-01-21,22.08379554748535
2010-01-22,21.127965927124023
2010-01-25,20.936800003051758
2010-01-26,20.911861419677734
2010-01-27,21.136280059814453
2010-01-28,21.601720809936523
2010-01-29,21.684837341308594
2010-02-01,22.10872459411621
2010-02-02,22.93988609313965
2010-02-03,22.765338897705078
2010-02-04,20.936800003051758
2010-02-05,20.95342254638672
2010-02-08,20.911861419677734
2010-02-09,21.2858829498291
2010-02-10,20.911861419677734
2010-02-11,21.610034942626953
2010-02-12,21.269264221191406
2010-02-16,21.48536491394043
2010-02-17,21.535226821899414
2010-02-18,21.501983642578125
2010-02-19,21.8593807220459
2010-02-22,22.117040634155273
2010-02-23,21.42717933654785
2010-02-24,23.03131103515625
2010-02-25,23.097803115844727
2010-02-26,23.49675178527832
2010-03-01,23.57155990600586
2010-03-02,23.61311912536621
2010-03-03,23.629743576049805
2010-03-04,24.053634643554688
2010-03-05,24.776737213134766
2010-03-08,25.125822067260742
2010-03-09,24.710247039794922
2010-03-10,25.508155822753906
2010-03-11,25.4333438873291
2010-03-12,25.682703018188477
2010-03-15,25.400102615356445
2010-03-16,25.857236862182617
2010-03-17,26.281131744384766
2010-03-18,25.857236862182617
2010-03-19,25.77412223815918
2010-03-22,26.123207092285156
2010-03-23,27.935129165649414
2010-03-24,27.536176681518555
2010-03-25,27.63591194152832
2010-03-26,27.41981315612793
2010-03-29,27.81875991821289
2010-03-30,27.78551483154297
2010-03-31,27.41981315612793
2010-04-01,28.117979049682617
2010-04-05,28.624988555908203
2010-04-06,28.899263381958008
2010-04-07,27.5112361907959
2010-04-08,28.201099395751953
2010-04-09,28.06810760498047
2010-04-12,28.467069625854492
2010-04-13,28.433809280395508
2010-04-14,29.22340965270996
2010-04-15,29.431211471557617
