Date,PBF
2012-12-13,17.705934524536133
2012-12-14,18.225309371948242
2012-12-17,18.913311004638672
2012-12-18,18.798646926879883
2012-12-19,18.61652374267578
2012-12-20,18.771665573120117
2012-12-21,18.832368850708008
2012-12-24,18.812131881713867
2012-12-26,18.926803588867188
2012-12-27,19.088685989379883
2012-12-28,18.758167266845703
2012-12-31,19.59457015991211
2013-01-02,19.79692268371582
2013-01-03,19.088685989379883
2013-01-04,18.93354606628418
2013-01-07,18.54907989501953
2013-01-08,18.44789695739746
2013-01-09,18.528844833374023
2013-01-10,18.589550018310547
2013-01-11,18.96727180480957
2013-01-14,18.899826049804688
2013-01-15,19.405702590942383
2013-01-16,19.70248794555664
2013-01-17,19.844139099121094
2013-01-18,19.223588943481445
2013-01-22,19.59457015991211
2013-01-23,19.52037239074707
2013-01-24,19.87786293029785
2013-01-25,20.201629638671875
2013-01-28,21.510181427001953
2013-01-29,22.25889778137207
2013-01-30,22.39379119873047
2013-01-31,22.528696060180664
2013-02-01,22.46124839782715
2013-02-04,22.677085876464844
2013-02-05,24.22846794128418
2013-02-06,24.20148277282715
2013-02-07,24.518505096435547
2013-02-08,26.144071578979492
2013-02-11,25.74611473083496
2013-02-12,25.48305892944336
2013-02-13,26.002424240112305
2013-02-14,25.968704223632812
2013-02-15,25.92148780822754
2013-02-19,26.103609085083008
2013-02-20,25.800079345703125
2013-02-21,25.74611473083496
2013-02-22,27.095136642456055
2013-02-25,26.528554916381836
2013-02-26,26.9804744720459
2013-02-27,27.439144134521484
2013-02-28,28.160863876342773
2013-03-01,28.092933654785156
2013-03-04,28.520938873291016
2013-03-05,28.024995803833008
2013-03-06,27.372770309448242
2013-03-07,27.168960571289062
2013-03-08,26.802085876464844
2013-03-11,25.742231369018555
2013-03-12,26.5371150970459
2013-03-13,25.647111892700195
2013-03-14,25.857723236083984
2013-03-15,26.971927642822266
2013-03-18,26.89719581604004
2013-03-19,27.175750732421875
2013-03-20,27.984224319458008
2013-03-21,27.311626434326172
2013-03-22,27.698883056640625
2013-03-25,26.815671920776367
2013-03-26,26.448801040649414
2013-03-27,25.545204162597656
2013-03-28,25.253068923950195
2013-04-01,25.076419830322266
2013-04-02,24.614431381225586
2013-04-03,22.630603790283203
2013-04-04,23.12656021118164
2013-04-05,23.11297607421875
2013-04-08,22.746103286743164
2013-04-09,23.106182098388672
2013-04-10,23.37794303894043
2013-04-11,21.91044807434082
2013-04-12,21.33296012878418
2013-04-15,20.653566360473633
2013-04-16,21.224258422851562
2013-04-17,19.980966567993164
2013-04-18,19.770357131958008
2013-04-19,20.34783935546875
2013-04-22,21.285400390625
2013-04-23,21.33296012878418
