Date,AIG
2010-01-04,18.885639190673828
2010-01-05,18.531810760498047
2010-01-06,18.411758422851562
2010-01-07,18.057933807373047
2010-01-08,18.538122177124023
2010-01-11,18.721364974975586
2010-01-12,17.982107162475586
2010-01-13,18.361215591430664
2010-01-14,18.070566177368164
2010-01-15,17.7293701171875
2010-01-19,17.84942054748535
2010-01-20,17.66619300842285
2010-01-21,17.407140731811523
2010-01-22,16.743709564208984
2010-01-25,16.48465347290039
2010-01-26,15.416844367980957
2010-01-27,15.739091873168945
2010-01-28,15.265207290649414
2010-01-29,15.309436798095703
2010-02-01,15.138840675354004
2010-02-02,15.145155906677246
2010-02-03,15.031426429748535
2010-02-04,14.273219108581543
2010-02-05,14.159492492675781
2010-02-08,14.0015287399292
2010-02-09,14.620729446411133
2010-02-10,17.009078979492188
2010-02-11,16.617338180541992
2010-02-12,16.945892333984375
2010-02-16,17.331317901611328
2010-02-17,16.996435165405273
2010-02-18,16.876392364501953
2010-02-19,16.762662887573242
2010-02-22,17.963159561157227
2010-02-23,16.907981872558594
2010-02-24,17.685148239135742
2010-02-25,17.381860733032227
2010-02-26,15.650622367858887
2010-03-01,16.288789749145508
2010-03-02,15.814905166625977
2010-03-03,15.720129013061523
2010-03-04,16.876392364501953
2010-03-05,17.74201202392578
2010-03-08,18.386486053466797
2010-03-09,20.705333709716797
2010-03-10,22.897811889648438
2010-03-11,22.1838321685791
2010-03-12,21.62781524658203
2010-03-15,21.68467903137207
2010-03-16,21.236072540283203
2010-03-17,21.741544723510742
2010-03-18,21.886871337890625
2010-03-19,21.987964630126953
2010-03-22,21.097078323364258
2010-03-23,21.027568817138672
2010-03-24,20.958070755004883
2010-03-25,21.804725646972656
2010-03-26,21.61518096923828
2010-03-29,21.76681900024414
2010-03-30,21.602535247802734
2010-03-31,21.570951461791992
2010-04-01,21.551992416381836
2010-04-05,22.152238845825195
2010-04-06,22.689302444458008
2010-04-07,25.07763671875
2010-04-08,23.750791549682617
2010-04-09,24.09830665588379
2010-04-12,26.044361114501953
2010-04-13,25.368295669555664
2010-04-14,25.109251022338867
2010-04-15,25.260883331298828
2010-04-16,24.736452102661133
2010-04-19,24.698545455932617
2010-04-20,26.30341911315918
2010-04-21,25.842180252075195
2010-04-22,27.326993942260742
2010-04-23,28.040971755981445
2010-04-26,28.12310028076172
2010-04-27,23.611783981323242
2010-04-28,24.963918685913086
2010-04-29,25.418840408325195
2010-04-30,24.578502655029297
2010-05-03,24.98287582397461
2010-05-04,24.167802810668945
2010-05-05,23.820295333862305
2010-05-06,23.220048904418945
2010-05-07,24.452133178710938
2010-05-10,25.892723083496094
2010-05-11,27.09953498840332
2010-05-12,26.158098220825195
2010-05-13,25.68421745300293
2010-05-14,25.09661293029785
2010-05-17,24.641687393188477
2010-05-18,23.870838165283203
2010-05-19,23.586509704589844
2010-05-20,21.994287490844727
2010-05-21,22.720895767211914
2010-05-24,21.81736183166504
2010-05-25,21.792104721069336
2010-05-26,21.51408576965332
2010-05-27,23.03681182861328
2010-05-28,22.354433059692383
2010-06-01,21.64045524597168
2010-06-02,22.152238845825195
2010-06-03,22.240697860717773
2010-06-04,21.956357955932617
2010-06-07,21.533044815063477
2010-06-08,21.67835807800293
2010-06-09,21.62150001525879
2010-06-10,22.303884506225586
2010-06-11,22.164888381958008
2010-06-14,23.43487548828125
2010-06-15,23.93403434753418
2010-06-16,23.927705764770508
2010-06-17,23.86452293395996
2010-06-18,23.952980041503906
2010-06-21,24.49004364013672
2010-06-22,24.180444717407227
2010-06-23,23.88979721069336
2010-06-24,23.232681274414062
2010-06-25,23.346420288085938
2010-06-28,22.986268997192383
2010-06-29,21.811050415039062
2010-06-30,21.760498046875
2010-07-01,21.40666961669922
2010-07-02,20.913843154907227
2010-07-06,21.299253463745117
2010-07-07,22.329158782958984
2010-07-08,22.436559677124023
2010-07-09,22.682987213134766
2010-07-12,22.474477767944336
2010-07-13,24.003530502319336
2010-07-14,23.712881088256836
2010-07-15,23.618104934692383
2010-07-16,22.51871109008789
2010-07-19,22.360759735107422
2010-07-20,22.942039489746094
2010-07-21,22.310197830200195
2010-07-22,23.0557804107666
2010-07-23,23.232681274414062
2010-07-26,24.452133178710938
2010-07-27,24.736452102661133
2010-07-28,24.6606388092041
2010-07-29,24.622732162475586
2010-07-30,24.306806564331055
2010-08-02,25.298791885375977
2010-08-03,25.014467239379883
2010-08-04,25.286161422729492
2010-08-05,25.21034049987793
2010-08-06,25.861135482788086
2010-08-09,26.309728622436523
2010-08-10,25.39357566833496
2010-08-11,23.908750534057617
2010-08-12,23.441198348999023
2010-08-13,23.16950035095215
2010-08-16,22.720895767211914
2010-08-17,23.011539459228516
2010-08-18,23.270599365234375
2010-08-19,22.461837768554688
2010-08-20,22.221738815307617
2010-08-23,22.139610290527344
2010-08-24,21.653085708618164
2010-08-25,21.7352294921875
2010-08-26,21.476171493530273
2010-08-27,22.240697860717773
2010-08-30,21.482494354248047
2010-08-31,21.43826675415039
2010-09-01,22.53134536743164
2010-09-02,22.695621490478516
2010-09-03,23.188447952270508
2010-09-07,22.474477767944336
2010-09-08,22.923080444335938
2010-09-09,22.929407119750977
2010-09-10,22.967317581176758
2010-09-13,23.327465057373047
2010-09-14,22.828304290771484
2010-09-15,22.847261428833008
2010-09-16,22.562936782836914
2010-09-17,22.51871109008789
2010-09-20,23.125274658203125
2010-09-21,23.1315860748291
2010-09-22,22.537660598754883
2010-09-23,22.15855598449707
2010-09-24,23.043136596679688
2010-09-27,23.46015167236328
2010-09-28,23.580202102661133
