Date,ROCK
2010-01-04,16.799999237060547
2010-01-05,17.760000228881836
2010-01-06,17.420000076293945
2010-01-07,17.420000076293945
2010-01-08,18.170000076293945
2010-01-11,17.43000030517578
2010-01-12,16.360000610351562
2010-01-13,16.299999237060547
2010-01-14,16.309999465942383
2010-01-15,15.710000038146973
2010-01-19,15.90999984741211
2010-01-20,15.369999885559082
2010-01-21,14.510000228881836
2010-01-22,14.220000267028809
2010-01-25,14.069999694824219
2010-01-26,13.699999809265137
2010-01-27,14.09000015258789
2010-01-28,13.920000076293945
2010-01-29,13.9399995803833
2010-02-01,14.8100004196167
2010-02-02,14.649999618530273
2010-02-03,14.720000267028809
2010-02-04,13.5
2010-02-05,13.510000228881836
2010-02-08,13.029999732971191
2010-02-09,13.640000343322754
2010-02-10,13.470000267028809
2010-02-11,13.760000228881836
2010-02-12,13.829999923706055
2010-02-16,14.180000305175781
2010-02-17,14.149999618530273
2010-02-18,13.789999961853027
2010-02-19,14.229999542236328
2010-02-22,14.34000015258789
2010-02-23,13.760000228881836
2010-02-24,13.699999809265137
2010-02-25,11.119999885559082
2010-02-26,11.680000305175781
2010-03-01,13.010000228881836
2010-03-02,12.630000114440918
2010-03-03,13.100000381469727
2010-03-04,13.140000343322754
2010-03-05,13.100000381469727
2010-03-08,13.010000228881836
2010-03-09,13.100000381469727
2010-03-10,13.100000381469727
2010-03-11,13.399999618530273
2010-03-12,13.239999771118164
2010-03-15,12.979999542236328
2010-03-16,12.930000305175781
2010-03-17,12.75
2010-03-18,12.350000381469727
2010-03-19,11.6899995803833
2010-03-22,12.15999984741211
2010-03-23,12.569999694824219
2010-03-24,12.119999885559082
2010-03-25,12.029999732971191
2010-03-26,12.289999961853027
2010-03-29,12.960000038146973
2010-03-30,12.770000457763672
2010-03-31,12.609999656677246
2010-04-01,12.989999771118164
2010-04-05,13.350000381469727
2010-04-06,13.260000228881836
2010-04-07,13.149999618530273
2010-04-08,12.979999542236328
2010-04-09,13.470000267028809
2010-04-12,13.470000267028809
2010-04-13,13.680000305175781
2010-04-14,14.15999984741211
2010-04-15,14.279999732971191
2010-04-16,14.130000114440918
2010-04-19,14.130000114440918
2010-04-20,14.199999809265137
2010-04-21,14.25
2010-04-22,15.039999961853027
2010-04-23,15.529999732971191
2010-04-26,15.649999618530273
2010-04-27,15.199999809265137
2010-04-28,15.449999809265137
2010-04-29,15.649999618530273
2010-04-30,15.020000457763672
2010-05-03,15.399999618530273
2010-05-04,15.010000228881836
2010-05-05,14.899999618530273
2010-05-06,13.770000457763672
2010-05-07,12.739999771118164
2010-05-10,13.930000305175781
2010-05-11,14.3100004196167
2010-05-12,14.789999961853027
2010-05-13,14.40999984741211
2010-05-14,13.979999542236328
2010-05-17,14.59000015258789
2010-05-18,13.609999656677246
2010-05-19,13.350000381469727
2010-05-20,12.020000457763672
2010-05-21,12.260000228881836
2010-05-24,12.229999542236328
2010-05-25,12.109999656677246
2010-05-26,12.5
2010-05-27,13.630000114440918
2010-05-28,13.119999885559082
2010-06-01,11.869999885559082
2010-06-02,12.15999984741211
2010-06-03,12.449999809265137
2010-06-04,11.25
2010-06-07,10.65999984741211
2010-06-08,10.699999809265137
2010-06-09,10.579999923706055
2010-06-10,11.300000190734863
2010-06-11,11.720000267028809
2010-06-14,11.739999771118164
2010-06-15,12.84000015258789
2010-06-16,12.510000228881836
2010-06-17,12.319999694824219
2010-06-18,12.050000190734863
2010-06-21,11.9399995803833
2010-06-22,11.539999961853027
2010-06-23,11.329999923706055
2010-06-24,11.210000038146973
2010-06-25,11.760000228881836
2010-06-28,11.279999732971191
2010-06-29,10.470000267028809
2010-06-30,10.100000381469727
2010-07-01,10.170000076293945
2010-07-02,9.789999961853027
2010-07-06,9.699999809265137
2010-07-07,10.569999694824219
2010-07-08,10.779999732971191
2010-07-09,11.140000343322754
2010-07-12,10.550000190734863
2010-07-13,10.9399995803833
2010-07-14,10.600000381469727
