Date,MAT
2010-01-04,14.349026679992676
2010-01-05,14.054727554321289
2010-01-06,13.997302055358887
2010-01-07,14.356205940246582
2010-01-08,14.191112518310547
2010-01-11,14.28442668914795
2010-01-12,13.889627456665039
2010-01-13,14.349026679992676
2010-01-14,14.70075798034668
2010-01-15,14.557196617126465
2010-01-19,14.916101455688477
2010-01-20,14.772537231445312
2010-01-21,14.772537231445312
2010-01-22,14.320314407348633
2010-01-25,14.327493667602539
2010-01-26,14.248537063598633
2010-01-27,14.327493667602539
2010-01-28,14.384918212890625
2010-01-29,14.155219078063965
2010-02-01,14.550016403198242
2010-02-02,14.937634468078613
2010-02-03,15.016596794128418
2010-02-04,14.377742767333984
2010-02-05,14.427987098693848
2010-02-08,14.399280548095703
2010-02-09,14.7222900390625
2010-02-10,14.550016403198242
2010-02-11,14.794073104858398
2010-02-12,15.066839218139648
2010-02-16,15.253472328186035
2010-02-17,15.475988388061523
2010-02-18,15.720048904418945
2010-02-19,15.633910179138184
2010-02-22,15.49034309387207
2010-02-23,15.64826774597168
2010-02-24,15.791829109191895
2010-02-25,15.849254608154297
2010-02-26,15.784647941589355
2010-03-01,15.842079162597656
2010-03-02,15.999993324279785
2010-03-03,15.748759269714355
2010-03-04,15.834896087646484
2010-03-05,16.15073585510254
2010-03-08,16.21533966064453
2010-03-09,16.222515106201172
2010-03-10,16.430681228637695
2010-03-11,16.380435943603516
2010-03-12,16.337364196777344
2010-03-15,16.466571807861328
2010-03-16,16.610132217407227
2010-03-17,16.660377502441406
2010-03-18,16.610132217407227
2010-03-19,16.646026611328125
2010-03-22,16.70344352722168
2010-03-23,16.667552947998047
2010-03-24,16.466571807861328
2010-03-25,16.358901977539062
2010-03-26,16.38760757446289
2010-03-29,16.57424545288086
2010-03-30,16.595775604248047
2010-03-31,16.323007583618164
2010-04-01,16.229694366455078
2010-04-05,16.882902145385742
2010-04-06,16.73215675354004
2010-04-07,16.610132217407227
2010-04-08,16.861371994018555
2010-04-09,16.63884735107422
2010-04-12,16.71062469482422
2010-04-13,16.83983039855957
2010-04-14,16.739341735839844
2010-04-15,17.04799461364746
2010-04-16,17.112600326538086
2010-04-19,16.882902145385742
2010-04-20,16.96185874938965
2010-04-21,16.940324783325195
2010-04-22,16.81829833984375
2010-04-23,16.89725685119629
2010-04-26,17.126951217651367
2010-04-27,16.71062469482422
2010-04-28,16.681909561157227
2010-04-29,16.976211547851562
2010-04-30,16.523996353149414
2010-05-03,17.198732376098633
2010-05-04,16.50246238708496
2010-05-05,16.42350196838379
2010-05-06,15.86361026763916
2010-05-07,15.397031784057617
2010-05-10,16.143558502197266
2010-05-11,16.380435943603516
2010-05-12,16.617311477661133
2010-05-13,15.885147094726562
2010-05-14,15.770292282104492
2010-05-17,16.12919807434082
2010-05-18,16.028705596923828
2010-05-19,15.87078857421875
2010-05-20,15.332427024841309
2010-05-21,15.397031784057617
2010-05-24,15.404211044311523
2010-05-25,15.33961009979248
2010-05-26,15.275001525878906
2010-05-27,15.576483726501465
2010-05-28,15.547773361206055
2010-06-01,15.260644912719727
2010-06-02,15.554953575134277
2010-06-03,15.590843200683594
2010-06-04,14.96634578704834
2010-06-07,14.64333438873291
2010-06-08,14.858678817749023
2010-06-09,14.858678817749023
2010-06-10,15.461638450622559
2010-06-11,15.468814849853516
2010-06-14,15.569308280944824
2010-06-15,15.978462219238281
2010-06-16,16.21533966064453
2010-06-17,16.258403778076172
2010-06-18,16.15073585510254
2010-06-21,16.028705596923828
2010-06-22,15.81336784362793
2010-06-23,16.035884857177734
2010-06-24,16.08613395690918
2010-06-25,15.784647941589355
2010-06-28,15.755940437316895
2010-06-29,15.375497817993164
2010-06-30,15.188864707946777
2010-07-01,15.253472328186035
2010-07-02,15.038127899169922
2010-07-06,15.11708927154541
2010-07-07,15.605195999145508
2010-07-08,15.676979064941406
2010-07-09,16.200979232788086
2010-07-12,16.337364196777344
2010-07-13,16.523996353149414
2010-07-14,16.272764205932617
2010-07-15,16.509641647338867
2010-07-16,14.937634468078613
2010-07-19,15.267827987670898
2010-07-20,15.181692123413086
2010-07-21,14.829961776733398
2010-07-22,15.109910011291504
2010-07-23,15.246293067932129
2010-07-26,15.64108657836914
2010-07-27,15.461638450622559
2010-07-28,15.375497817993164
2010-07-29,15.296534538269043
2010-07-30,15.188864707946777
2010-08-02,15.4329252243042
2010-08-03,15.19604778289795
2010-08-04,15.619553565979004
2010-08-05,15.81336784362793
2010-08-06,15.827719688415527
2010-08-09,16.035884857177734
2010-08-10,16.035884857177734
2010-08-11,15.64826774597168
2010-08-12,15.626730918884277
2010-08-13,15.605195999145508
2010-08-16,15.583666801452637
2010-08-17,15.928217887878418
2010-08-18,16.00717544555664
2010-08-19,15.619553565979004
2010-08-20,15.59801959991455
2010-08-23,15.468814849853516
2010-08-24,15.231938362121582
2010-08-25,15.475988388061523
2010-08-26,15.203225135803223
2010-08-27,15.267827987670898
2010-08-30,14.980706214904785
2010-08-31,15.066839218139648
2010-09-01,15.224760055541992
2010-09-02,15.547773361206055
2010-09-03,15.748759269714355
2010-09-07,15.519060134887695
2010-09-08,15.569308280944824
2010-09-09,15.806184768676758
2010-09-10,15.82054615020752
2010-09-13,15.827719688415527
2010-09-14,15.68415641784668
2010-09-15,15.892321586608887
2010-09-16,16.064594268798828
2010-09-17,16.21533966064453
2010-09-20,16.5814208984375
2010-09-21,16.4737491607666
2010-09-22,16.523996353149414
2010-09-23,16.667552947998047
2010-09-24,17.05517578125
2010-09-27,16.72498321533203
2010-09-28,16.98339080810547
