Date,MSBI
2016-05-24,14.528202056884766
2016-05-25,14.601181983947754
2016-05-26,14.647618293762207
2016-05-27,14.873167037963867
2016-05-31,14.932870864868164
2016-06-01,14.972675323486328
2016-06-02,15.204866409301758
2016-06-03,14.966042518615723
2016-06-06,15.21812629699707
2016-06-07,15.078818321228027
2016-06-08,14.939508438110352
2016-06-09,14.853265762329102
2016-06-10,14.780295372009277
2016-06-13,14.720589637756348
2016-06-14,14.50830364227295
2016-06-15,14.44196605682373
2016-06-16,14.554736137390137
2016-06-17,14.587913513183594
2016-06-20,14.687414169311523
2016-06-21,14.59454345703125
2016-06-22,14.481771469116211
2016-06-23,14.501667022705078
2016-06-24,14.276118278503418
2016-06-27,14.097002983093262
2016-06-28,13.970959663391113
2016-06-29,14.322556495666504
2016-06-30,14.388895988464355
2016-07-01,14.448596000671387
2016-07-05,14.42870044708252
2016-07-06,14.561378479003906
2016-07-07,14.554736137390137
2016-07-08,14.654251098632812
2016-07-11,14.621078491210938
2016-07-12,14.614445686340332
2016-07-13,14.614445686340332
2016-07-14,14.62771224975586
2016-07-15,14.667521476745605
2016-07-18,14.694049835205078
2016-07-19,14.82009506225586
2016-07-20,14.62771224975586
2016-07-21,14.654251098632812
2016-07-22,14.826732635498047
2016-07-25,14.680787086486816
2016-07-26,14.760391235351562
2016-07-27,14.760391235351562
2016-07-28,14.674149513244629
2016-07-29,15.098721504211426
2016-08-01,15.078818321228027
2016-08-02,15.005843162536621
2016-08-03,15.045645713806152
2016-08-04,14.899702072143555
2016-08-05,14.946142196655273
2016-08-08,14.966042518615723
2016-08-09,14.9992094039917
2016-08-10,15.019269943237305
2016-08-11,15.40044116973877
2016-08-12,15.346943855285645
2016-08-15,15.340255737304688
2016-08-16,15.527498245239258
2016-08-17,15.554239273071289
2016-08-18,15.901971817016602
2016-08-19,15.754858016967773
2016-08-22,15.988908767700195
2016-08-23,15.988908767700195
2016-08-24,16.0223331451416
2016-08-25,16.102590560913086
2016-08-26,16.243013381958008
2016-08-29,16.21626853942871
2016-08-30,16.31657600402832
2016-08-31,16.276451110839844
2016-09-01,16.356698989868164
2016-09-02,16.5706844329834
2016-09-06,16.537250518798828
2016-09-07,16.497129440307617
2016-09-08,16.443628311157227
2016-09-09,16.784671783447266
2016-09-12,16.717803955078125
2016-09-13,16.597434997558594
2016-09-14,16.497129440307617
2016-09-15,16.610807418823242
2016-09-16,16.129337310791016
2016-09-19,16.590747833251953
2016-09-20,16.256389617919922
2016-09-21,16.269765853881836
2016-09-22,16.691049575805664
2016-09-23,16.490436553955078
2016-09-26,16.597434997558594
2016-09-27,16.677677154541016
2016-09-28,16.65092658996582
