Date,M
2010-01-04,9.942312240600586
2010-01-05,9.825758934020996
2010-01-06,9.965628623962402
2010-01-07,10.192912101745605
2010-01-08,9.860725402832031
2010-01-11,9.685888290405273
2010-01-12,9.540189743041992
2010-01-13,9.580988883972168
2010-01-14,9.621782302856445
2010-01-15,9.64509391784668
2010-01-19,9.726686477661133
2010-01-20,9.580988883972168
2010-01-21,9.173038482666016
2010-01-22,9.07396411895752
2010-01-25,9.050651550292969
2010-01-26,9.219660758972168
2010-01-27,9.132242202758789
2010-01-28,9.19635009765625
2010-01-29,9.283768653869629
2010-02-01,9.277938842773438
2010-02-02,9.446942329406738
2010-02-03,9.464433670043945
2010-02-04,9.71502685546875
2010-02-05,9.5693359375
2010-02-08,9.481915473937988
2010-02-09,9.738343238830566
2010-02-10,9.761651039123535
2010-02-11,9.983110427856445
2010-02-12,10.093836784362793
2010-02-16,10.426026344299316
2010-02-17,10.449341773986816
2010-02-18,10.583379745483398
2010-02-19,10.804839134216309
2010-02-22,10.764043807983398
2010-02-23,10.880597114562988
2010-02-24,11.375969886779785
2010-02-25,11.236099243164062
2010-02-26,11.160334587097168
2010-03-01,11.527488708496094
2010-03-02,11.655701637268066
2010-03-03,11.673186302185059
2010-03-04,11.585772514343262
2010-03-05,11.917960166931152
2010-03-08,12.261800765991211
2010-03-09,12.051998138427734
2010-03-10,12.226829528808594
2010-03-11,12.302779197692871
2010-03-12,12.705860137939453
2010-03-15,12.594860076904297
2010-03-16,12.64159870147705
2010-03-17,12.606546401977539
2010-03-18,12.495550155639648
2010-03-19,12.20346736907959
2010-03-22,12.851903915405273
2010-03-23,12.775954246520996
2010-03-24,12.559812545776367
2010-03-25,12.559812545776367
2010-03-26,12.688334465026855
2010-03-29,12.64159870147705
2010-03-30,12.922003746032715
2010-03-31,12.717545509338379
2010-04-01,13.050521850585938
2010-04-05,13.34261417388916
2010-04-06,13.20825481414795
2010-04-07,13.120621681213379
2010-04-08,13.231616973876953
2010-04-09,13.734007835388184
2010-04-12,13.40102481842041
2010-04-13,13.576285362243652
2010-04-14,13.996891021728516
2010-04-15,13.880049705505371
2010-04-16,13.424393653869629
2010-04-19,13.377660751342773
2010-04-20,13.441926002502441
2010-04-21,13.693119049072266
2010-04-22,14.3006591796875
2010-04-23,14.505128860473633
2010-04-26,14.516809463500977
2010-04-27,13.967683792114258
2010-04-28,14.037779808044434
2010-04-29,14.417501449584961
2010-04-30,13.552918434143066
2010-05-03,13.86837100982666
2010-05-04,13.301719665527344
2010-05-05,13.56459903717041
2010-05-06,13.097258567810059
2010-05-07,12.816854476928711
2010-05-10,14.002730369567871
2010-05-11,13.961840629577637
2010-05-12,14.429182052612305
2010-05-13,13.716486930847168
2010-05-14,13.1673583984375
2010-05-17,13.032999992370605
2010-05-18,12.48387336730957
2010-05-19,12.472185134887695
2010-05-20,11.888010025024414
2010-05-21,12.296934127807617
2010-05-24,12.355353355407715
2010-05-25,12.565655708312988
2010-05-26,12.279409408569336
2010-05-27,12.881110191345215
2010-05-28,12.974580764770508
2010-06-01,12.781800270080566
2010-06-02,13.085575103759766
2010-06-03,13.138150215148926
2010-06-04,12.28525161743164
2010-06-07,12.022370338439941
2010-06-08,12.022370338439941
2010-06-09,11.987324714660645
2010-06-10,12.460504531860352
2010-06-11,12.437084197998047
2010-06-14,12.724000930786133
2010-06-15,13.00506591796875
2010-06-16,12.76498794555664
2010-06-17,12.68886661529541
2010-06-18,12.565900802612305
2010-06-21,12.144312858581543
2010-06-22,11.746131896972656
2010-06-23,11.763701438903809
2010-06-24,11.037617683410645
2010-06-25,11.137160301208496
2010-06-28,11.020052909851074
2010-06-29,10.40522575378418
2010-06-30,10.481348991394043
2010-07-01,10.733129501342773
2010-07-02,10.45206356048584
2010-07-06,10.194427490234375
2010-07-07,10.487203598022461
2010-07-08,10.797536849975586
2010-07-09,10.850241661071777
2010-07-12,10.528186798095703
2010-07-13,10.815110206604004
2010-07-14,10.762409210205078
2010-07-15,10.71556282043457
2010-07-16,10.0480375289917
2010-07-19,10.264690399169922
2010-07-20,10.785832405090332
2010-07-21,10.657007217407227
2010-07-22,11.265978813171387
2010-07-23,11.347956657409668
2010-07-26,11.792976379394531
2010-07-27,11.465068817138672
2010-07-28,11.154727935791016
2010-07-29,10.914655685424805
2010-07-30,10.92050552368164
2010-08-02,11.39479923248291
2010-08-03,11.031760215759277
2010-08-04,11.38309097290039
2010-08-05,11.582179069519043
2010-08-06,11.38309097290039
2010-08-09,11.570466995239258
2010-08-10,11.347956657409668
2010-08-11,12.015490531921387
2010-08-12,11.85738754272461
2010-08-13,11.78711986541748
2010-08-16,11.792976379394531
2010-08-17,12.00963306427002
2010-08-18,12.325827598571777
2010-08-19,12.132591247558594
2010-08-20,12.278985977172852
2010-08-23,11.828108787536621
2010-08-24,11.470925331115723
2010-08-25,11.588033676147461
2010-08-26,11.248414039611816
2010-08-27,11.476777076721191
2010-08-30,11.236708641052246
2010-08-31,11.365525245666504
2010-09-01,11.822257995605469
2010-09-02,12.126741409301758
2010-09-03,12.220429420471191
2010-09-07,11.992063522338867
2010-09-08,11.956932067871094
2010-09-09,12.079894065856934
2010-09-10,12.17944049835205
2010-09-13,12.3555326461792
2010-09-14,12.707707405090332
2010-09-15,12.619658470153809
2010-09-16,12.731184005737305
2010-09-17,12.766403198242188
2010-09-20,12.989445686340332
2010-09-21,12.907271385192871
2010-09-22,12.913141250610352
2010-09-23,13.077497482299805
2010-09-24,13.353362083435059
2010-09-27,13.341629981994629
2010-09-28,13.48249626159668
2010-09-29,13.599882125854492
2010-09-30,13.547054290771484
2010-10-01,13.588144302368164
2010-10-04,13.359230041503906
2010-10-05,13.80532169342041
2010-10-06,13.910974502563477
2010-10-07,13.999022483825684
2010-10-08,14.298364639282227
2010-10-11,14.585984230041504
2010-10-12,14.650548934936523
2010-10-13,14.286624908447266
2010-10-14,14.110538482666016
2010-10-15,14.192717552185059
2010-10-18,14.087063789367676
2010-10-19,13.288796424865723
2010-10-20,13.165534973144531
2010-10-21,13.059879302978516
2010-10-22,13.018798828125
2010-10-25,13.189013481140137
2010-10-26,13.4766206741333
2010-10-27,13.523581504821777
2010-10-28,13.67032241821289
2010-10-29,13.893362998962402
2010-11-01,14.069454193115234
2010-11-02,14.098809242248535
2010-11-03,14.069454193115234
2010-11-04,15.00272274017334
2010-11-05,15.008593559265137
2010-11-08,15.008593559265137
2010-11-09,14.803155899047852
2010-11-10,14.591850280761719
2010-11-11,14.627067565917969
2010-11-12,14.709242820739746
2010-11-15,14.49793529510498
2010-11-16,14.175106048583984
2010-11-17,14.468588829040527
2010-11-18,14.515542984008789
2010-11-19,14.720978736877441
2010-11-22,15.049680709838867
2010-11-23,14.938157081604004
2010-11-24,15.196415901184082
2010-11-26,15.26098346710205
2010-11-29,14.920549392700195
2010-11-30,15.073163986206055
2010-12-01,15.143595695495605
2010-12-02,14.990984916687012
2010-12-03,14.709242820739746
2010-12-06,14.779674530029297
2010-12-07,15.01446533203125
2010-12-08,14.961633682250977
2010-12-09,14.932289123535156
2010-12-10,14.961633682250977
2010-12-13,14.673460960388184
2010-12-14,14.808728218078613
2010-12-15,14.861660957336426
2010-12-16,15.132186889648438
2010-12-17,15.226284980773926
2010-12-20,15.055736541748047
2010-12-21,15.279215812683105
2010-12-22,14.99103832244873
2010-12-23,14.796958923339844
2010-12-27,14.796958923339844
2010-12-28,14.702862739562988
2010-12-29,14.726391792297363
2010-12-30,14.844017028808594
2010-12-31,14.879302024841309
2011-01-03,14.96163558959961
2011-01-04,14.755800247192383
2011-01-05,14.685221672058105
2011-01-06,14.097105026245117
2011-01-07,13.708951950073242
2011-01-10,13.808932304382324
2011-01-11,13.667783737182617
2011-01-12,13.65601921081543
2011-01-13,13.520752906799316
2011-01-14,13.57368278503418
2011-01-18,13.761879920959473
2011-01-19,13.479584693908691
2011-01-20,13.761879920959473
2011-01-21,13.60897159576416
2011-01-24,13.797168731689453
2011-01-25,13.720714569091797
2011-01-26,13.855979919433594
2011-01-27,14.032414436340332
2011-01-28,13.520752906799316
2011-01-31,13.614851951599121
2011-02-01,13.373725891113281
2011-02-02,12.944401741027832
2011-02-03,13.079668045043945
2011-02-04,13.420772552490234
2011-02-07,13.826573371887207
2011-02-08,14.267660140991211
2011-02-09,14.055936813354492
2011-02-10,14.24413013458252
2011-02-11,14.479376792907715
2011-02-14,14.038297653198242
2011-02-15,13.850096702575684
2011-02-16,14.07946491241455
2011-02-17,14.150032043457031
2011-02-18,13.967720031738281
2011-02-22,13.797168731689453
2011-02-23,13.650141716003418
2011-02-24,13.626611709594727
2011-02-25,13.87950325012207
2011-02-28,14.055936813354492
2011-03-01,13.726593971252441
2011-03-02,13.867741584777832
2011-03-03,13.90302848815918
2011-03-04,13.738360404968262
2011-03-07,13.679549217224121
2011-03-08,13.744237899780273
2011-03-09,14.161796569824219
2011-03-10,13.87950325012207
2011-03-11,13.991485595703125
2011-03-14,13.832356452941895
2011-03-15,13.702695846557617
2011-03-16,13.667333602905273
2011-03-17,13.620186805725098
2011-03-18,13.549460411071777
2011-03-21,13.796990394592285
2011-03-22,13.478736877441406
2011-03-23,13.525884628295898
2011-03-24,13.590715408325195
2011-03-25,13.808780670166016
2011-03-28,13.649654388427734
2011-03-29,13.932544708251953
2011-03-30,14.286160469055176
2011-03-31,14.297953605651855
2011-04-01,14.350992202758789
2011-04-04,14.103461265563965
2011-04-05,14.49833869934082
2011-04-06,14.846063613891602
2011-04-07,14.969819068908691
2011-04-08,14.633892059326172
2011-04-11,14.728190422058105
2011-04-12,14.5631685256958
2011-04-13,14.54548454284668
2011-04-14,14.40403938293457
2011-04-15,14.380463600158691
2011-04-18,14.097566604614258
2011-04-19,14.097566604614258
2011-04-20,14.445297241210938
2011-04-21,14.23901653289795
2011-04-25,14.138823509216309
2011-04-26,14.433500289916992
2011-04-27,14.48065185546875
2011-04-28,14.268484115600586
2011-04-29,14.091673851013184
2011-05-02,14.25080394744873
2011-05-03,14.72229290008545
2011-05-04,14.969819068908691
2011-05-05,15.529720306396484
2011-05-06,15.370587348937988
2011-05-09,15.429530143737793
2011-05-10,15.517934799194336
2011-05-11,16.714344024658203
2011-05-12,16.867576599121094
2011-05-13,16.773277282714844
2011-05-16,16.537532806396484
2011-05-17,16.737918853759766
2011-05-18,17.20940589904785
2011-05-19,17.386215209960938
