Date,MOD
2010-01-04,12.359999656677246
2010-01-05,12.5
2010-01-06,12.039999961853027
2010-01-07,11.979999542236328
2010-01-08,11.949999809265137
2010-01-11,11.84000015258789
2010-01-12,11.529999732971191
2010-01-13,11.890000343322754
2010-01-14,11.899999618530273
2010-01-15,11.399999618530273
2010-01-19,11.359999656677246
2010-01-20,10.539999961853027
2010-01-21,9.979999542236328
2010-01-22,9.920000076293945
2010-01-25,10.140000343322754
2010-01-26,9.869999885559082
2010-01-27,9.640000343322754
2010-01-28,9.5
2010-01-29,9.510000228881836
2010-02-01,9.850000381469727
2010-02-02,10.239999771118164
2010-02-03,10.369999885559082
2010-02-04,9.300000190734863
2010-02-05,9.100000381469727
2010-02-08,9.109999656677246
2010-02-09,9.359999656677246
2010-02-10,9.34000015258789
2010-02-11,9.260000228881836
2010-02-12,9.529999732971191
2010-02-16,9.520000457763672
2010-02-17,9.460000038146973
2010-02-18,9.350000381469727
2010-02-19,9.329999923706055
2010-02-22,9.210000038146973
2010-02-23,9.220000267028809
2010-02-24,9.6899995803833
2010-02-25,9.680000305175781
2010-02-26,9.399999618530273
2010-03-01,9.75
2010-03-02,9.869999885559082
2010-03-03,9.90999984741211
2010-03-04,10.239999771118164
2010-03-05,10.65999984741211
2010-03-08,10.399999618530273
2010-03-09,10.25
2010-03-10,10.8100004196167
2010-03-11,10.859999656677246
2010-03-12,10.90999984741211
2010-03-15,10.829999923706055
2010-03-16,10.789999961853027
2010-03-17,11.050000190734863
2010-03-18,11.09000015258789
2010-03-19,10.649999618530273
2010-03-22,10.970000267028809
2010-03-23,11.460000038146973
2010-03-24,11.350000381469727
2010-03-25,11.399999618530273
2010-03-26,11.770000457763672
2010-03-29,11.84000015258789
2010-03-30,11.380000114440918
2010-03-31,11.239999771118164
2010-04-01,11.180000305175781
2010-04-05,11.989999771118164
2010-04-06,12.15999984741211
2010-04-07,12.220000267028809
2010-04-08,12.819999694824219
2010-04-09,12.609999656677246
2010-04-12,12.649999618530273
2010-04-13,12.739999771118164
2010-04-14,13.239999771118164
2010-04-15,13.699999809265137
2010-04-16,12.859999656677246
2010-04-19,12.739999771118164
2010-04-20,13.0
2010-04-21,13.600000381469727
2010-04-22,13.739999771118164
2010-04-23,14.149999618530273
2010-04-26,14.319999694824219
2010-04-27,13.529999732971191
2010-04-28,14.0
2010-04-29,14.739999771118164
2010-04-30,14.010000228881836
2010-05-03,14.529999732971191
2010-05-04,13.65999984741211
2010-05-05,13.050000190734863
2010-05-06,12.069999694824219
2010-05-07,12.119999885559082
2010-05-10,13.4399995803833
2010-05-11,13.770000457763672
2010-05-12,14.069999694824219
2010-05-13,13.65999984741211
2010-05-14,13.039999961853027
2010-05-17,12.529999732971191
2010-05-18,12.4399995803833
2010-05-19,12.359999656677246
2010-05-20,11.270000457763672
2010-05-21,11.319999694824219
2010-05-24,10.890000343322754
2010-05-25,11.199999809265137
2010-05-26,10.970000267028809
2010-05-27,11.789999961853027
2010-05-28,11.619999885559082
2010-06-01,11.020000457763672
2010-06-02,11.079999923706055
2010-06-03,11.010000228881836
2010-06-04,10.100000381469727
2010-06-07,9.359999656677246
2010-06-08,9.329999923706055
2010-06-09,8.9399995803833
2010-06-10,9.270000457763672
