Date,EGHT
2010-01-04,1.5499999523162842
2010-01-05,1.5700000524520874
2010-01-06,1.600000023841858
2010-01-07,1.6299999952316284
2010-01-08,1.600000023841858
2010-01-11,1.5499999523162842
2010-01-12,1.4500000476837158
2010-01-13,1.5
2010-01-14,1.3899999856948853
2010-01-15,1.3700000047683716
2010-01-19,1.350000023841858
2010-01-20,1.340000033378601
2010-01-21,1.350000023841858
2010-01-22,1.3200000524520874
2010-01-25,1.2100000381469727
2010-01-26,1.2100000381469727
2010-01-27,1.2999999523162842
2010-01-28,1.2000000476837158
2010-01-29,1.2100000381469727
2010-02-01,1.2699999809265137
2010-02-02,1.2599999904632568
2010-02-03,1.2699999809265137
2010-02-04,1.2599999904632568
2010-02-05,1.2599999904632568
2010-02-08,1.2599999904632568
2010-02-09,1.2599999904632568
2010-02-10,1.2599999904632568
2010-02-11,1.2999999523162842
2010-02-12,1.3899999856948853
2010-02-16,1.3600000143051147
2010-02-17,1.340000033378601
2010-02-18,1.340000033378601
2010-02-19,1.3600000143051147
2010-02-22,1.3799999952316284
2010-02-23,1.3899999856948853
2010-02-24,1.3300000429153442
2010-02-25,1.340000033378601
2010-02-26,1.340000033378601
2010-03-01,1.2899999618530273
2010-03-02,1.3200000524520874
2010-03-03,1.2999999523162842
2010-03-04,1.309999942779541
2010-03-05,1.2799999713897705
2010-03-08,1.2599999904632568
2010-03-09,1.2899999618530273
2010-03-10,1.309999942779541
2010-03-11,1.2999999523162842
2010-03-12,1.309999942779541
2010-03-15,1.2699999809265137
2010-03-16,1.2899999618530273
2010-03-17,1.2599999904632568
2010-03-18,1.2599999904632568
2010-03-19,1.25
2010-03-22,1.3300000429153442
2010-03-23,1.3200000524520874
2010-03-24,1.399999976158142
2010-03-25,1.4600000381469727
2010-03-26,1.409999966621399
2010-03-29,1.3899999856948853
2010-03-30,1.3799999952316284
2010-03-31,1.4500000476837158
2010-04-01,1.4199999570846558
2010-04-05,1.5099999904632568
2010-04-06,1.5299999713897705
2010-04-07,1.5399999618530273
2010-04-08,1.5499999523162842
2010-04-09,1.5499999523162842
2010-04-12,1.5299999713897705
2010-04-13,1.5199999809265137
2010-04-14,1.4800000190734863
2010-04-15,1.5099999904632568
2010-04-16,1.5
2010-04-19,1.4900000095367432
2010-04-20,1.4800000190734863
2010-04-21,1.4800000190734863
2010-04-22,1.4800000190734863
2010-04-23,1.4600000381469727
2010-04-26,1.4700000286102295
2010-04-27,1.350000023841858
2010-04-28,1.340000033378601
2010-04-29,1.3899999856948853
2010-04-30,1.3899999856948853
2010-05-03,1.409999966621399
