Date,RSG
2010-01-04,20.491409301757812
2010-01-05,20.51999282836914
2010-01-06,20.67717933654785
2010-01-07,20.64145851135254
2010-01-08,20.670032501220703
2010-01-11,20.662887573242188
2010-01-12,20.634307861328125
2010-01-13,20.920108795166016
2010-01-14,20.87723731994629
2010-01-15,20.277069091796875
2010-01-19,20.427112579345703
2010-01-20,20.2270565032959
2010-01-21,20.148466110229492
2010-01-22,19.70548439025879
2010-01-25,19.598318099975586
2010-01-26,19.25535011291504
2010-01-27,19.319660186767578
2010-01-28,19.219636917114258
2010-01-29,19.14104652404785
2010-02-01,19.29108238220215
2010-02-02,19.30536651611328
2010-02-03,19.112462997436523
2010-02-04,18.519441604614258
2010-02-05,18.34796142578125
2010-02-08,18.305095672607422
2010-02-09,18.48370933532715
2010-02-10,18.498003005981445
2010-02-11,18.733779907226562
2010-02-12,18.59803581237793
2010-02-16,19.30536651611328
2010-02-17,19.59116554260254
2010-02-18,19.741207122802734
2010-02-19,20.062721252441406
2010-02-22,20.00556182861328
2010-02-23,19.762638092041016
2010-02-24,20.04843521118164
2010-02-25,20.105592727661133
2010-02-26,20.105592727661133
2010-03-01,20.64145851135254
2010-03-02,20.941537857055664
2010-03-03,20.884384155273438
2010-03-04,20.770065307617188
2010-03-05,21.084440231323242
2010-03-08,20.891523361206055
2010-03-09,20.72005271911621
2010-03-10,20.51999282836914
2010-03-11,20.577152252197266
2010-03-12,20.512845993041992
2010-03-15,20.74862289428711
2010-03-16,20.605737686157227
2010-03-17,20.605737686157227
2010-03-18,20.612873077392578
2010-03-19,20.398527145385742
2010-03-22,20.398527145385742
2010-03-23,20.634307861328125
2010-03-24,20.605737686157227
2010-03-25,20.54857635498047
2010-03-26,20.698610305786133
2010-03-29,20.87723731994629
2010-03-30,20.94915199279785
2010-03-31,20.87004280090332
2010-04-01,20.9851131439209
2010-04-05,21.13613510131836
2010-04-06,21.395042419433594
2010-04-07,21.344694137573242
2010-04-08,21.423795700073242
2010-04-09,21.538869857788086
2010-04-12,21.5676326751709
2010-04-13,21.53167724609375
2010-04-14,21.6611270904541
2010-04-15,22.071046829223633
2010-04-16,21.848100662231445
2010-04-19,21.78338050842285
2010-04-20,21.92721176147461
2010-04-21,21.891254425048828
2010-04-22,21.77619171142578
2010-04-23,21.769001007080078
2010-04-26,21.999128341674805
2010-04-27,21.301538467407227
2010-04-28,21.43099021911621
2010-04-29,21.69707489013672
2010-04-30,22.315561294555664
2010-05-03,22.711101531982422
2010-05-04,21.675506591796875
2010-05-05,21.538869857788086
2010-05-06,20.91319465637207
2010-05-07,20.8197078704834
2010-05-10,21.57482147216797
2010-05-11,21.5676326751709
2010-05-12,21.833723068237305
2010-05-13,21.64673614501953
2010-05-14,21.272777557373047
2010-05-17,21.423795700073242
2010-05-18,21.395042419433594
2010-05-19,21.150516510009766
2010-05-20,20.31629180908203
2010-05-21,20.60395622253418
2010-05-24,20.330671310424805
2010-05-25,20.46731185913086
2010-05-26,20.36663246154785
2010-05-27,21.035451889038086
2010-05-28,20.94196128845215
2010-06-01,20.89162254333496
2010-06-02,21.344694137573242
2010-06-03,21.546051025390625
2010-06-04,20.50328254699707
2010-06-07,20.18684196472168
2010-06-08,20.81250762939453
2010-06-09,21.287153244018555
2010-06-10,22.042274475097656
2010-06-11,22.056652069091797
2010-06-14,22.17892074584961
2010-06-15,22.502540588378906
2010-06-16,22.50973129272461
2010-06-17,22.682336807250977
2010-06-18,22.667945861816406
2010-06-21,22.502540588378906
2010-06-22,22.006317138671875
2010-06-23,22.02789306640625
2010-06-24,21.819332122802734
2010-06-25,22.272409439086914
2010-06-28,22.21487808227539
2010-06-29,21.389955520629883
2010-06-30,21.512971878051758
2010-07-01,21.368247985839844
2010-07-02,21.172874450683594
2010-07-06,21.303129196166992
2010-07-07,21.795181274414062
2010-07-08,22.091861724853516
2010-07-09,22.14251708984375
2010-07-12,22.135282516479492
2010-07-13,22.352357864379883
2010-07-14,22.02674102783203
2010-07-15,22.243820190429688
2010-07-16,21.693872451782227
2010-07-19,21.795181274414062
2010-07-20,22.033971786499023
2010-07-21,22.504322052001953
2010-07-22,22.97466278076172
2010-07-23,23.198986053466797
2010-07-26,23.62591552734375
2010-07-27,23.336475372314453
2010-07-28,23.242403030395508
2010-07-29,23.141098022460938
2010-07-30,23.05426025390625
2010-08-02,23.495662689208984
2010-08-03,23.37989044189453
2010-08-04,23.43777847290039
2010-08-05,23.039785385131836
2010-08-06,22.89506721496582
2010-08-09,22.9891414642334
2010-08-10,22.634565353393555
2010-08-11,21.66493034362793
2010-08-12,21.29588508605957
2010-08-13,21.274181365966797
2010-08-16,21.462316513061523
2010-08-17,21.82412338256836
2010-08-18,21.70834732055664
2010-08-19,21.787944793701172
2010-08-20,22.077394485473633
2010-08-23,21.75177001953125
2010-08-24,21.672170639038086
2010-08-25,21.541915893554688
2010-08-26,21.447843551635742
2010-08-27,21.889253616333008
2010-08-30,21.57809066772461
2010-08-31,21.29588508605957
2010-09-01,21.903724670410156
2010-09-02,22.272764205932617
2010-09-03,22.53327178955078
2010-09-07,22.005027770996094
2010-09-08,21.773468017578125
2010-09-09,22.019502639770508
2010-09-10,22.14251708984375
2010-09-13,22.222116470336914
2010-09-14,22.28000259399414
2010-09-15,22.316179275512695
2010-09-16,22.395782470703125
2010-09-17,22.583913803100586
2010-09-20,22.866125106811523
2010-09-21,22.909534454345703
2010-09-22,22.591150283813477
2010-09-23,21.968847274780273
2010-09-24,22.091861724853516
2010-09-27,21.628751754760742
2010-09-28,21.82412338256836
