Date,EE
2022-04-13,26.297306060791016
2022-04-14,27.42363166809082
2022-04-18,26.826187133789062
2022-04-19,25.719451904296875
2022-04-20,25.151386260986328
2022-04-21,23.231731414794922
2022-04-22,23.70185089111328
2022-04-25,24.485383987426758
2022-04-26,25.122007369995117
2022-04-27,26.610715866088867
2022-04-28,26.689067840576172
2022-04-29,26.454010009765625
2022-05-02,24.632295608520508
2022-05-03,25.073034286499023
2022-05-04,25.582332611083984
2022-05-05,25.631298065185547
2022-05-06,26.34627342224121
2022-05-09,23.31008529663086
2022-05-10,24.123003005981445
2022-05-11,23.564735412597656
2022-05-12,23.417823791503906
2022-05-13,23.496179580688477
2022-05-16,24.21114730834961
2022-05-17,24.818384170532227
2022-05-18,24.074031829833984
2022-05-19,23.672470092773438
2022-05-20,23.31008529663086
2022-05-23,23.623502731323242
2022-05-24,23.70185089111328
2022-05-25,26.238540649414062
2022-05-26,26.42462730407715
2022-05-27,25.895740509033203
2022-05-31,26.101417541503906
2022-06-01,28.207164764404297
2022-06-02,28.765432357788086
2022-06-03,29.264930725097656
2022-06-06,27.541160583496094
2022-06-07,28.971107482910156
2022-06-08,27.599929809570312
2022-06-09,26.209156036376953
2022-06-10,26.66948127746582
2022-06-13,24.710651397705078
2022-06-14,26.454010009765625
2022-06-15,24.651885986328125
2022-06-16,22.996675491333008
2022-06-17,23.985883712768555
2022-06-21,24.13279151916504
2022-06-22,22.232730865478516
2022-06-23,20.626487731933594
2022-06-24,20.401222229003906
2022-06-27,22.74202537536621
2022-06-28,21.723434448242188
2022-06-29,19.940895080566406
2022-06-30,19.50995635986328
2022-07-01,18.765600204467773
2022-07-05,20.097604751586914
2022-07-06,19.216129302978516
2022-07-07,20.63628578186035
2022-07-08,20.724430084228516
2022-07-11,19.980070114135742
2022-07-12,19.68624496459961
2022-07-13,19.451190948486328
2022-07-14,18.8145694732666
2022-07-15,19.88213539123535
2022-07-18,20.215133666992188
2022-07-19,20.753812789916992
2022-07-20,21.204341888427734
2022-07-21,20.6166934967041
2022-07-22,20.107402801513672
2022-07-25,21.047636032104492
2022-07-26,21.3708438873291
2022-07-27,21.92911148071289
2022-07-28,21.635290145874023
2022-07-29,21.68425750732422
2022-08-01,21.713640213012695
2022-08-02,23.143587112426758
2022-08-03,23.123998641967773
2022-08-04,22.144582748413086
2022-08-05,21.850759506225586
2022-08-08,21.791990280151367
2022-08-09,22.78120231628418
2022-08-10,22.477582931518555
2022-08-11,23.515766143798828
2022-08-12,24.72044563293457
2022-08-15,24.798797607421875
2022-08-16,25.122007369995117
2022-08-17,24.779212951660156
2022-08-18,25.421361923217773
2022-08-19,24.92136573791504
2022-08-22,25.284107208251953
2022-08-23,25.519399642944336
2022-08-24,26.48998260498047
2022-08-25,26.48998260498047
2022-08-26,26.088022232055664
2022-08-29,27.156641006469727
2022-08-30,24.989992141723633
2022-08-31,25.1762638092041
2022-09-01,24.78411293029785
2022-09-02,26.764484405517578
2022-09-06,26.35272216796875
2022-09-07,25.940963745117188
2022-09-08,26.686059951782227
2022-09-09,26.215473175048828
2022-09-12,26.519390106201172
2022-09-13,25.71547508239746
2022-09-14,27.676246643066406
2022-09-15,25.735084533691406
2022-09-16,24.00960922241211
2022-09-19,24.529212951660156
2022-09-20,24.215486526489258
2022-09-21,24.99979591369629
2022-09-22,23.774314880371094
