Date,NDAQ
2010-01-04,5.436917304992676
2010-01-05,5.453033924102783
2010-01-06,5.450348377227783
2010-01-07,5.377819538116455
2010-01-08,5.434230327606201
2010-01-11,5.447662830352783
2010-01-12,5.353644847869873
2010-01-13,5.404682636260986
2010-01-14,5.439600944519043
2010-01-15,5.415426254272461
2010-01-19,5.407366752624512
2010-01-20,5.353644847869873
2010-01-21,5.095765590667725
2010-01-22,4.926534175872803
2010-01-25,4.929219722747803
2010-01-26,4.862064838409424
2010-01-27,4.929219722747803
2010-01-28,4.899672031402588
2010-01-29,4.832517147064209
2010-02-01,4.948022365570068
2010-02-02,4.991004467010498
2010-02-03,5.119942665100098
2010-02-04,4.931908130645752
2010-02-05,5.050101280212402
2010-02-08,4.8486328125
2010-02-09,4.888928413391113
2010-02-10,4.859378814697266
2010-02-11,4.875495433807373
2010-02-12,4.913102626800537
2010-02-16,4.982944488525391
2010-02-17,4.988316535949707
2010-02-18,4.99906063079834
2010-02-19,5.004434585571289
2010-02-22,4.977571964263916
2010-02-23,4.953396797180176
2010-02-24,4.99637508392334
2010-02-25,5.015178680419922
2010-02-26,5.004434585571289
2010-03-01,5.050101280212402
2010-03-02,5.1709794998168945
2010-03-03,5.222020149230957
2010-03-04,5.305291652679443
2010-03-05,5.380505561828613
2010-03-08,5.3912506103515625
2010-03-09,5.412741661071777
2010-03-10,5.431544780731201
2010-03-11,5.436917304992676
2010-03-12,5.453033924102783
2010-03-15,5.447662830352783
2010-03-16,5.439600944519043
2010-03-17,5.509443283081055
2010-03-18,5.568541526794434
2010-03-19,5.6491289138793945
2010-03-22,5.587344169616699
2010-03-23,5.624952793121338
2010-03-24,5.638382911682129
2010-03-25,5.633011341094971
2010-03-26,5.654500961303711
2010-03-29,5.684048652648926
2010-03-30,5.657186031341553
2010-03-31,5.673304557800293
2010-04-01,5.681363582611084
2010-04-05,5.804928779602051
2010-04-06,5.826419353485107
2010-04-07,5.753891944885254
2010-04-08,5.831791400909424
2010-04-09,5.88551664352417
2010-04-12,5.920435905456543
2010-04-13,5.907005786895752
2010-04-14,5.992965221405029
2010-04-15,5.958043575286865
2010-04-16,5.74851655960083
2010-04-19,5.796870231628418
2010-04-20,5.831791400909424
2010-04-21,5.8667120933532715
2010-04-22,5.97953462600708
2010-04-23,6.092355251312256
2010-04-26,6.167567729949951
2010-04-27,5.8479084968566895
2010-04-28,5.692108631134033
2010-04-29,5.8667120933532715
2010-04-30,5.641069412231445
2010-05-03,5.670618534088135
2010-05-04,5.479896545410156
2010-05-05,5.603460311889648
2010-05-06,5.412741661071777
2010-05-07,5.1360602378845215
2010-05-10,5.270370006561279
2010-05-11,5.2676849365234375
2010-05-12,5.38319206237793
2010-05-13,5.326780796051025
2010-05-14,5.2757439613342285
2010-05-17,5.278428554534912
2010-05-18,5.117255687713623
2010-05-19,5.1360602378845215
2010-05-20,4.856691360473633
2010-05-21,5.042041778564453
2010-05-24,4.931908130645752
2010-05-25,4.915787696838379
2010-05-26,4.910416603088379
2010-05-27,5.085021018981934
2010-05-28,4.993690490722656
2010-06-01,4.939965724945068
2010-06-02,5.031296730041504
2010-06-03,5.042041778564453
2010-06-04,4.95070743560791
2010-06-07,4.894296646118164
2010-06-08,4.902358055114746
2010-06-09,4.915787696838379
2010-06-10,5.098452568054199
2010-06-11,5.144118785858154
2010-06-14,5.130685806274414
2010-06-15,5.289172172546387
2010-06-16,5.248880386352539
2010-06-17,5.192470073699951
2010-06-18,5.149490833282471
2010-06-21,5.103824138641357
2010-06-22,5.015178680419922
2010-06-23,4.991004467010498
2010-06-24,4.926534175872803
2010-06-25,5.074276447296143
2010-06-28,5.066217422485352
2010-06-29,4.8486328125
2010-06-30,4.776107311248779
2010-07-01,4.754617214202881
2010-07-02,4.6471662521362305
2010-07-06,4.663283824920654
2010-07-07,4.778791904449463
2010-07-08,4.824458122253418
2010-07-09,4.888928413391113
2010-07-12,4.875495433807373
2010-07-13,4.910416603088379
2010-07-14,4.86743688583374
2010-07-15,4.872808933258057
2010-07-16,4.730437278747559
2010-07-19,4.757301330566406
2010-07-20,4.875495433807373
2010-07-21,4.776107311248779
2010-07-22,4.942651271820068
2010-07-23,5.004434585571289
2010-07-26,5.103824138641357
2010-07-27,5.23544979095459
2010-07-28,5.195156574249268
2010-07-29,5.227392196655273
2010-07-30,5.230074882507324
2010-08-02,5.399309158325195
2010-08-03,5.38319206237793
2010-08-04,5.415426254272461
2010-08-05,5.4557204246521
2010-08-06,5.428857803344727
2010-08-09,5.501386642456055
2010-08-10,5.466464042663574
2010-08-11,5.307979583740234
2010-08-12,5.361703872680664
2010-08-13,5.35632848739624
2010-08-16,5.412741661071777
2010-08-17,5.407366752624512
2010-08-18,5.412741661071777
2010-08-19,5.291860580444336
2010-08-20,5.240821838378906
2010-08-23,5.216646194458008
2010-08-24,5.063531398773193
2010-08-25,5.015178680419922
2010-08-26,4.921162128448486
2010-08-27,4.980258941650391
2010-08-30,4.859378814697266
2010-08-31,4.811025619506836
2010-09-01,4.966827392578125
2010-09-02,5.036670207977295
2010-09-03,5.154864311218262
2010-09-07,5.0124945640563965
2010-09-08,5.009805679321289
2010-09-09,5.0554728507995605
2010-09-10,5.093079566955566
2010-09-13,5.197842597961426
2010-09-14,5.213958263397217
2010-09-15,5.238134860992432
2010-09-16,5.200528621673584
2010-09-17,5.219330787658691
2010-09-20,5.291860580444336
2010-09-21,5.243509769439697
2010-09-22,5.232763767242432
2010-09-23,5.195156574249268
2010-09-24,5.418112277984619
2010-09-27,5.3026041984558105
