Date,INVH
2017-02-01,16.318145751953125
2017-02-02,16.505813598632812
2017-02-03,16.832170486450195
2017-02-06,16.913759231567383
2017-02-07,16.970876693725586
2017-02-08,17.003511428833008
2017-02-09,17.036149978637695
2017-02-10,17.150373458862305
2017-02-13,17.134061813354492
2017-02-14,17.158536911010742
2017-02-15,17.060626983642578
2017-02-16,17.101425170898438
2017-02-17,17.256439208984375
2017-02-21,17.517534255981445
2017-02-22,17.5991268157959
2017-02-23,17.607282638549805
2017-02-24,17.62360382080078
2017-02-27,17.794939041137695
2017-02-28,17.778627395629883
2017-03-01,17.566482543945312
2017-03-02,17.72150230407715
2017-03-03,17.794939041137695
2017-03-06,17.88469123840332
2017-03-07,17.794939041137695
2017-03-08,17.582809448242188
2017-03-09,17.329877853393555
2017-03-10,17.460418701171875
2017-03-13,17.444103240966797
2017-03-14,17.338045120239258
2017-03-15,17.55832862854004
2017-03-16,17.525693893432617
2017-03-17,17.62360382080078
2017-03-20,17.57464599609375
2017-03-21,17.4522647857666
2017-03-22,17.54201316833496
2017-03-23,17.533849716186523
2017-03-24,17.607282638549805
2017-03-27,17.566482543945312
2017-03-28,17.656240463256836
2017-03-29,17.69703483581543
2017-03-30,17.745986938476562
2017-03-31,17.811262130737305
2017-04-03,17.64807891845703
2017-04-04,17.57464599609375
2017-04-05,17.607282638549805
2017-04-06,17.7051944732666
2017-04-07,17.631759643554688
2017-04-10,17.656240463256836
2017-04-11,17.582809448242188
2017-04-12,17.582809448242188
2017-04-13,17.37066650390625
2017-04-17,17.68071174621582
2017-04-18,17.762306213378906
2017-04-19,17.745986938476562
2017-04-20,17.533849716186523
2017-04-21,17.672561645507812
2017-04-24,17.656240463256836
2017-04-25,17.72150230407715
2017-04-26,17.688873291015625
2017-04-27,17.615442276000977
2017-04-28,17.582809448242188
2017-05-01,17.688873291015625
2017-05-02,17.55832862854004
2017-05-03,17.525693893432617
2017-05-04,17.297237396240234
2017-05-05,17.354352951049805
2017-05-08,17.362520217895508
2017-05-09,17.50121307373047
2017-05-10,17.68071174621582
2017-05-11,17.91798210144043
2017-05-12,17.82798957824707
2017-05-15,17.91798210144043
2017-05-16,17.48435401916504
2017-05-17,17.623441696166992
