Date,WSO
2010-01-04,29.19072723388672
2010-01-05,28.390972137451172
2010-01-06,28.585037231445312
2010-01-07,29.02606773376465
2010-01-08,28.949634552001953
2010-01-11,28.743818283081055
2010-01-12,28.749685287475586
2010-01-13,29.195093154907227
2010-01-14,29.54549217224121
2010-01-15,30.442241668701172
2010-01-19,30.679790496826172
2010-01-20,30.2878360748291
2010-01-21,30.35909080505371
2010-01-22,30.02652931213379
2010-01-25,30.05028533935547
2010-01-26,29.842424392700195
2010-01-27,29.907745361328125
2010-01-28,29.65238380432129
2010-01-29,28.482444763183594
2010-02-01,28.423053741455078
2010-02-02,29.402950286865234
2010-02-03,29.11194610595703
2010-02-04,28.803138732910156
2010-02-05,29.62268829345703
2010-02-08,29.408884048461914
2010-02-09,29.408884048461914
2010-02-10,29.16538429260254
2010-02-11,30.097789764404297
2010-02-12,31.07175064086914
2010-02-16,31.932872772216797
2010-02-17,34.177738189697266
2010-02-18,33.554176330566406
2010-02-19,34.510311126708984
2010-02-22,34.08866500854492
2010-02-23,33.84517288208008
2010-02-24,34.08866500854492
2010-02-25,34.28465270996094
2010-02-26,34.34996795654297
2010-03-01,35.13389205932617
2010-03-02,34.81913757324219
2010-03-03,34.5697021484375
2010-03-04,34.735984802246094
2010-03-05,34.84882354736328
2010-03-08,34.65284729003906
2010-03-09,34.361854553222656
2010-03-10,34.49250411987305
2010-03-11,34.84287643432617
2010-03-12,34.97353744506836
2010-03-15,35.270477294921875
2010-03-16,35.08045196533203
2010-03-17,35.62679672241211
2010-03-18,34.62908172607422
2010-03-19,33.9045524597168
2010-03-22,34.63502502441406
2010-03-23,35.353614807128906
2010-03-24,34.53407287597656
2010-03-25,34.064903259277344
2010-03-26,33.946128845214844
2010-03-29,34.165855407714844
2010-03-30,33.91050338745117
2010-03-31,33.77985382080078
2010-04-01,34.15398025512695
2010-04-05,34.39747619628906
2010-04-06,34.94977569580078
2010-04-07,34.694419860839844
2010-04-08,34.314327239990234
2010-04-09,34.587528228759766
2010-04-12,34.70628356933594
2010-04-13,35.275550842285156
2010-04-14,36.09646987915039
2010-04-15,36.53988265991211
2010-04-16,36.318180084228516
2010-04-19,36.05452346801758
2010-04-20,35.75490951538086
2010-04-21,36.641746520996094
2010-04-22,37.468658447265625
2010-04-23,37.15108871459961
2010-04-26,36.92937088012695
2010-04-27,35.83281707763672
2010-04-28,35.91669845581055
2010-04-29,36.24626922607422
2010-04-30,35.485267639160156
2010-05-03,35.952659606933594
2010-05-04,35.29951477050781
2010-05-05,35.07181167602539
2010-05-06,34.13105010986328
2010-05-07,32.74686813354492
2010-05-10,34.89204406738281
2010-05-11,34.7062873840332
2010-05-12,35.07780456542969
2010-05-13,35.07780456542969
2010-05-14,34.5684700012207
2010-05-17,34.63438415527344
2010-05-18,34.454620361328125
2010-05-19,33.91533279418945
2010-05-20,32.273494720458984
2010-05-21,32.46524429321289
2010-05-24,32.02182388305664
2010-05-25,32.35740280151367
2010-05-26,33.27418518066406
2010-05-27,35.91669845581055
2010-05-28,35.08379364013672
