Date,MSEX
2010-01-04,11.830375671386719
2010-01-05,11.374601364135742
2010-01-06,11.216065406799316
2010-01-07,11.348176956176758
2010-01-08,11.453863143920898
2010-01-11,11.2424898147583
2010-01-12,11.367990493774414
2010-01-13,11.47368049621582
2010-01-14,11.4802827835083
2010-01-15,11.348176956176758
2010-01-19,11.440654754638672
2010-01-20,11.13680362701416
2010-01-21,10.892399787902832
2010-01-22,10.786714553833008
2010-01-25,10.978275299072266
2010-01-26,10.899008750915527
2010-01-27,10.958456993103027
2010-01-28,10.85937213897705
2010-01-29,11.394416809082031
2010-02-01,11.143406867980957
2010-02-02,11.301939010620117
2010-02-03,11.354784965515137
2010-02-04,11.024513244628906
2010-02-05,11.083958625793457
2010-02-08,10.846161842346191
2010-02-09,11.05093002319336
2010-02-10,11.030900001525879
2010-02-11,11.017544746398926
2010-02-12,10.964128494262695
2010-02-16,11.030900001525879
2010-02-17,11.030900001525879
2010-02-18,11.057610511779785
2010-02-19,11.164445877075195
2010-02-22,11.311347961425781
2010-02-23,11.264603614807129
2010-02-24,11.605148315429688
2010-02-25,11.384796142578125
2010-02-26,11.05093002319336
2010-03-01,11.32470417022705
2010-03-02,11.498311042785645
2010-03-03,11.438213348388672
2010-03-04,11.531700134277344
2010-03-05,11.531700134277344
2010-03-08,11.531700134277344
2010-03-09,11.591793060302734
2010-03-10,11.718659400939941
2010-03-11,11.591793060302734
2010-03-12,11.738694190979004
2010-03-15,11.74537181854248
2010-03-16,11.778755187988281
2010-03-17,11.705306053161621
2010-03-18,11.678597450256348
2010-03-19,11.80546760559082
2010-03-22,11.765402793884277
2010-03-23,11.825491905212402
2010-03-24,11.638534545898438
2010-03-25,11.658565521240234
2010-03-26,11.478280067443848
2010-03-29,11.59847354888916
2010-03-30,11.59847354888916
2010-03-31,11.384796142578125
2010-04-01,11.191153526306152
2010-04-05,11.785432815551758
2010-04-06,11.571763038635254
2010-04-07,11.85888385772705
2010-04-08,11.845527648925781
2010-04-09,11.671924591064453
2010-04-12,11.545053482055664
2010-04-13,11.645214080810547
2010-04-14,11.852208137512207
2010-04-15,12.219461441040039
2010-04-16,11.778755187988281
2010-04-19,11.685276985168457
2010-04-20,11.985755920410156
2010-04-21,11.885597229003906
2010-04-22,11.99911117553711
2010-04-23,12.099270820617676
2010-04-26,12.172718048095703
2010-04-27,11.912302017211914
2010-04-28,12.112626075744629
2010-04-29,12.232810974121094
2010-04-30,12.059207916259766
2010-05-03,12.119296073913574
2010-05-04,11.872241973876953
2010-05-05,11.591793060302734
2010-05-06,11.064287185668945
2010-05-07,10.877325057983398
2010-05-10,11.585121154785156
2010-05-11,11.885597229003906
2010-05-12,12.458962440490723
2010-05-13,12.452216148376465
2010-05-14,12.519672393798828
2010-05-17,12.60062026977539
2010-05-18,12.357778549194336
2010-05-19,12.000271797180176
2010-05-20,11.44039249420166
2010-05-21,11.723703384399414
2010-05-24,11.231280326843262
2010-05-25,11.224531173706055
2010-05-26,11.204302787780762
2010-05-27,11.629266738891602
2010-05-28,11.345953941345215
2010-06-01,11.29198932647705
2010-06-02,11.804649353027344
2010-06-03,11.541577339172363
2010-06-04,11.089624404907227
2010-06-07,10.732110023498535
2010-06-08,10.259926795959473
2010-06-09,10.158744812011719
2010-06-10,10.286909103393555
2010-06-11,10.388091087341309
2010-06-14,10.340868949890137
2010-06-15,10.516256332397461
2010-06-16,10.583711624145508
2010-06-17,10.678146362304688
2010-06-18,10.867023468017578
2010-06-21,10.7860746383667
2010-06-22,10.738860130310059
2010-06-23,10.76584243774414
2010-06-24,10.725364685058594
2010-06-25,10.934476852416992
2010-06-28,10.860276222229004
2010-06-29,10.772586822509766
2010-06-30,10.691642761230469
2010-07-01,10.5769681930542
2010-07-02,10.732110023498535
2010-07-06,10.570220947265625
2010-07-07,10.887256622314453
2010-07-08,10.894002914428711
2010-07-09,10.873766899108887
2010-07-12,10.711874961853027
2010-07-13,10.968205451965332
2010-07-14,10.873766899108887
2010-07-15,10.90749740600586
2010-07-16,10.705130577087402
2010-07-19,10.934476852416992
2010-07-20,11.089624404907227
2010-07-21,10.947967529296875
2010-07-22,11.1368408203125
2010-07-23,11.447134017944336
2010-07-26,11.480864524841309
2010-07-27,11.460624694824219
2010-07-28,11.298735618591309
2010-07-29,11.3189697265625
2010-07-30,11.163824081420898
2010-08-02,11.393174171447754
2010-08-03,11.345953941345215
2010-08-04,11.420153617858887
2010-08-05,11.238028526306152
2010-08-06,11.244772911071777
2010-08-09,11.413409233093262
2010-08-10,11.44039249420166
2010-08-11,11.269942283630371
2010-08-12,11.215401649475098
2010-08-13,10.949504852294922
2010-08-16,11.201767921447754
2010-08-17,11.194950103759766
2010-08-18,11.106314659118652
2010-08-19,11.01086711883545
2010-08-20,11.18131160736084
2010-08-23,10.929048538208008
2010-08-24,10.894959449768066
2010-08-25,11.106314659118652
2010-08-26,10.976775169372559
2010-08-27,11.297216415405273
2010-08-30,11.126770973205566
2010-08-31,11.147226333618164
2010-09-01,11.52901840209961
2010-09-02,11.317668914794922
2010-09-03,11.324488639831543
2010-09-07,11.092680931091309
2010-09-08,11.04495906829834
2010-09-09,11.031316757202148
2010-09-10,10.990410804748535
2010-09-13,11.024500846862793
2010-09-14,10.956321716308594
2010-09-15,11.058592796325684
2010-09-16,10.956321716308594
2010-09-17,11.01086711883545
2010-09-20,11.467663764953613
2010-09-21,11.269942283630371
2010-09-22,11.167675971984863
2010-09-23,11.04495906829834
2010-09-24,11.392664909362793
2010-09-27,11.23585319519043
2010-09-28,11.426753044128418
