Date,NVCR
2015-10-01,22.0
2015-10-02,18.280000686645508
2015-10-05,18.690000534057617
2015-10-06,16.68000030517578
2015-10-07,15.9399995803833
2015-10-08,18.940000534057617
2015-10-09,21.020000457763672
2015-10-12,25.8799991607666
2015-10-13,27.600000381469727
2015-10-14,25.450000762939453
2015-10-15,25.8700008392334
2015-10-16,25.979999542236328
2015-10-19,23.209999084472656
2015-10-20,19.8700008392334
2015-10-21,20.200000762939453
2015-10-22,19.149999618530273
2015-10-23,19.520000457763672
2015-10-26,20.579999923706055
2015-10-27,23.8700008392334
2015-10-28,24.200000762939453
2015-10-29,22.850000381469727
2015-10-30,22.469999313354492
2015-11-02,23.829999923706055
2015-11-03,26.040000915527344
2015-11-04,26.309999465942383
2015-11-05,26.239999771118164
2015-11-06,25.68000030517578
2015-11-09,24.829999923706055
2015-11-10,24.079999923706055
2015-11-11,22.350000381469727
2015-11-12,22.700000762939453
2015-11-13,22.799999237060547
2015-11-16,21.940000534057617
2015-11-17,22.34000015258789
2015-11-18,22.690000534057617
2015-11-19,22.40999984741211
2015-11-20,22.040000915527344
2015-11-23,24.899999618530273
2015-11-24,23.90999984741211
2015-11-25,23.649999618530273
2015-11-27,24.989999771118164
2015-11-30,24.350000381469727
2015-12-01,24.06999969482422
2015-12-02,24.059999465942383
2015-12-03,24.010000228881836
2015-12-04,24.81999969482422
2015-12-07,27.15999984741211
2015-12-08,26.719999313354492
2015-12-09,26.780000686645508
2015-12-10,26.420000076293945
2015-12-11,26.860000610351562
2015-12-14,27.639999389648438
2015-12-15,28.110000610351562
2015-12-16,27.1200008392334
2015-12-17,27.5
2015-12-18,27.719999313354492
2015-12-21,27.559999465942383
2015-12-22,27.020000457763672
2015-12-23,26.59000015258789
2015-12-24,25.93000030517578
2015-12-28,24.799999237060547
2015-12-29,23.81999969482422
2015-12-30,23.3799991607666
2015-12-31,22.360000610351562
2016-01-04,22.549999237060547
2016-01-05,22.739999771118164
2016-01-06,22.420000076293945
2016-01-07,19.760000228881836
2016-01-08,20.149999618530273
2016-01-11,20.549999237060547
2016-01-12,21.899999618530273
2016-01-13,20.479999542236328
2016-01-14,19.299999237060547
2016-01-15,17.790000915527344
2016-01-19,17.059999465942383
2016-01-20,14.229999542236328
2016-01-21,15.050000190734863
2016-01-22,13.8100004196167
2016-01-25,14.5
2016-01-26,14.510000228881836
