Date,FTI
2010-01-04,20.242074966430664
2010-01-05,20.590656280517578
2010-01-06,20.686349868774414
2010-01-07,20.44712257385254
2010-01-08,20.812801361083984
2010-01-11,20.37877082824707
2010-01-12,19.763612747192383
2010-01-13,19.95499610900879
2010-01-14,19.85247230529785
2010-01-15,20.09511375427246
2010-01-19,20.39586067199707
2010-01-20,19.96866798400879
2010-01-21,19.206558227539062
2010-01-22,18.533302307128906
2010-01-25,18.66316795349121
2010-01-26,18.44786262512207
2010-01-27,18.52646255493164
2010-01-28,18.2769832611084
2010-01-29,18.171039581298828
2010-02-01,18.85112953186035
2010-02-02,19.00834083557129
2010-02-03,19.206558227539062
2010-02-04,18.482032775878906
2010-02-05,18.321414947509766
2010-02-08,18.280397415161133
2010-02-09,18.912647247314453
2010-02-10,18.93315315246582
2010-02-11,19.616661071777344
2010-02-12,19.626914978027344
2010-02-16,20.016511917114258
2010-02-17,19.093778610229492
2010-02-18,18.72468376159668
2010-02-19,18.827211380004883
2010-02-22,18.79303550720215
2010-02-23,18.434192657470703
2010-02-24,19.155292510986328
2010-02-25,19.40477752685547
2010-02-26,19.196304321289062
2010-03-01,19.442367553710938
2010-03-02,19.66792106628418
2010-03-03,20.713685989379883
2010-03-04,20.409523010253906
2010-03-05,21.02468490600586
2010-03-08,20.71710777282715
2010-03-09,20.761537551879883
2010-03-10,20.997346878051758
2010-03-11,20.874313354492188
2010-03-12,21.246824264526367
2010-03-15,20.799129486083984
2010-03-16,21.653514862060547
2010-03-17,21.73553466796875
2010-03-18,21.192148208618164
2010-03-19,20.56673812866211
2010-03-22,20.83330535888672
2010-03-23,21.168224334716797
2010-03-24,20.874313354492188
2010-03-25,20.949501037597656
2010-03-26,21.065696716308594
2010-03-29,21.516817092895508
2010-03-30,22.337020874023438
2010-03-31,22.087539672851562
2010-04-01,22.57282829284668
2010-04-05,23.249500274658203
2010-04-06,23.56733512878418
2010-04-07,23.12989044189453
2010-04-08,23.201658248901367
2010-04-09,23.020526885986328
2010-04-12,23.16748046875
2010-04-13,22.900911331176758
2010-04-14,23.26317596435547
2010-04-15,23.1948184967041
2010-04-16,22.548908233642578
2010-04-19,22.2174072265625
2010-04-20,22.965845108032227
2010-04-21,22.866735458374023
2010-04-22,23.266592025756836
2010-04-23,23.854408264160156
2010-04-26,24.00136375427246
2010-04-27,22.897497177124023
2010-04-28,23.047868728637695
2010-04-29,25.0573787689209
2010-04-30,23.1333065032959
2010-05-03,23.563920974731445
2010-05-04,22.668521881103516
2010-05-05,21.89957618713379
2010-05-06,21.08278465270996
2010-05-07,20.2557373046875
2010-05-10,22.36777687072754
2010-05-11,21.609088897705078
2010-05-12,22.210569381713867
2010-05-13,21.86198616027832
2010-05-14,20.993927001953125
2010-05-17,20.600906372070312
2010-05-18,20.471040725708008
2010-05-19,20.170299530029297
2010-05-20,18.93657112121582
2010-05-21,20.163463592529297
2010-05-24,19.661087036132812
2010-05-25,20.20789337158203
2010-05-26,20.2147274017334
2010-05-27,21.3151798248291
2010-05-28,19.872974395751953
2010-06-01,16.85870933532715
2010-06-02,17.46703338623047
2010-06-03,17.265399932861328
2010-06-04,16.848459243774414
2010-06-07,16.267473220825195
2010-06-08,16.581890106201172
2010-06-09,16.475940704345703
2010-06-10,17.79169273376465
2010-06-11,17.96257209777832
2010-06-14,18.02750587463379
2010-06-15,18.91948699951172
2010-06-16,18.912647247314453
2010-06-17,18.71784782409668
2010-06-18,18.84771728515625
2010-06-21,18.79303550720215
2010-06-22,18.287233352661133
2010-06-23,18.471778869628906
2010-06-24,18.2769832611084
2010-06-25,18.427358627319336
2010-06-28,18.000165939331055
2010-06-29,17.65841293334961
2010-06-30,17.996749877929688
2010-07-01,18.256479263305664
2010-07-02,18.632410049438477
2010-07-06,19.343259811401367
2010-07-07,20.559900283813477
2010-07-08,21.07594871520996
2010-07-09,21.058860778808594
2010-07-12,20.928993225097656
2010-07-13,21.086206436157227
2010-07-14,20.97342300415039
2010-07-15,20.864057540893555
2010-07-16,20.265993118286133
2010-07-19,20.48813247680664
2010-07-20,21.04177474975586
2010-07-21,20.737613677978516
2010-07-22,21.349348068237305
2010-07-23,21.78337860107422
2010-07-26,21.127216339111328
2010-07-27,20.498384475708008
2010-07-28,20.92215919494629
2010-07-29,21.571495056152344
2010-07-30,21.626174926757812
2010-08-02,22.10462760925293
2010-08-03,22.019187927246094
2010-08-04,22.316513061523438
2010-08-05,22.135385513305664
2010-08-06,21.841474533081055
2010-08-09,22.203733444213867
2010-08-10,21.697938919067383
2010-08-11,21.01102066040039
2010-08-12,20.874313354492188
2010-08-13,21.178478240966797
2010-08-16,21.46896743774414
2010-08-17,22.23448944091797
2010-08-18,21.779958724975586
2010-08-19,21.287839889526367
2010-08-20,21.06228256225586
2010-08-23,21.178478240966797
2010-08-24,21.188730239868164
2010-08-25,21.11696434020996
2010-08-26,21.110124588012695
2010-08-27,21.851730346679688
2010-08-30,21.233158111572266
2010-08-31,21.13746452331543
2010-09-01,22.14221954345703
2010-09-02,22.52498435974121
2010-09-03,22.75395393371582
2010-09-07,22.28917694091797
2010-09-08,22.248165130615234
2010-09-09,22.227657318115234
2010-09-10,22.518144607543945
2010-09-13,23.020526885986328
2010-09-14,22.665103912353516
2010-09-15,22.702695846557617
2010-09-16,22.442962646484375
2010-09-17,22.2720890045166
2010-09-20,23.099130630493164
2010-09-21,22.60016632080078
2010-09-22,22.360946655273438
2010-09-23,22.23448944091797
2010-09-24,23.085460662841797
2010-09-27,22.72661590576172
2010-09-28,22.89407730102539
