Date,SIRI
2010-01-04,5.295697212219238
2010-01-05,5.621586799621582
2010-01-06,5.621586799621582
2010-01-07,5.458642959594727
2010-01-08,5.458642959594727
2010-01-11,5.621586799621582
2010-01-12,5.5401153564453125
2010-01-13,5.458642959594727
2010-01-14,5.5401153564453125
2010-01-15,5.458642959594727
2010-01-19,5.458642959594727
2010-01-20,5.947477340698242
2010-01-21,5.703060150146484
2010-01-22,5.621586799621582
2010-01-25,5.5401153564453125
2010-01-26,5.784532070159912
2010-01-27,6.028947353363037
2010-01-28,6.680727005004883
2010-01-29,6.843669891357422
2010-02-01,7.16956090927124
2010-02-02,7.413977146148682
2010-02-03,7.006617069244385
2010-02-04,6.925142288208008
2010-02-05,7.006617069244385
2010-02-08,6.843669891357422
2010-02-09,7.006617069244385
2010-02-10,6.925142288208008
2010-02-11,7.16956090927124
2010-02-12,7.251031875610352
2010-02-16,7.8213396072387695
2010-02-17,8.55458927154541
2010-02-18,9.206365585327148
2010-02-19,8.799005508422852
2010-02-22,8.880475044250488
2010-02-23,9.124894142150879
2010-02-24,8.96194839477539
2010-02-25,8.717535972595215
2010-02-26,8.310171127319336
2010-03-01,7.251031875610352
2010-03-02,7.251031875610352
2010-03-03,7.739864349365234
2010-03-04,7.576920509338379
2010-03-05,7.658395290374756
2010-03-08,7.332504749298096
2010-03-09,7.413977146148682
2010-03-10,7.576920509338379
2010-03-11,7.413977146148682
2010-03-12,7.413977146148682
2010-03-15,7.495449542999268
2010-03-16,7.413977146148682
2010-03-17,7.251031875610352
2010-03-18,7.006617069244385
2010-03-19,6.7621989250183105
2010-03-22,7.006617069244385
2010-03-23,7.088085174560547
2010-03-24,7.16956090927124
2010-03-25,7.088085174560547
2010-03-26,7.006617069244385
2010-03-29,6.843669891357422
2010-03-30,6.843669891357422
2010-03-31,7.088085174560547
2010-04-01,6.843669891357422
2010-04-05,7.006617069244385
2010-04-06,7.088085174560547
2010-04-07,7.739864349365234
2010-04-08,7.984282493591309
2010-04-09,8.065754890441895
2010-04-12,7.902807235717773
2010-04-13,7.8213396072387695
2010-04-14,8.717535972595215
2010-04-15,9.043424606323242
2010-04-16,8.799005508422852
2010-04-19,8.799005508422852
2010-04-20,9.206365585327148
2010-04-21,8.96194839477539
2010-04-22,8.880475044250488
2010-04-23,9.124894142150879
2010-04-26,9.776673316955566
2010-04-27,9.369312286376953
2010-04-28,9.450786590576172
2010-04-29,9.776673316955566
2010-04-30,9.613728523254395
2010-05-03,10.021089553833008
2010-05-04,9.613728523254395
2010-05-05,9.124894142150879
2010-05-06,8.310171127319336
